#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H       H*        P         m          K          tau         Di
   0.74746  0.26707  0.11349  1.49472  0.001522  0.000562  0.003602    2.6966    1.5662  0.00125  0.00227  0.00294
   0.76355  0.25109  0.11161  1.49928  0.001455  0.000540  0.003862    2.6790    1.5677  0.00121  0.00218  0.00285
   0.77942  0.23537  0.10949  1.50370  0.001386  0.000519  0.004166    2.6586    1.5694  0.00117  0.00208  0.00277
   0.79501  0.21995  0.10716  1.50777  0.001318  0.000497  0.004512    2.6361    1.5714  0.00113  0.00199  0.00268
   0.81028  0.20490  0.10459  1.51125  0.001252  0.000476  0.004886    2.6140    1.5734  0.00109  0.00189  0.00259
   0.82520  0.19024  0.10181  1.51359  0.001195  0.000457  0.005186    2.6040    1.5743  0.00105  0.00181  0.00249
   0.83974  0.17601  0.09882  1.51555  0.001140  0.000437  0.005496    2.5957    1.5751  0.00100  0.00173  0.00240
   0.85382  0.16229  0.09567  1.51738  0.001082  0.000417  0.005888    2.5818    1.5764  0.00096  0.00164  0.00230
   0.86737  0.14915  0.09236  1.51864  0.001025  0.000397  0.006334    2.5659    1.5780  0.00092  0.00156  0.00220
   0.88034  0.13664  0.08892  1.51891  0.000972  0.000379  0.006775    2.5536    1.5792  0.00087  0.00148  0.00209
   0.89268  0.12481  0.08539  1.51840  0.000920  0.000360  0.007242    2.5420    1.5804  0.00083  0.00140  0.00199
   0.90436  0.11370  0.08180  1.51717  0.000870  0.000342  0.007775    2.5279    1.5819  0.00079  0.00132  0.00189
   0.91534  0.10333  0.07818  1.51496  0.000821  0.000325  0.008386    2.5107    1.5837  0.00075  0.00124  0.00179
   0.92562  0.09371  0.07456  1.51116  0.000777  0.000309  0.008934    2.5002    1.5848  0.00071  0.00117  0.00169
   0.93521  0.08482  0.07096  1.50622  0.000738  0.000294  0.009416    2.4961    1.5853  0.00067  0.00111  0.00159
   0.94413  0.07664  0.06742  1.50103  0.000697  0.000279  0.010074    2.4831    1.5867  0.00063  0.00105  0.00150
   0.95240  0.06914  0.06394  1.49463  0.000657  0.000265  0.010811    2.4675    1.5885  0.00059  0.00098  0.00141
   0.96006  0.06227  0.06054  1.48658  0.000621  0.000252  0.011552    2.4532    1.5902  0.00056  0.00092  0.00132
   0.96717  0.05599  0.05721  1.47686  0.000588  0.000240  0.012277    2.4409    1.5916  0.00052  0.00087  0.00123
   0.97376  0.05025  0.05398  1.46561  0.000558  0.000228  0.012982    2.4307    1.5929  0.00049  0.00082  0.00114
   0.97988  0.04500  0.05082  1.45303  0.000528  0.000217  0.013743    2.4189    1.5943  0.00046  0.00077  0.00106
   0.98559  0.04019  0.04776  1.43883  0.000501  0.000207  0.014541    2.4061    1.5959  0.00043  0.00072  0.00098
   0.99090  0.03579  0.04477  1.42266  0.000477  0.000198  0.015228    2.3983    1.5969  0.00040  0.00068  0.00091
   0.99587  0.03176  0.04187  1.40500  0.000455  0.000189  0.015772    2.3968    1.5971  0.00037  0.00064  0.00084
   1.00053  0.02806  0.03904  1.38669  0.000434  0.000180  0.016404    2.3930    1.5975  0.00035  0.00060  0.00077
   1.00491  0.02466  0.03629  1.36737  0.000410  0.000172  0.017303    2.3804    1.5992  0.00032  0.00056  0.00070
   1.00902  0.02154  0.03360  1.34553  0.000389  0.000163  0.018203    2.3675    1.6009  0.00030  0.00052  0.00064
