 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     Wing                                    
     # Chordwise = 24   # Spanwise = 80     First strip =  1
     Surface area =   15.071648       Ave. chord =    0.882932
     CLsurf  =       NaN     Clsurf  =       NaN
     CYsurf  =       NaN     Cmsurf  =       NaN
     CDsurf  =       NaN     Cnsurf  =       NaN
     CDisurf =       NaN     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =       NaN     CDsurf  =       NaN
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
    44   9.7272   0.9170   0.3161   0.9253   0.0143   1.0104   1.0104   0.0162   0.0000  -0.1311  -0.3834    0.380
    45  10.0710   0.9170   0.3142   0.9250   0.0147   1.0108   1.0108   0.0056   0.0000  -0.1316  -0.3838    0.380
    46  10.4045   0.9170   0.2974   0.9251   0.0155   1.0106   1.0106   0.0105   0.0000  -0.1325  -0.3847    0.381
    47  10.7273   0.9170   0.2946   0.9258   0.0167   1.0109   1.0109   0.0167   0.0000  -0.1338  -0.3862    0.382
    48  11.0468   0.9170   0.2913      NaN   0.0179      NaN      NaN      NaN   0.0000      NaN      NaN
    49  11.3626   0.9170   0.2876   0.9266   0.0191   1.0147   1.0147  -0.0240   0.0000  -0.1366  -0.3893    0.385
    50  11.6741   0.9170   0.2835   0.9267   0.0206   1.0123   1.0123   0.0105   0.0000  -0.1381  -0.3907    0.386
    51  11.9808   0.9170   0.2789   0.9261   0.0219   1.0102   1.0102   0.0314   0.0000  -0.1393  -0.3918    0.388
    52  12.2823   0.9170   0.2739   0.9251   0.0234   1.0109   1.0109   0.0050   0.0000  -0.1406  -0.3928    0.389
    53  12.5781   0.9170   0.2685   0.9234   0.0251   1.0069   1.0069   0.0358   0.0000  -0.1419  -0.3936    0.391
    54  12.8678   0.9170   0.2626   0.9210   0.0270   1.0070   1.0070  -0.0021   0.0000  -0.1431  -0.3942    0.392
    55  13.1508   0.9170   0.2564   0.9177   0.0291   1.0041   1.0041  -0.0124   0.0000  -0.1442  -0.3944    0.394
    56  13.4269   0.9170   0.2498   0.9134   0.0315   0.9981   0.9981   0.0059   0.0000  -0.1453  -0.3943    0.396
    57  13.6955   0.9170   0.2427   0.9080   0.0342   0.9917   0.9917   0.0117   0.0000  -0.1462  -0.3938    0.397
    58  13.9562   0.9170   0.2353   0.9011   0.0374   0.9828   0.9828   0.0320   0.0000  -0.1471  -0.3927    0.400
    59  14.2086   0.9170   0.2276   0.8924   0.0411   0.9745   0.9745   0.0149   0.0000  -0.1477  -0.3910    0.402
    60  14.4524   0.9170   0.2195   0.8815   0.0456   0.9625   0.9625   0.0150   0.0000  -0.1481  -0.3884    0.404
    61  14.6872   0.9170   0.2110   0.8676   0.0513   0.9467   0.9467   0.0248   0.0000  -0.1479  -0.3845    0.406
    62  14.9126   0.9170   0.2022   0.8494   0.0598   0.9276   0.9276   0.0131   0.0000  -0.1465  -0.3780    0.408
    63  15.1294   0.8872   0.1889   0.8192   0.0592   0.9240   0.9240   0.0241   0.0000  -0.1463  -0.3763    0.408
    64  15.3372   0.8296   0.1681   0.7789   0.0511   0.9394   0.9394   0.0236   0.0000  -0.1482  -0.3820    0.408
    65  15.5345   0.7750   0.1488   0.7362   0.0461   0.9506   0.9506   0.0223   0.0000  -0.1490  -0.3856    0.407
    66  15.7210   0.7234   0.1309   0.6928   0.0426   0.9585   0.9585   0.0219   0.0000  -0.1494  -0.3879    0.406
    67  15.8965   0.6748   0.1146   0.6493   0.0403   0.9630   0.9630   0.0215   0.0000  -0.1494  -0.3890    0.405
    68  16.0605   0.6294   0.0996   0.6061   0.0389   0.9640   0.9640   0.0169   0.0000  -0.1494  -0.3892    0.405
    69  16.2129   0.5872   0.0860   0.5633   0.0386   0.9601   0.9601   0.0211   0.0000  -0.1491  -0.3880    0.405
    70  16.3535   0.5483   0.0738   0.5210   0.0394   0.9509   0.9509   0.0215   0.0000  -0.1485  -0.3851    0.406
    71  16.4819   0.5128   0.0627   0.4790   0.0417   0.9348   0.9348   0.0230   0.0000  -0.1477  -0.3803    0.408
    72  16.5981   0.4806   0.0529   0.4368   0.0442   0.9093   0.9093   0.0243   0.0000  -0.1456  -0.3719    0.410
    73  16.7019   0.4519   0.0440   0.3947   0.0507   0.8737   0.8737   0.0270   0.0000  -0.1442  -0.3617    0.415
    74  16.7930   0.4267   0.0362   0.3515   0.0580   0.8243   0.8243   0.0212   0.0000  -0.1452  -0.3503    0.426
    75  16.8714   0.4050   0.0291   0.3067   0.0689   0.7571   0.7571   0.0308   0.0000  -0.1336  -0.3221    0.426
    76  16.9369   0.3869   0.0228   0.2593   0.0818   0.6699   0.6699   0.0302   0.0000  -0.1222  -0.2891    0.432
    77  16.9894   0.3723   0.0171   0.2086   0.0986   0.5597   0.5597   0.0285   0.0000  -0.1062  -0.2457    0.440
