## F1, Alpha= 30 deg., Re= 40 Mio.
# Mean velocities in flow field
#
# Nomenclature:
# DPN       data point number
# x0/2a     x-location of plane of measurement
# phi       circumferential angle (in degrees)
# h         distance from model surface (in m)
# V0        free stream (reference) velocity
# U,V,W     velocity components in model coordinates
#           U in direction of main axis
#           V normal to U and W
#           W normal to main axis in vertical plane
#
## DPN 990   Plane 11  x0/2a= 0.917    Ray 8   phi= 150
# h      U/V0    V/V0    W/V0
0.0141  0.888  -0.057  -0.134
0.0242  0.930  -0.100  -0.105
0.0344  0.931  -0.120  -0.100
0.0395  0.933  -0.129  -0.092
0.0492  0.927  -0.153  -0.075
0.0598  0.923  -0.165  -0.051
0.0693  0.925  -0.191  -0.020
0.0792  0.933  -0.201   0.024
0.0899  0.931  -0.217   0.067
0.1006  0.944  -0.225   0.158
0.1100  0.946  -0.227   0.234
0.1201  0.931  -0.212   0.334
0.1304  0.923  -0.168   0.413
0.1403  0.912  -0.129   0.476
0.1603  0.883  -0.025   0.578
0.1818  0.804   0.068   0.636
0.2005  0.732   0.149   0.702
0.2213  0.672   0.184   0.734
0.2621  0.688   0.215   0.746
0.2815  0.710   0.205   0.716
0.3007  0.734   0.195   0.687
