## F1, Alpha= 30 deg., Re= 40 Mio.
# Mean velocities in flow field
#
# Nomenclature:
# DPN       data point number
# x0/2a     x-location of plane of measurement
# phi       circumferential angle (in degrees)
# h         distance from model surface (in m)
# V0        free stream (reference) velocity
# U,V,W     velocity components in model coordinates
#           U in direction of main axis
#           V normal to U and W
#           W normal to main axis in vertical plane
#
## DPN 995   Plane 11  x0/2a= 0.917    Ray 13   phi= 120
# h      U/V0    V/V0    W/V0
0.0166  0.716   0.142  -0.082
0.0276  0.631   0.109   0.022
0.0377  0.522   0.094   0.281
0.0481  0.597   0.023   0.504
0.0590  0.686  -0.045   0.583
0.0691  0.702  -0.062   0.595
0.0803  0.706  -0.073   0.597
0.0902  0.711  -0.073   0.602
0.1002  0.714  -0.074   0.609
0.1105  0.718  -0.075   0.611
0.1206  0.721  -0.072   0.617
0.1314  0.724  -0.069   0.624
0.1419  0.727  -0.063   0.628
0.1619  0.733  -0.051   0.637
0.1818  0.740  -0.041   0.641
0.2016  0.746  -0.029   0.640
0.2210  0.749  -0.022   0.640
0.2411  0.751  -0.014   0.639
0.2623  0.753  -0.011   0.634
0.2822  0.752  -0.010   0.631
0.3016  0.752  -0.008   0.628
