## NOMENCLATURE:
# PHI      CIRCUMFERENTIAL MODEL ANGLE
# CF       WALL SHEAR STRESS COEFFICIENT (= LOCAL WALL SHEAR STRESS
#                           NORMALIZED WITH FREE STREAM DYNAMIC PRESSURE)
# GAMMA    WALL SHEAR STRESS ANGLE
# 
# 
##                D F V L R   RESEARCH CENTER   A V A   G&O.TTINGEN
# 
#            WALL SHEAR STRESS MEASUREMENTS ON A 1:6 PROLATE SPHEROID
# 
#    ONERA F1 WIND TUNNEL                     STAGN. PRESSURE  P0= 3.8 bar
# 
#    RUN: 1309  0                             INCIDENCE    ALPHA= 30.0 deg
# 
#    VELOCITY  UINF= 75.8 m/s                 REYNOLDS NO.   Re=43.54E06
# 
#    MEASURING STATION:    NO.  5  ,  X0/2A= 0.401
# 
#   PHI     CF    GAMMA
#  (DEG)    --    (DEG)
    0.3  0.00287   0.7    
    2.1  0.00291   3.7    
    3.9  0.00297   6.3    
    5.6  0.00302   9.1    
    7.4  0.00307  11.4    
    9.2  0.00313  14.2    
   10.9  0.00318  16.7    
   12.7  0.00322  18.7    
   14.4  0.00328  21.3    
   16.2  0.00336  23.4    
   18.0  0.00339  25.4    
   19.7  0.00343  27.7    
   21.5  0.00348  29.8    
   23.3  0.00354  31.9    
   25.1  0.00358  33.6    
   26.8  0.00364  35.3    
   28.6  0.00371  37.1    
   30.4  0.00376  38.8    
   32.1  0.00379  40.2    
   34.0  0.00382  42.0    
   35.7  0.00390  43.3    
   37.5  0.00391  44.8    
   39.3  0.00398  46.3    
   41.0  0.00404  47.6    
   42.8  0.00407  48.8    
   44.5  0.00412  50.0    
   46.2  0.00414  51.2    
   48.0  0.00418  52.1    
   49.7  0.00419  53.1    
   51.4  0.00422  54.0    
   53.1  0.00426  54.9    
   54.8  0.00429  55.6    
   56.5  0.00429  56.1    
   58.2  0.00434  56.6    
   60.0  0.00433  57.3    
   61.7  0.00435  57.9    
   63.5  0.00434  58.3    
   65.1  0.00436  59.0    
   66.9  0.00438  59.2    
   68.6  0.00438  59.7    
   70.3  0.00437  59.9    
   71.9  0.00435  60.5    
   73.6  0.00433  60.7    
   75.3  0.00433  60.6    
   77.1  0.00431  60.6    
   78.8  0.00431  60.9    
   80.6  0.00427  60.8    
   82.3  0.00425  60.6    
   84.1  0.00420  60.5    
   85.9  0.00416  60.2    
   87.6  0.00413  59.7    
   89.3  0.00410  59.4    
   91.1  0.00404  59.3    
   92.8  0.00397  58.5    
   94.6  0.00393  58.2    
   96.3  0.00387  57.6    
   98.1  0.00380  56.9    
   99.9  0.00371  55.9    
  101.6  0.00362  54.8    
  103.4  0.00355  53.4    
  105.2  0.00346  52.3    
  106.9  0.00337  50.7    
  108.6  0.00325  49.1    
  110.4  0.00313  47.4    
  112.2  0.00299  45.5    
  113.9  0.00284  42.7    
  115.6  0.00270  40.0
  117.4  0.00252  35.8
  119.1  0.00228  31.7
  120.9  0.00202  26.0
  122.7  0.00173  19.7
  124.5  0.00144  12.4
  126.2  0.00116   5.4
  128.0  0.00093  -1.0
  129.7  0.00094 -15.3
  131.5  0.00122 -16.5
  133.2  0.00154 -13.9
  135.0  0.00178  -8.2
  136.7  0.00207 -12.3
  138.5  0.00235 -19.0
  140.2  0.00252 -21.9
  142.0  0.00262 -18.0
  143.8  0.00286  -4.2
  145.5  0.00314  12.1
  147.3  0.00283  20.3
  149.0  0.00201   9.2
  150.8  0.00212  -6.6
  152.6  0.00328 -23.5
  154.3  0.00389 -30.3
  156.1  0.00490 -18.5
  157.9  0.00510 -14.2
  159.6  0.00463 -15.1
  161.4  0.00381 -20.2
  163.2  0.00310 -26.1
  164.9  0.00271 -23.4
  166.7  0.00257 -17.1
  168.4  0.00254 -12.6
  170.2  0.00252 -10.7
  171.9  0.00262  -9.2
  173.7  0.00270  -7.3
  175.5  0.00277  -5.8
  177.3  0.00279  -3.4
  179.0  0.00288  -1.3
  180.8  0.00292   0.8
  182.6  0.00289   3.6
  184.4  0.00290   5.0
