## F1, Alpha= 30 deg., Re= 40 Mio.
# Mean velocities in flow field
#
# Nomenclature:
# DPN       data point number
# x0/2a     x-location of plane of measurement
# phi       circumferential angle (in degrees)
# h         distance from model surface (in m)
# V0        free stream (reference) velocity
# U,V,W     velocity components in model coordinates
#           U in direction of main axis
#           V normal to U and W
#           W normal to main axis in vertical plane
#
## DPN 1215   Plane 6  x0/2a= 0.7    Ray 15   phi= 100
# h      U/V0    V/V0    W/V0
0.0142  0.790   0.130   0.816
0.0242  0.787   0.105   0.789
0.0345  0.787   0.083   0.767
0.0400  0.787   0.077   0.757
0.0505  0.784   0.064   0.740
0.0605  0.783   0.055   0.726
0.0695  0.782   0.048   0.714
0.0798  0.782   0.044   0.702
0.0900  0.781   0.039   0.692
0.1005  0.780   0.035   0.682
0.1106  0.778   0.031   0.675
0.1209  0.778   0.027   0.666
0.1304  0.777   0.024   0.660
0.1406  0.777   0.020   0.654
0.1612  0.775   0.016   0.643
0.1813  0.773   0.011   0.634
0.2006  0.789   0.007   0.637
0.2210  0.786   0.004   0.629
0.2420  0.784   0.001   0.622
0.2608  0.782  -0.001   0.617
0.2813  0.780  -0.004   0.611
0.3010  0.779  -0.006   0.606
