## NOMENCLATURE:
# PHI      CIRCUMFERENTIAL MODEL ANGLE
# CF       WALL SHEAR STRESS COEFFICIENT (= LOCAL WALL SHEAR STRESS
#                           NORMALIZED WITH FREE STREAM DYNAMIC PRESSURE)
# GAMMA    WALL SHEAR STRESS ANGLE
# 
# 
##                D F V L R   RESEARCH CENTER   A V A   G&O.TTINGEN
# 
#            WALL SHEAR STRESS MEASUREMENTS ON A 1:6 PROLATE SPHEROID
# 
#    ONERA F1 WIND TUNNEL                     STAGN. PRESSURE  P0= 3.8 bar
# 
#    RUN: 1309  0                             INCIDENCE    ALPHA= 30.0 deg
# 
#    VELOCITY  UINF= 75.8 m/s                 REYNOLDS NO.   Re=43.54E06
# 
#    MEASURING STATION:    NO.  9  ,  X0/2A= 0.741
# 
#   PHI     CF    GAMMA
#  (DEG)    --    (DEG)
    0.3  0.00345   0.4    
    2.1  0.00346   2.6    
    3.9  0.00349   4.9    
    5.6  0.00350   7.0    
    7.4  0.00350   9.3    
    9.2  0.00354  11.5    
   10.9  0.00354  13.6    
   12.7  0.00353  15.5    
   14.4  0.00357  17.9    
   16.2  0.00359  19.8    
   18.0  0.00358  21.7    
   19.7  0.00359  23.9    
   21.5  0.00359  26.1    
   23.3  0.00360  27.5    
   25.1  0.00362  29.1    
   26.8  0.00364  30.7    
   28.6  0.00365  32.7    
   30.4  0.00365  34.7    
   32.1  0.00365  36.8    
   34.0  0.00362  38.5    
   35.7  0.00362  40.0    
   37.5  0.00359  41.7    
   39.3  0.00358  43.5    
   41.0  0.00360  44.7    
   42.8  0.00358  46.5    
   44.5  0.00359  47.3    
   46.2  0.00359  48.8    
   48.0  0.00358  49.8    
   49.7  0.00356  51.1    
   51.4  0.00355  52.7    
   53.1  0.00354  53.4    
   54.8  0.00352  54.4    
   56.5  0.00347  55.4    
   58.2  0.00346  56.0    
   60.0  0.00345  56.9    
   61.7  0.00341  57.5    
   63.5  0.00338  58.2    
   65.1  0.00335  58.7    
   66.9  0.00334  59.0    
   68.6  0.00332  59.3    
   70.3  0.00326  59.5    
   71.9  0.00323  59.8    
   73.6  0.00320  60.0    
   75.3  0.00315  59.8    
   77.1  0.00310  59.7    
   78.8  0.00305  59.6    
   80.6  0.00298  59.2    
   82.3  0.00293  58.5    
   84.1  0.00288  57.9    
   85.9  0.00282  57.2    
   87.6  0.00275  56.2    
   89.3  0.00266  54.7    
   91.1  0.00259  53.2    
   92.8  0.00249  51.2    
   94.6  0.00238  48.4    
   96.3  0.00230  44.9    
   98.1  0.00217  40.9    
   99.9  0.00202  35.7    
  101.6  0.00184  29.6    
  103.4  0.00160  22.4    
  105.2  0.00131  14.5    
  106.9  0.00103   8.9    
  108.6  0.00081   1.8    
  110.4  0.00077 -12.2    
  112.2  0.00092 -14.7    
  113.9  0.00111 -12.6    
  115.6  0.00131 -10.9
  117.4  0.00151  -9.2
  119.1  0.00168  -6.8
  120.9  0.00180  -4.8
  122.7  0.00191  -5.5
  124.5  0.00207  -6.5
  126.2  0.00223  -7.9
  128.0  0.00243  -8.3
  129.7  0.00262  -8.1
  131.5  0.00274  -7.1
  133.2  0.00285  -3.6
  135.0  0.00292   1.2
  136.7  0.00300   6.7
  138.5  0.00294  11.2
  140.2  0.00277  13.2
  142.0  0.00254  14.8
  143.8  0.00214  13.0
  145.5  0.00177   7.5
  147.3  0.00160   2.6
  149.0  0.00156   0.4
  150.8  0.00165  -2.6
  152.6  0.00199  -9.1
  154.3  0.00249 -14.6
  156.1  0.00293 -19.1
  157.9  0.00318 -23.6
  159.6  0.00330 -27.5
  161.4  0.00340 -30.8
  163.2  0.00350 -32.1
  164.9  0.00357 -32.1
  166.7  0.00365 -31.2
  168.4  0.00373 -28.9
  170.2  0.00378 -25.9
  171.9  0.00383 -22.3
  173.7  0.00391 -18.0
  175.5  0.00398 -12.9
  177.3  0.00399  -8.4
  179.0  0.00408  -4.0
  180.8  0.00416   1.2
  182.6  0.00415   5.7
  184.4  0.00422  10.2
