## F1, Alpha= 30 deg., Re= 40 Mio.
# Mean velocities in flow field
#
# Nomenclature:
# DPN       data point number
# x0/2a     x-location of plane of measurement
# phi       circumferential angle (in degrees)
# h         distance from model surface (in m)
# V0        free stream (reference) velocity
# U,V,W     velocity components in model coordinates
#           U in direction of main axis
#           V normal to U and W
#           W normal to main axis in vertical plane
#
## DPN 993   Plane 11  x0/2a= 0.917    Ray 11   phi= 135
# h      U/V0    V/V0    W/V0
0.0154  0.659   0.165  -0.069
0.0253  0.654   0.117  -0.110
0.0357  0.694   0.056  -0.117
0.0409  0.730   0.042  -0.108
0.0516  0.771   0.010  -0.048
0.0616  0.781  -0.018   0.032
0.0711  0.778  -0.024   0.122
0.0776  0.754  -0.030   0.195
0.0885  0.709  -0.054   0.306
0.0985  0.685  -0.068   0.393
0.1089  0.680  -0.070   0.485
0.1187  0.673  -0.081   0.544
0.1299  0.685  -0.084   0.610
0.1413  0.700  -0.079   0.655
0.1613  0.711  -0.051   0.693
0.1806  0.723  -0.020   0.709
0.2006  0.730   0.005   0.707
0.2209  0.736   0.029   0.697
0.2401  0.739   0.048   0.682
0.2605  0.738   0.056   0.670
0.2800  0.737   0.058   0.657
0.3009  0.737   0.055   0.648
