## NOMENCLATURE:
# PHI      CIRCUMFERENTIAL MODEL ANGLE
# CF       WALL SHEAR STRESS COEFFICIENT (= LOCAL WALL SHEAR STRESS
#                           NORMALIZED WITH FREE STREAM DYNAMIC PRESSURE)
# GAMMA    WALL SHEAR STRESS ANGLE
# 
# 
##                D F V L R   RESEARCH CENTER   A V A   G&O.TTINGEN
# 
#            WALL SHEAR STRESS MEASUREMENTS ON A 1:6 PROLATE SPHEROID
# 
#    ONERA F1 WIND TUNNEL                     STAGN. PRESSURE  P0= 3.8 bar
# 
#    RUN: 1309  0                             INCIDENCE    ALPHA= 30.0 deg
# 
#    VELOCITY  UINF= 75.8 m/s                 REYNOLDS NO.   Re=43.54E06
# 
#    MEASURING STATION:    NO.  7  ,  X0/2A= 0.571
# 
#   PHI     CF    GAMMA
#  (DEG)    --    (DEG)
   -4.9  0.00289  -8.0    
   -3.2  0.00292  -5.3    
   -1.4  0.00295  -2.7    
    0.4  0.00297  -0.1    
    2.1  0.00298   2.5    
    4.0  0.00298   4.5    
    5.7  0.00302   7.1    
    7.5  0.00303   9.1    
    9.3  0.00306  11.4    
   11.0  0.00309  13.8    
   12.8  0.00310  15.9    
   14.5  0.00313  18.0    
   16.2  0.00316  20.1    
   18.0  0.00317  22.1    
   19.7  0.00320  24.1    
   21.4  0.00322  26.1    
   23.1  0.00324  27.9    
   24.8  0.00326  30.0    
   26.5  0.00328  31.8    
   28.2  0.00328  33.4    
   30.0  0.00331  35.3    
   31.7  0.00334  36.8    
   33.5  0.00335  38.4    
   35.1  0.00335  39.6    
   36.9  0.00339  41.5    
   38.6  0.00340  42.8    
   40.3  0.00340  44.5    
   41.9  0.00341  45.6    
   43.6  0.00342  47.1    
   45.3  0.00344  48.3    
   47.1  0.00343  49.9    
   48.8  0.00345  50.9    
   50.6  0.00345  52.0    
   52.3  0.00344  53.1    
   54.1  0.00344  54.1    
   55.9  0.00344  54.9    
   57.6  0.00344  56.0    
   59.3  0.00344  56.7    
   61.1  0.00345  57.3    
   62.8  0.00342  57.8    
   64.6  0.00341  58.4    
   66.3  0.00342  58.9    
   68.1  0.00339  59.2    
   69.9  0.00338  59.5    
   71.6  0.00336  59.7    
   73.4  0.00335  59.8    
   75.2  0.00332  60.2    
   76.9  0.00331  60.3    
   78.6  0.00326  60.3    
   80.4  0.00322  60.1    
   82.2  0.00318  60.1    
   83.9  0.00315  59.6    
   85.6  0.00310  59.3    
   87.4  0.00308  58.9    
   89.1  0.00304  58.5    
   90.9  0.00297  57.7    
   92.7  0.00289  57.1    
   94.5  0.00285  55.9    
   96.2  0.00279  54.8    
   98.0  0.00273  53.7    
   99.7  0.00265  51.9    
  101.5  0.00256  50.1    
  103.2  0.00248  47.6    
  105.0  0.00237  44.7    
  106.7  0.00228  41.2    
  108.5  0.00212  36.8    
  110.2  0.00198  31.7    
  112.0  0.00177  25.2    
  113.8  0.00154  18.8    
  115.5  0.00126  11.4
  117.3  0.00099   5.1
  119.0  0.00082  -4.6
  120.8  0.00088 -15.4
  122.6  0.00108 -14.9
  124.3  0.00132 -12.7
  126.1  0.00151 -10.2
  127.9  0.00164  -7.6
  129.6  0.00178  -8.6
  131.4  0.00199 -11.9
  133.2  0.00223 -13.5
  134.9  0.00240 -13.5
  136.7  0.00252 -12.9
  138.4  0.00264  -8.5
  140.2  0.00271  -2.1
  141.9  0.00270   4.5
  143.7  0.00263   9.3
  145.5  0.00236   9.8
  147.3  0.00200   6.0
  149.0  0.00181   0.2
  150.8  0.00189  -4.3
  152.6  0.00235 -13.5
  154.4  0.00300 -20.2
  156.2  0.00323 -28.7
  158.0  0.00331 -35.4
  159.7  0.00334 -39.3
  161.5  0.00339 -40.5
  163.3  0.00340 -39.8
  165.1  0.00337 -38.1
  166.8  0.00335 -34.0
  168.6  0.00340 -28.9
  170.4  0.00343 -23.5
  172.2  0.00344 -17.8
  174.0  0.00345 -13.5
  175.8  0.00350  -8.9
  177.6  0.00352  -5.0
  179.4  0.00355  -0.7
  181.2  0.00361   3.0
  183.0  0.00368   6.7
  184.8  0.00374  10.5
