## NOMENCLATURE:
# PHI      CIRCUMFERENTIAL MODEL ANGLE
# CF       WALL SHEAR STRESS COEFFICIENT (= LOCAL WALL SHEAR STRESS
#                           NORMALIZED WITH FREE STREAM DYNAMIC PRESSURE)
# GAMMA    WALL SHEAR STRESS ANGLE
# 
# 
##                D F V L R   RESEARCH CENTER   A V A   G&O.TTINGEN
# 
#            WALL SHEAR STRESS MEASUREMENTS ON A 1:6 PROLATE SPHEROID
# 
#    ONERA F1 WIND TUNNEL                     STAGN. PRESSURE  P0= 3.8 bar
# 
#    RUN: 1309  0                             INCIDENCE    ALPHA= 30.0 deg
# 
#    VELOCITY  UINF= 75.8 m/s                 REYNOLDS NO.   Re=43.54E06
# 
#    MEASURING STATION:    NO. 12  ,  X0/2A= 0.947
# 
#   PHI     CF    GAMMA
#  (DEG)    --    (DEG)
   -4.0  0.00427  -6.1    
   -2.2  0.00428  -4.2    
   -0.5  0.00432  -2.4    
    1.2  0.00434  -0.7    
    3.0  0.00435   1.3    
    4.7  0.00438   2.8    
    6.4  0.00439   5.3    
    8.1  0.00443   7.1    
    9.8  0.00444   8.8    
   11.5  0.00441  10.4    
   13.2  0.00441  12.0    
   15.0  0.00446  13.5    
   16.7  0.00444  15.2    
   18.5  0.00444  17.0    
   20.1  0.00442  18.6    
   21.9  0.00443  20.1    
   23.6  0.00441  21.8    
   25.3  0.00438  23.5    
   26.9  0.00437  25.2    
   28.6  0.00434  26.7    
   30.3  0.00431  28.1    
   32.1  0.00428  29.4    
   33.8  0.00430  30.7    
   35.6  0.00423  31.5    
   37.3  0.00419  33.2    
   39.1  0.00413  34.3    
   40.9  0.00408  35.4    
   42.6  0.00402  36.5    
   44.3  0.00396  38.0    
   46.1  0.00390  39.0    
   47.8  0.00383  39.9    
   49.6  0.00375  40.5    
   51.3  0.00367  41.2    
   53.1  0.00359  42.5    
   54.9  0.00351  43.2    
   56.6  0.00339  44.2    
   58.4  0.00328  44.6    
   60.2  0.00318  44.5    
   61.9  0.00308  44.3    
   63.6  0.00296  44.2    
   65.4  0.00282  42.9    
   67.2  0.00269  41.4    
   68.9  0.00255  40.2    
   70.6  0.00239  37.9    
   72.4  0.00225  35.0    
   74.1  0.00206  31.4    
   75.9  0.00188  28.1    
   77.7  0.00168  24.1    
   79.5  0.00152  20.3    
   81.2  0.00132  15.7    
   83.0  0.00110  13.6    
   84.7  0.00093  11.6    
   86.5  0.00077   9.2    
   88.2  0.00066   3.4    
   90.0  0.00060  -6.5    
   91.7  0.00063 -13.2    
   93.5  0.00068 -16.6    
   95.2  0.00079 -16.5    
   97.0  0.00090 -14.5    
   98.8  0.00104 -12.3    
  100.5  0.00116 -10.3    
  102.3  0.00126  -6.9    
  104.0  0.00137  -5.1    
  105.8  0.00145  -3.0    
  107.6  0.00150  -1.5    
  109.3  0.00154  -1.8    
  111.1  0.00164  -1.2    
  112.9  0.00169  -2.8    
  114.6  0.00173  -2.8
  116.4  0.00181  -1.7
  118.2  0.00186  -1.1
  119.9  0.00189   0.2
  121.7  0.00191   1.5
  123.4  0.00194   3.2
  125.2  0.00197   4.4
  126.9  0.00200   5.3
  128.7  0.00205   5.8
  130.5  0.00203   6.5
  132.3  0.00206   7.9
  134.0  0.00206   8.1
  135.8  0.00202   9.7
  137.6  0.00186  10.6
  139.4  0.00170  11.8
  141.2  0.00158  12.2
  143.0  0.00140  12.0
  144.7  0.00130  10.1
  146.5  0.00120   8.9
  148.3  0.00117   8.5
  150.1  0.00112   8.2
  151.8  0.00112   7.2
  153.6  0.00113   6.0
  155.4  0.00121   4.0
  157.2  0.00134  -0.4
  159.0  0.00153  -4.3
  160.8  0.00184  -7.2
  162.6  0.00218  -7.1
  164.4  0.00252  -7.2
  166.2  0.00276  -6.2
  168.0  0.00297  -6.3
  169.8  0.00317  -6.9
  171.6  0.00329  -7.3
  173.4  0.00339  -6.7
  175.2  0.00343  -6.1
  177.0  0.00350  -4.9
  178.8  0.00350  -4.6
  180.6  0.00352  -3.2
  182.4  0.00347  -2.9
  184.2  0.00347  -1.5
