## F1, Alpha= 30 deg., Re= 40 Mio.
# Mean velocities in flow field
#
# Nomenclature:
# DPN       data point number
# x0/2a     x-location of plane of measurement
# phi       circumferential angle (in degrees)
# h         distance from model surface (in m)
# V0        free stream (reference) velocity
# U,V,W     velocity components in model coordinates
#           U in direction of main axis
#           V normal to U and W
#           W normal to main axis in vertical plane
#
## DPN 996   Plane 11  x0/2a= 0.917    Ray 14   phi= 110
# h      U/V0    V/V0    W/V0
0.0129  0.545   0.109  -0.016
0.0226  0.485   0.077   0.435
0.0331  0.704  -0.048   0.598
0.0435  0.711  -0.053   0.601
0.0536  0.712  -0.059   0.600
0.0638  0.713  -0.061   0.601
0.0736  0.717  -0.064   0.602
0.0790  0.718  -0.064   0.602
0.0894  0.720  -0.064   0.602
0.0995  0.722  -0.064   0.605
0.1100  0.725  -0.063   0.605
0.1198  0.728  -0.062   0.609
0.1300  0.730  -0.060   0.609
0.1404  0.732  -0.060   0.610
0.1603  0.735  -0.055   0.613
0.1800  0.738  -0.049   0.615
0.2005  0.740  -0.045   0.616
0.2207  0.743  -0.040   0.616
0.2412  0.744  -0.039   0.614
0.2605  0.745  -0.035   0.614
0.2805  0.745  -0.035   0.613
0.3007  0.747  -0.034   0.609
