## F1, Alpha= 30 deg., Re= 40 Mio.
# Mean velocities in flow field
#
# Nomenclature:
# DPN       data point number
# x0/2a     x-location of plane of measurement
# phi       circumferential angle (in degrees)
# h         distance from model surface (in m)
# V0        free stream (reference) velocity
# U,V,W     velocity components in model coordinates
#           U in direction of main axis
#           V normal to U and W
#           W normal to main axis in vertical plane
#
## DPN 1178   Plane 2  x0/2a= 0.527    Ray 9   phi= 145
# h      U/V0    V/V0    W/V0
0.0164  0.794  -0.106  -0.049
0.0260  0.932  -0.148  -0.001
0.0375  0.873  -0.072   0.163
0.0411  0.772   0.004   0.261
0.0523  0.694   0.168   0.513
0.0606  0.749   0.204   0.703
0.0715  0.763   0.210   0.750
0.0817  0.769   0.219   0.744
0.0913  0.778   0.232   0.729
0.1014  0.789   0.235   0.711
0.1113  0.784   0.226   0.701
0.1210  0.781   0.214   0.688
0.1324  0.782   0.204   0.671
0.1407  0.780   0.189   0.657
0.1619  0.778   0.161   0.631
0.1811  0.776   0.136   0.610
0.2020  0.774   0.115   0.595
0.2217  0.773   0.098   0.588
0.2422  0.773   0.084   0.580
0.2626  0.771   0.074   0.575
0.2819  0.770   0.062   0.571
0.2975  0.768   0.056   0.571
