## NOMENCLATURE:
# PHI      CIRCUMFERENTIAL MODEL ANGLE
# CF       WALL SHEAR STRESS COEFFICIENT (= LOCAL WALL SHEAR STRESS
#                           NORMALIZED WITH FREE STREAM DYNAMIC PRESSURE)
# GAMMA    WALL SHEAR STRESS ANGLE
# 
# 
##                D F V L R   RESEARCH CENTER   A V A   G&O.TTINGEN
# 
#            WALL SHEAR STRESS MEASUREMENTS ON A 1:6 PROLATE SPHEROID
# 
#    ONERA F1 WIND TUNNEL                     STAGN. PRESSURE  P0= 3.8 bar
# 
#    RUN: 1309  0                             INCIDENCE    ALPHA= 30.0 deg
# 
#    VELOCITY  UINF= 75.8 m/s                 REYNOLDS NO.   Re=43.54E06
# 
#    MEASURING STATION:    NO. 10  ,  X0/2A= 0.828
# 
#   PHI     CF    GAMMA
#  (DEG)    --    (DEG)
   -4.1  0.00363  -6.0    
   -2.3  0.00363  -4.1    
   -0.6  0.00367  -1.7    
    1.2  0.00370   0.4    
    3.0  0.00373   2.2    
    4.7  0.00373   4.6    
    6.5  0.00373   6.2    
    8.3  0.00376   8.1    
   10.1  0.00376  10.1    
   11.8  0.00380  11.9    
   13.6  0.00381  13.9    
   15.4  0.00382  15.8    
   17.1  0.00386  17.2    
   19.0  0.00386  19.3    
   20.7  0.00388  20.9    
   22.5  0.00387  22.8    
   24.3  0.00389  24.6    
   26.0  0.00390  26.0    
   27.8  0.00389  27.3    
   29.5  0.00390  28.7    
   31.2  0.00391  30.3    
   33.0  0.00390  31.7    
   34.7  0.00391  33.2    
   36.4  0.00390  34.6    
   38.1  0.00390  35.9    
   39.8  0.00390  37.4    
   41.5  0.00388  38.5    
   43.2  0.00386  39.6    
   45.0  0.00386  40.8    
   46.7  0.00384  41.9    
   48.5  0.00382  42.9    
   50.1  0.00380  43.8    
   51.9  0.00381  44.4    
   53.6  0.00379  45.4    
   55.3  0.00373  46.3    
   56.9  0.00371  46.9    
   58.6  0.00367  47.7    
   60.3  0.00364  48.5    
   62.1  0.00360  48.8    
   63.8  0.00356  49.0    
   65.6  0.00350  49.2    
   67.3  0.00345  49.8    
   69.1  0.00339  49.7    
   70.9  0.00334  49.7    
   72.6  0.00328  49.1    
   74.3  0.00321  49.1    
   76.1  0.00316  49.0    
   77.8  0.00308  48.4    
   79.6  0.00297  47.7    
   81.3  0.00292  46.9    
   83.1  0.00281  46.0    
   84.9  0.00272  44.1    
   86.6  0.00260  42.6    
   88.4  0.00248  40.2    
   90.2  0.00235  36.8    
   91.9  0.00220  33.0    
   93.6  0.00202  28.6    
   95.4  0.00175  22.0    
   97.2  0.00144  15.9    
   98.9  0.00114  10.7    
  100.6  0.00085   4.9    
  102.4  0.00071  -7.5    
  104.1  0.00074 -17.4    
  105.9  0.00090 -17.3    
  107.7  0.00108 -14.3    
  109.5  0.00127 -12.7    
  111.2  0.00141 -11.5    
  113.0  0.00157  -9.4    
  114.7  0.00171  -7.8
  116.5  0.00181  -6.2
  118.2  0.00192  -7.2
  120.0  0.00204  -7.7
  121.7  0.00219  -9.5
  123.5  0.00236  -9.7
  125.2  0.00248  -8.8
  127.0  0.00259  -8.2
  128.8  0.00272  -7.0
  130.5  0.00281  -3.4
  132.3  0.00286   0.2
  134.0  0.00288   3.4
  135.8  0.00285   6.2
  137.6  0.00276   8.3
  139.3  0.00259  10.1
  141.1  0.00224   9.7
  142.9  0.00187   7.4
  144.6  0.00159   2.8
  146.4  0.00144  -0.4
  148.2  0.00143  -1.0
  149.9  0.00147  -2.5
  151.7  0.00164  -8.8
  153.4  0.00203 -13.5
  155.2  0.00249 -16.6
  156.9  0.00288 -19.3
  158.7  0.00311 -22.8
  160.5  0.00325 -25.7
  162.3  0.00334 -27.5
  164.0  0.00342 -28.2
  165.8  0.00354 -28.1
  167.6  0.00359 -27.4
  169.4  0.00369 -25.9
  171.2  0.00373 -23.9
  173.0  0.00380 -21.1
  174.7  0.00386 -17.6
  176.5  0.00394 -13.9
  178.3  0.00401  -9.5
  180.1  0.00407  -5.6
  181.8  0.00411  -2.1
  183.6  0.00415   2.1
