## F1, Alpha= 30 deg., Re= 40 Mio.
# Mean velocities in flow field
#
# Nomenclature:
# DPN       data point number
# x0/2a     x-location of plane of measurement
# phi       circumferential angle (in degrees)
# h         distance from model surface (in m)
# V0        free stream (reference) velocity
# U,V,W     velocity components in model coordinates
#           U in direction of main axis
#           V normal to U and W
#           W normal to main axis in vertical plane
#
## DPN 991   Plane 11  x0/2a= 0.917    Ray 9   phi= 145
# h      U/V0    V/V0    W/V0
0.0139  0.702   0.029  -0.111
0.0240  0.875  -0.081  -0.096
0.0343  0.915  -0.120  -0.069
0.0394  0.919  -0.128  -0.058
0.0495  0.925  -0.144  -0.033
0.0591  0.930  -0.153   0.002
0.0694  0.931  -0.162   0.042
0.0804  0.946  -0.168   0.111
0.0900  0.947  -0.168   0.169
0.1008  0.946  -0.170   0.245
0.1112  0.943  -0.172   0.321
0.1208  0.924  -0.167   0.384
0.1314  0.906  -0.145   0.453
0.1410  0.866  -0.110   0.516
0.1615  0.775  -0.033   0.611
0.1825  0.690   0.059   0.713
0.1973  0.693   0.100   0.770
0.2175  0.709   0.135   0.792
0.2384  0.727   0.151   0.768
0.2586  0.738   0.155   0.735
0.2781  0.745   0.148   0.700
0.3011  0.747   0.144   0.667
