## F1, Alpha= 30 deg., Re= 40 Mio.
# Mean velocities in flow field
#
# Nomenclature:
# DPN       data point number
# x0/2a     x-location of plane of measurement
# phi       circumferential angle (in degrees)
# h         distance from model surface (in m)
# V0        free stream (reference) velocity
# U,V,W     velocity components in model coordinates
#           U in direction of main axis
#           V normal to U and W
#           W normal to main axis in vertical plane
#
## DPN 987   Plane 11  x0/2a= 0.917    Ray 5   phi= 165
# h      U/V0    V/V0    W/V0
0.0146  0.946  -0.013  -0.213
0.0240  0.925  -0.021  -0.228
0.0326  0.908  -0.021  -0.251
0.0387  0.894  -0.033  -0.261
0.0484  0.879  -0.041  -0.282
0.0582  0.870  -0.054  -0.305
0.0684  0.874  -0.070  -0.329
0.0787  0.876  -0.088  -0.344
0.0881  0.876  -0.102  -0.381
0.0986  0.877  -0.115  -0.404
0.1076  0.878  -0.105  -0.428
0.1176  0.896  -0.092  -0.429
0.1286  0.870  -0.039  -0.436
0.1383  0.871   0.007  -0.428
0.1593  0.877   0.171  -0.314
0.1791  0.899   0.249  -0.165
0.1988  0.896   0.250  -0.013
0.2189  0.893   0.254   0.142
0.2412  0.843   0.246   0.232
0.2621  0.793   0.241   0.309
0.2819  0.749   0.283   0.399
0.2985  0.735   0.301   0.439
