## NOMENCLATURE:
# PHI      CIRCUMFERENTIAL MODEL ANGLE
# CF       WALL SHEAR STRESS COEFFICIENT (= LOCAL WALL SHEAR STRESS
#                           NORMALIZED WITH FREE STREAM DYNAMIC PRESSURE)
# GAMMA    WALL SHEAR STRESS ANGLE
# 
# 
##                D F V L R   RESEARCH CENTER   A V A   G&O.TTINGEN
# 
#            WALL SHEAR STRESS MEASUREMENTS ON A 1:6 PROLATE SPHEROID
# 
#    ONERA F1 WIND TUNNEL                     STAGN. PRESSURE  P0= 3.8 bar
# 
#    RUN: 1309  0                             INCIDENCE    ALPHA= 30.0 deg
# 
#    VELOCITY  UINF= 75.8 m/s                 REYNOLDS NO.   Re=43.54E06
# 
#    MEASURING STATION:    NO.  8  ,  X0/2A= 0.658
# 
#   PHI     CF    GAMMA
#  (DEG)    --    (DEG)
   -4.0  0.00297  -5.5    
   -2.2  0.00299  -3.1    
   -0.5  0.00302  -1.0    
    1.2  0.00306   1.1    
    3.0  0.00309   3.5    
    4.7  0.00311   5.4    
    6.4  0.00311   7.5    
    8.1  0.00313   9.6    
    9.8  0.00315  11.8    
   11.5  0.00316  13.9    
   13.2  0.00321  15.7    
   15.0  0.00324  17.6    
   16.7  0.00325  19.7    
   18.5  0.00325  21.7    
   20.1  0.00327  23.7    
   21.9  0.00331  25.4    
   23.6  0.00333  27.2    
   25.3  0.00333  28.9    
   26.9  0.00335  30.8    
   28.6  0.00337  32.2    
   30.3  0.00339  33.9    
   32.1  0.00338  35.7    
   33.8  0.00343  37.3    
   35.6  0.00342  38.8    
   37.3  0.00344  40.2    
   39.1  0.00344  41.7    
   40.9  0.00343  42.8    
   42.6  0.00344  44.2    
   44.3  0.00345  45.6    
   46.1  0.00347  46.9    
   47.8  0.00346  48.1    
   49.6  0.00344  49.6    
   51.3  0.00347  50.6    
   53.1  0.00343  51.7    
   54.9  0.00342  52.8    
   56.6  0.00343  53.7    
   58.4  0.00341  54.5    
   60.2  0.00341  55.1    
   61.9  0.00342  55.5    
   63.6  0.00338  56.2    
   65.4  0.00336  56.5    
   67.2  0.00334  56.9    
   68.9  0.00332  57.4    
   70.6  0.00329  57.5    
   72.4  0.00329  57.7    
   74.1  0.00327  57.5    
   75.9  0.00322  57.7    
   77.7  0.00316  57.5    
   79.5  0.00314  57.6    
   81.2  0.00309  57.4    
   83.0  0.00303  57.0    
   84.7  0.00298  56.8    
   86.5  0.00292  55.8    
   88.2  0.00288  55.5    
   90.0  0.00281  54.6    
   91.7  0.00276  53.5    
   93.5  0.00267  52.1    
   95.2  0.00260  50.3    
   97.0  0.00249  48.5    
   98.8  0.00240  46.4    
  100.5  0.00229  43.7    
  102.3  0.00217  39.7    
  104.0  0.00205  35.2    
  105.8  0.00185  28.9    
  107.6  0.00165  22.3    
  109.3  0.00139  15.3    
  111.1  0.00108   8.2    
  112.9  0.00086   1.8    
  114.6  0.00077 -10.7
  116.4  0.00090 -16.0
  118.2  0.00111 -13.9
  119.9  0.00131 -12.0
  121.7  0.00149 -10.3
  123.4  0.00164  -7.9
  125.2  0.00176  -7.1
  126.9  0.00193  -8.8
  128.7  0.00212 -10.8
  130.5  0.00232 -11.2
  132.3  0.00249 -11.5
  134.0  0.00255  -9.0
  135.8  0.00266  -5.5
  137.6  0.00270  -0.2
  139.4  0.00275   4.5
  141.2  0.00271   9.9
  143.0  0.00247  11.5
  144.7  0.00215   9.6
  146.5  0.00182   3.7
  148.3  0.00170  -0.7
  150.1  0.00177  -3.7
  151.8  0.00205  -9.9
  153.6  0.00255 -16.4
  155.4  0.00297 -22.0
  157.2  0.00315 -28.6
  159.0  0.00321 -33.5
  160.8  0.00326 -36.5
  162.6  0.00334 -38.0
  164.4  0.00336 -37.4
  166.2  0.00340 -35.3
  168.0  0.00345 -31.7
  169.8  0.00350 -27.4
  171.6  0.00355 -22.5
  173.4  0.00363 -17.7
  175.2  0.00369 -12.7
  177.0  0.00375  -7.9
  178.8  0.00379  -3.3
  180.6  0.00388   1.7
  182.4  0.00394   6.2
  184.2  0.00398  10.5
