## F1, Alpha= 30 deg., Re= 40 Mio.
# Mean velocities in flow field
#
# Nomenclature:
# DPN       data point number
# x0/2a     x-location of plane of measurement
# phi       circumferential angle (in degrees)
# h         distance from model surface (in m)
# V0        free stream (reference) velocity
# U,V,W     velocity components in model coordinates
#           U in direction of main axis
#           V normal to U and W
#           W normal to main axis in vertical plane
#
## DPN 1213   Plane 6  x0/2a= 0.7    Ray 13   phi= 120
# h      U/V0    V/V0    W/V0
0.0140  0.458   0.078   0.227
0.0237  0.745   0.122   0.698
0.0354  0.764   0.110   0.703
0.0398  0.765   0.110   0.704
0.0502  0.766   0.106   0.700
0.0604  0.767   0.103   0.696
0.0699  0.767   0.101   0.692
0.0805  0.768   0.100   0.687
0.0892  0.768   0.097   0.683
0.0998  0.768   0.094   0.677
0.1106  0.767   0.091   0.672
0.1196  0.766   0.087   0.669
0.1301  0.765   0.083   0.665
0.1406  0.765   0.080   0.661
0.1602  0.764   0.073   0.654
0.1797  0.763   0.067   0.646
0.1996  0.761   0.060   0.640
0.2207  0.761   0.057   0.630
0.2401  0.760   0.052   0.623
0.2603  0.760   0.049   0.616
0.2797  0.760   0.045   0.611
0.3007  0.761   0.040   0.603
