## F1, Alpha= 30 deg., Re= 40 Mio.
# Mean velocities in flow field
#
# Nomenclature:
# DPN       data point number
# x0/2a     x-location of plane of measurement
# phi       circumferential angle (in degrees)
# h         distance from model surface (in m)
# V0        free stream (reference) velocity
# U,V,W     velocity components in model coordinates
#           U in direction of main axis
#           V normal to U and W
#           W normal to main axis in vertical plane
#
## DPN 1173   Plane 2  x0/2a= 0.527    Ray 4   phi= 170
# h      U/V0    V/V0    W/V0
0.0149  0.995  -0.143  -0.075
0.0253  0.994  -0.085  -0.130
0.0361  0.991  -0.028  -0.173
0.0408  0.991   0.010  -0.190
0.0523  0.987   0.089  -0.179
0.0621  0.958   0.161  -0.151
0.0734  0.951   0.204  -0.081
0.0779  0.947   0.214  -0.039
0.0880  0.932   0.219   0.043
0.0990  0.920   0.209   0.105
0.1091  0.913   0.194   0.132
0.1189  0.906   0.184   0.174
0.1289  0.894   0.171   0.218
0.1395  0.878   0.134   0.284
0.1596  0.853   0.104   0.334
0.1799  0.840   0.083   0.365
0.2008  0.830   0.065   0.393
0.2211  0.824   0.050   0.414
0.2389  0.821   0.043   0.425
0.2637  0.814   0.034   0.439
0.2812  0.808   0.027   0.452
0.3008  0.805   0.022   0.461
