## F1, Alpha= 30 deg., Re= 40 Mio.
# Mean velocities in flow field
#
# Nomenclature:
# DPN       data point number
# x0/2a     x-location of plane of measurement
# phi       circumferential angle (in degrees)
# h         distance from model surface (in m)
# V0        free stream (reference) velocity
# U,V,W     velocity components in model coordinates
#           U in direction of main axis
#           V normal to U and W
#           W normal to main axis in vertical plane
#
## DPN 1179   Plane 2  x0/2a= 0.527    Ray 10   phi= 140
# h      U/V0    V/V0    W/V0
0.0111  0.788  -0.025  -0.078
0.0230  0.746  -0.024  -0.003
0.0340  0.581   0.159   0.323
0.0391  0.634   0.238   0.507
0.0481  0.753   0.214   0.707
0.0583  0.761   0.188   0.742
0.0691  0.763   0.184   0.744
0.0779  0.765   0.181   0.742
0.0919  0.768   0.178   0.731
0.1023  0.769   0.175   0.721
0.1120  0.770   0.170   0.709
0.1221  0.771   0.164   0.697
0.1318  0.771   0.155   0.683
0.1422  0.772   0.147   0.673
0.1620  0.772   0.129   0.651
0.1819  0.771   0.114   0.633
0.2023  0.770   0.099   0.621
0.2219  0.770   0.085   0.611
0.2424  0.769   0.074   0.602
0.2619  0.768   0.065   0.594
0.2774  0.767   0.059   0.591
0.3007  0.768   0.050   0.587
