## NOMENCLATURE:
# PHI      CIRCUMFERENTIAL MODEL ANGLE
# CF       WALL SHEAR STRESS COEFFICIENT (= LOCAL WALL SHEAR STRESS
#                           NORMALIZED WITH FREE STREAM DYNAMIC PRESSURE)
# GAMMA    WALL SHEAR STRESS ANGLE
# 
# 
##                D F V L R   RESEARCH CENTER   A V A   G&O.TTINGEN
# 
#            WALL SHEAR STRESS MEASUREMENTS ON A 1:6 PROLATE SPHEROID
# 
#    ONERA F1 WIND TUNNEL                     STAGN. PRESSURE  P0= 3.8 bar
# 
#    RUN: 1309  0                             INCIDENCE    ALPHA= 30.0 deg
# 
#    VELOCITY  UINF= 75.8 m/s                 REYNOLDS NO.   Re=43.54E06
# 
#    MEASURING STATION:    NO.  4  ,  X0/2A= 0.315
# 
#   PHI     CF    GAMMA
#  (DEG)    --    (DEG)
   -4.0  0.00247  -7.4    
   -2.2  0.00251  -4.2    
   -0.5  0.00256  -1.6    
    1.2  0.00260   1.0    
    3.0  0.00267   4.0    
    4.7  0.00270   6.6    
    6.4  0.00275   9.6    
    8.1  0.00280  11.9    
    9.8  0.00286  14.1    
   11.5  0.00291  16.5    
   13.2  0.00296  18.6    
   15.0  0.00302  20.8    
   16.7  0.00309  23.0    
   18.5  0.00313  25.0    
   20.1  0.00320  27.0    
   21.9  0.00325  28.6    
   23.6  0.00330  30.5    
   25.3  0.00335  32.3    
   26.9  0.00341  33.8    
   28.6  0.00346  35.6    
   30.3  0.00353  37.5    
   32.1  0.00357  39.0    
   33.8  0.00364  40.3    
   35.6  0.00369  41.6    
   37.3  0.00374  42.9    
   39.1  0.00377  44.4    
   40.9  0.00383  45.6    
   42.6  0.00389  46.6    
   44.3  0.00394  47.9    
   46.1  0.00400  49.1    
   47.8  0.00402  49.9    
   49.6  0.00406  50.9    
   51.3  0.00411  51.8    
   53.1  0.00414  52.5    
   54.9  0.00417  53.2    
   56.6  0.00417  54.0    
   58.4  0.00420  54.7    
   60.2  0.00423  55.2    
   61.9  0.00429  55.8    
   63.6  0.00427  56.2    
   65.4  0.00427  56.7    
   67.2  0.00431  57.1    
   68.9  0.00431  57.7    
   70.6  0.00429  57.6    
   72.4  0.00433  58.0    
   74.1  0.00435  58.0    
   75.9  0.00431  58.0    
   77.7  0.00428  58.1    
   79.5  0.00429  58.1    
   81.2  0.00426  58.2    
   83.0  0.00423  58.0    
   84.7  0.00421  57.9    
   86.5  0.00417  57.5    
   88.2  0.00417  57.0    
   90.0  0.00411  56.4    
   91.7  0.00409  56.1    
   93.5  0.00405  55.9    
   95.2  0.00402  55.4    
   97.0  0.00392  54.8    
   98.8  0.00388  53.9    
  100.5  0.00382  53.1    
  102.3  0.00377  52.3    
  104.0  0.00368  51.3    
  105.8  0.00359  50.2    
  107.6  0.00352  49.1    
  109.3  0.00343  48.0    
  111.1  0.00334  46.6    
  112.9  0.00323  44.7    
  114.6  0.00311  42.7
  116.4  0.00299  40.4
  118.2  0.00287  38.0
  119.9  0.00271  35.8
  121.7  0.00254  32.3
  123.4  0.00236  28.4
  125.2  0.00213  24.3
  126.9  0.00187  18.8
  128.7  0.00160  13.2
  130.5  0.00133   6.9
  132.3  0.00108   1.1
  134.0  0.00091  -5.0
  135.8  0.00094 -18.7
  137.6  0.00122 -18.8
  139.4  0.00155 -16.5
  141.2  0.00194 -19.8
  143.0  0.00216 -17.1
  144.7  0.00231  -0.6
  146.5  0.00225  17.4
  148.3  0.00189   2.7
  150.1  0.00252 -18.8
  151.8  0.00312 -32.7
  153.6  0.00421 -22.7
  155.4  0.00518 -12.5
  157.2  0.00531  -8.7
  159.0  0.00482 -10.2
  160.8  0.00376 -17.5
  162.6  0.00294 -26.2
  164.4  0.00291 -13.5
  166.2  0.00281  -4.0
  168.0  0.00254  -2.1
  169.8  0.00248  -5.9
  171.6  0.00271  -9.3
  173.4  0.00286  -8.8
  175.2  0.00286  -5.3
  177.0  0.00283  -3.1
  178.8  0.00280  -1.7
  180.6  0.00282  -0.7
  182.4  0.00287   2.3
  184.2  0.00270   6.6
