## F1, Alpha= 30 deg., Re= 40 Mio.
# Mean velocities in flow field
#
# Nomenclature:
# DPN       data point number
# x0/2a     x-location of plane of measurement
# phi       circumferential angle (in degrees)
# h         distance from model surface (in m)
# V0        free stream (reference) velocity
# U,V,W     velocity components in model coordinates
#           U in direction of main axis
#           V normal to U and W
#           W normal to main axis in vertical plane
#
## DPN 1183   Plane 2  x0/2a= 0.527    Ray 13   phi= 120
# h      U/V0    V/V0    W/V0
0.0135  0.753   0.182   0.767
0.0230  0.763   0.156   0.788
0.0343  0.767   0.142   0.784
0.0390  0.766   0.136   0.782
0.0500  0.768   0.125   0.775
0.0599  0.767   0.116   0.767
0.0694  0.766   0.107   0.760
0.0797  0.766   0.100   0.751
0.0899  0.766   0.093   0.742
0.1004  0.766   0.087   0.733
0.1096  0.765   0.080   0.726
0.1203  0.766   0.074   0.718
0.1301  0.766   0.069   0.710
0.1403  0.766   0.064   0.703
0.1600  0.767   0.055   0.688
0.1807  0.767   0.047   0.676
0.2006  0.768   0.039   0.664
0.2200  0.767   0.033   0.655
0.2411  0.767   0.028   0.643
0.2606  0.767   0.024   0.634
0.2802  0.767   0.026   0.620
0.3009  0.767   0.024   0.613
