## F1, Alpha= 30 deg., Re= 40 Mio.
# Mean velocities in flow field
#
# Nomenclature:
# DPN       data point number
# x0/2a     x-location of plane of measurement
# phi       circumferential angle (in degrees)
# h         distance from model surface (in m)
# V0        free stream (reference) velocity
# U,V,W     velocity components in model coordinates
#           U in direction of main axis
#           V normal to U and W
#           W normal to main axis in vertical plane
#
## DPN 1176   Plane 2  x0/2a= 0.527    Ray 7   phi= 155
# h      U/V0    V/V0    W/V0
0.0127  1.045  -0.396  -0.064
0.0245  1.036  -0.443   0.001
0.0334  1.000  -0.420   0.116
0.0393  0.983  -0.339   0.220
0.0492  0.913  -0.123   0.424
0.0593  0.830   0.171   0.607
0.1295  0.815   0.316   0.570
0.1409  0.822   0.285   0.558
0.1598  0.811   0.208   0.557
0.1801  0.815   0.163   0.529
0.2003  0.812   0.132   0.518
0.2208  0.804   0.106   0.518
0.2418  0.811   0.090   0.528
0.2628  0.799   0.077   0.531
0.2789  0.794   0.069   0.530
0.2986  0.790   0.057   0.532
