## F1, Alpha= 30 deg., Re= 40 Mio.
# Mean velocities in flow field
#
# Nomenclature:
# DPN       data point number
# x0/2a     x-location of plane of measurement
# phi       circumferential angle (in degrees)
# h         distance from model surface (in m)
# V0        free stream (reference) velocity
# U,V,W     velocity components in model coordinates
#           U in direction of main axis
#           V normal to U and W
#           W normal to main axis in vertical plane
#
## DPN 1210   Plane 6  x0/2a= 0.7    Ray 10   phi= 140
# h      U/V0    V/V0    W/V0
0.0157  0.763   0.032  -0.109
0.0270  0.901  -0.053  -0.132
0.0381  0.927  -0.069  -0.036
0.0482  0.846  -0.036   0.105
0.0583  0.708   0.040   0.298
0.0684  0.671   0.104   0.509
0.0824  0.726   0.110   0.684
0.0928  0.753   0.117   0.715
0.0981  0.753   0.120   0.724
0.1120  0.762   0.136   0.732
0.1220  0.758   0.136   0.736
0.1322  0.755   0.136   0.735
0.1425  0.749   0.129   0.739
0.1618  0.747   0.126   0.723
0.1823  0.749   0.125   0.696
0.2018  0.751   0.121   0.670
0.2222  0.751   0.112   0.649
0.2418  0.752   0.106   0.631
0.2616  0.752   0.095   0.617
0.2774  0.752   0.088   0.608
0.2989  0.753   0.082   0.595
