## F1, Alpha= 30 deg., Re= 40 Mio.
# Mean velocities in flow field
#
# Nomenclature:
# DPN       data point number
# x0/2a     x-location of plane of measurement
# phi       circumferential angle (in degrees)
# h         distance from model surface (in m)
# V0        free stream (reference) velocity
# U,V,W     velocity components in model coordinates
#           U in direction of main axis
#           V normal to U and W
#           W normal to main axis in vertical plane
#
## DPN 986   Plane 11  x0/2a= 0.917    Ray 4   phi= 170
# h      U/V0    V/V0    W/V0
0.0132  0.953   0.029  -0.222
0.0232  0.931   0.022  -0.252
0.0332  0.916   0.027  -0.287
0.0378  0.906   0.021  -0.306
0.0486  0.881   0.018  -0.333
0.0592  0.878  -0.012  -0.363
0.0690  0.885  -0.004  -0.401
0.0791  0.884  -0.016  -0.434
0.0885  0.895  -0.016  -0.467
0.0988  0.898  -0.021  -0.503
0.1090  0.913  -0.015  -0.526
0.1173  0.918  -0.002  -0.558
0.1283  0.924   0.034  -0.576
0.1379  0.935   0.067  -0.573
0.1574  0.940   0.138  -0.499
0.1785  0.928   0.179  -0.393
0.1988  0.904   0.186  -0.267
0.2187  0.865   0.173  -0.137
0.2393  0.839   0.170  -0.053
0.2600  0.811   0.206   0.048
0.2815  0.794   0.242   0.133
0.2995  0.794   0.261   0.202
