## F1, Alpha= 30 deg., Re= 40 Mio.
# Mean velocities in flow field
#
# Nomenclature:
# DPN       data point number
# x0/2a     x-location of plane of measurement
# phi       circumferential angle (in degrees)
# h         distance from model surface (in m)
# V0        free stream (reference) velocity
# U,V,W     velocity components in model coordinates
#           U in direction of main axis
#           V normal to U and W
#           W normal to main axis in vertical plane
#
## DPN 997   Plane 11  x0/2a= 0.917    Ray 15   phi= 100
# h      U/V0    V/V0    W/V0
0.0136  0.643   0.021   0.578
0.0238  0.715  -0.043   0.606
0.0336  0.717  -0.048   0.607
0.0394  0.718  -0.051   0.608
0.0500  0.720  -0.056   0.607
0.0597  0.722  -0.060   0.606
0.0704  0.723  -0.063   0.604
0.0797  0.726  -0.063   0.603
0.0902  0.727  -0.066   0.603
0.1000  0.729  -0.067   0.603
0.1100  0.730  -0.068   0.602
0.1199  0.733  -0.067   0.603
0.1305  0.734  -0.067   0.602
0.1408  0.736  -0.066   0.601
0.1611  0.739  -0.064   0.602
0.1813  0.742  -0.061   0.601
0.2013  0.743  -0.060   0.601
0.2218  0.745  -0.057   0.600
0.2416  0.746  -0.054   0.601
0.2618  0.747  -0.050   0.600
0.2813  0.748  -0.049   0.597
0.3012  0.750  -0.047   0.595
