## F1, Alpha= 30 deg., Re= 40 Mio.
# Mean velocities in flow field
#
# Nomenclature:
# DPN       data point number
# x0/2a     x-location of plane of measurement
# phi       circumferential angle (in degrees)
# h         distance from model surface (in m)
# V0        free stream (reference) velocity
# U,V,W     velocity components in model coordinates
#           U in direction of main axis
#           V normal to U and W
#           W normal to main axis in vertical plane
#
## DPN 1208   Plane 6  x0/2a= 0.7    Ray 8   phi= 150
# h      U/V0    V/V0    W/V0
0.0128  1.001  -0.252  -0.048
0.0227  1.021  -0.289  -0.002
0.0337  1.020  -0.306   0.045
0.0387  1.017  -0.304   0.083
0.0494  1.019  -0.284   0.180
0.0602  1.000  -0.238   0.283
0.0692  0.973  -0.186   0.388
0.0796  0.947  -0.109   0.482
0.0895  0.897  -0.018   0.560
0.1009  0.808   0.080   0.621
0.1094  0.745   0.190   0.706
0.1807  0.776   0.254   0.680
0.2012  0.782   0.226   0.651
0.2212  0.772   0.192   0.617
0.2419  0.767   0.163   0.591
0.2618  0.760   0.138   0.578
0.2821  0.758   0.118   0.567
0.2976  0.759   0.104   0.560
