## NOMENCLATURE:
# PHI      CIRCUMFERENTIAL MODEL ANGLE
# CF       WALL SHEAR STRESS COEFFICIENT (= LOCAL WALL SHEAR STRESS
#                           NORMALIZED WITH FREE STREAM DYNAMIC PRESSURE)
# GAMMA    WALL SHEAR STRESS ANGLE
# 
# 
##                D F V L R   RESEARCH CENTER   A V A   G&O.TTINGEN
# 
#            WALL SHEAR STRESS MEASUREMENTS ON A 1:6 PROLATE SPHEROID
# 
#    ONERA F1 WIND TUNNEL                     STAGN. PRESSURE  P0= 3.8 bar
# 
#    RUN: 1309  0                             INCIDENCE    ALPHA= 30.0 deg
# 
#    VELOCITY  UINF= 75.8 m/s                 REYNOLDS NO.   Re=43.54E06
# 
#    MEASURING STATION:    NO.  1  ,  X0/2A= 0.056
# 
#   PHI     CF    GAMMA
#  (DEG)    --    (DEG)
    0.3  0.00064  -3.8    
    2.1  0.00068   3.2    
    3.9  0.00071   9.2    
    5.6  0.00074  14.6    
    7.4  0.00076  19.7    
    9.2  0.00080  24.4    
   10.9  0.00083  29.2    
   12.7  0.00084  32.7    
   14.4  0.00087  36.7    
   16.2  0.00090  40.3    
   18.0  0.00093  43.6    
   19.7  0.00095  46.9    
   21.5  0.00098  49.0    
   23.3  0.00099  52.2    
   25.1  0.00102  54.5    
   26.8  0.00104  56.6    
   28.6  0.00110  56.7    
   30.4  0.00115  58.6    
   32.1  0.00117  59.8    
   34.0  0.00126  60.3    
   35.7  0.00133  61.3    
   37.5  0.00138  63.1    
   39.3  0.00138  64.5    
   41.0  0.00168  52.6    
   42.8  0.00169  71.4    
   44.5  0.00249  45.7    
   46.2  0.00212  66.5    
   48.0  0.00192  71.5    
   49.7  0.00274  52.3    
   51.4  0.00285  57.8    
   53.1  0.00305  60.7    
   54.8  0.00329  51.0    
   56.5  0.00398  60.7    
   58.2  0.00378  85.4    
   60.0  0.00425  46.9    
   61.7  0.00469  51.6    
   63.5  0.00519  60.1    
   65.1  0.00562  60.2    
   66.9  0.00567  60.0    
   68.6  0.00578  60.5    
   70.3  0.00605  61.8    
   71.9  0.00614  59.8    
   73.6  0.00627  59.1    
   75.3  0.00635  59.3    
   77.1  0.00647  60.7    
   78.8  0.00638  59.5    
   80.6  0.00641  59.1    
   82.3  0.00662  59.8    
   84.1  0.00669  59.0    
   85.9  0.00666  58.6    
   87.6  0.00674  56.9    
   89.3  0.00672  57.4    
   91.1  0.00688  57.9    
   92.8  0.00679  56.6    
   94.6  0.00686  55.6    
   96.3  0.00678  54.7    
   98.1  0.00682  54.3    
   99.9  0.00686  53.6    
  101.6  0.00682  53.2    
  103.4  0.00690  52.0    
  105.2  0.00694  51.7    
  106.9  0.00635  49.3    
  108.6  0.00631  48.2    
  110.4  0.00631  47.5    
  112.2  0.00627  47.2    
  113.9  0.00618  47.0    
  115.6  0.00612  46.6
  117.4  0.00616  45.6
  119.1  0.00613  44.3
  120.9  0.00600  43.4
  122.7  0.00583  42.5
  124.5  0.00577  42.0
  126.2  0.00567  41.5
  128.0  0.00559  40.8
  129.7  0.00554  39.3
  131.5  0.00549  37.5
  133.2  0.00547  35.0
  135.0  0.00537  33.5
  136.7  0.00521  33.5
  138.5  0.00508  33.5
  140.2  0.00502  32.0
  142.0  0.00477  29.2
  143.8  0.00454  27.0
  145.5  0.00440  25.9
  147.3  0.00428  25.5
  149.0  0.00409  23.6
  150.8  0.00387  21.8
  152.6  0.00386  19.4
  154.3  0.00381  16.2
  156.1  0.00361  15.1
  157.9  0.00364  15.1
  159.6  0.00348  12.6
  161.4  0.00337  11.0
  163.2  0.00338   9.5
  164.9  0.00324   6.9
  166.7  0.00321   8.9
  168.4  0.00314   6.1
  170.2  0.00310   4.1
  171.9  0.00309   4.5
  173.7  0.00313   1.9
  175.5  0.00313   2.1
  177.3  0.00310   4.2
  179.0  0.00306   3.7
  180.8  0.00306  -1.0
  182.6  0.00310   1.2
  184.4  0.00306   3.0
