## F1, Alpha= 30 deg., Re= 40 Mio.
# Mean velocities in flow field
#
# Nomenclature:
# DPN       data point number
# x0/2a     x-location of plane of measurement
# phi       circumferential angle (in degrees)
# h         distance from model surface (in m)
# V0        free stream (reference) velocity
# U,V,W     velocity components in model coordinates
#           U in direction of main axis
#           V normal to U and W
#           W normal to main axis in vertical plane
#
## DPN 1200   Plane 6  x0/2a= 0.7    Ray 2   phi= 180
# h      U/V0    V/V0    W/V0
0.0139  0.984   0.071  -0.146
0.0239  1.000   0.063  -0.238
0.0332  0.990   0.069  -0.290
0.0396  0.998   0.079  -0.319
0.0496  1.006   0.084  -0.360
0.0590  1.007   0.087  -0.390
0.0685  1.003   0.082  -0.409
0.0803  0.995   0.071  -0.410
0.0895  0.982   0.056  -0.391
0.1003  0.963   0.051  -0.353
0.1111  0.958   0.035  -0.306
0.1171  0.944   0.025  -0.278
0.1317  0.910   0.011  -0.197
0.1421  0.892   0.007  -0.133
0.1580  0.863  -0.001  -0.047
0.1785  0.857  -0.009   0.060
0.1997  0.860  -0.008   0.147
0.2199  0.852  -0.015   0.219
0.2408  0.833  -0.023   0.271
0.2616  0.818  -0.023   0.306
0.2772  0.808  -0.023   0.338
0.3020  0.800  -0.025   0.367
