## F1, Alpha= 30 deg., Re= 40 Mio.
# Mean velocities in flow field
#
# Nomenclature:
# DPN       data point number
# x0/2a     x-location of plane of measurement
# phi       circumferential angle (in degrees)
# h         distance from model surface (in m)
# V0        free stream (reference) velocity
# U,V,W     velocity components in model coordinates
#           U in direction of main axis
#           V normal to U and W
#           W normal to main axis in vertical plane
#
## DPN 1202   Plane 6  x0/2a= 0.7    Ray 4   phi= 170
# h      U/V0    V/V0    W/V0
0.0144  0.998  -0.207  -0.167
0.0248  0.990  -0.191  -0.234
0.0348  0.984  -0.168  -0.297
0.0403  0.980  -0.147  -0.327
0.0501  0.974  -0.117  -0.381
0.0603  0.987  -0.064  -0.419
0.0695  0.981   0.012  -0.431
0.0813  0.989   0.118  -0.428
0.0911  0.983   0.230  -0.394
0.1015  0.948   0.258  -0.339
0.1589  0.902   0.356   0.060
0.1791  0.881   0.266   0.173
0.1993  0.849   0.206   0.239
0.2195  0.825   0.149   0.308
0.2408  0.814   0.117   0.333
0.2628  0.806   0.092   0.365
0.2771  0.802   0.078   0.381
0.2955  0.799   0.066   0.395
