## F1, Alpha= 30 deg., Re= 40 Mio.
# Mean velocities in flow field
#
# Nomenclature:
# DPN       data point number
# x0/2a     x-location of plane of measurement
# phi       circumferential angle (in degrees)
# h         distance from model surface (in m)
# V0        free stream (reference) velocity
# U,V,W     velocity components in model coordinates
#           U in direction of main axis
#           V normal to U and W
#           W normal to main axis in vertical plane
#
## DPN 984   Plane 11  x0/2a= 0.917    Ray 2   phi= 180
# h      U/V0    V/V0    W/V0
0.0169  0.941   0.138  -0.246
0.0266  0.925   0.136  -0.280
0.0363  0.909   0.150  -0.317
0.0423  0.902   0.149  -0.338
0.0532  0.909   0.178  -0.392
0.0623  0.903   0.169  -0.426
0.0674  0.902   0.177  -0.451
0.0773  0.883   0.178  -0.479
0.1333  0.899   0.080  -0.636
0.1421  0.910   0.048  -0.630
0.1623  0.909   0.001  -0.567
0.1829  0.900  -0.026  -0.478
0.2025  0.910  -0.047  -0.399
0.2173  0.899  -0.068  -0.335
0.2379  0.888  -0.059  -0.257
0.2586  0.874  -0.062  -0.172
0.2788  0.853  -0.060  -0.078
0.2939  0.836  -0.057  -0.006
