## NOMENCLATURE:
# PHI      CIRCUMFERENTIAL MODEL ANGLE
# CF       WALL SHEAR STRESS COEFFICIENT (= LOCAL WALL SHEAR STRESS
#                           NORMALIZED WITH FREE STREAM DYNAMIC PRESSURE)
# GAMMA    WALL SHEAR STRESS ANGLE
# 
# 
##                D F V L R   RESEARCH CENTER   A V A   G&O.TTINGEN
# 
#            WALL SHEAR STRESS MEASUREMENTS ON A 1:6 PROLATE SPHEROID
# 
#    ONERA F1 WIND TUNNEL                     STAGN. PRESSURE  P0= 3.8 bar
# 
#    RUN: 1309  0                             INCIDENCE    ALPHA= 30.0 deg
# 
#    VELOCITY  UINF= 75.8 m/s                 REYNOLDS NO.   Re=43.54E06
# 
#    MEASURING STATION:    NO.  2  ,  X0/2A= 0.143
# 
#   PHI     CF    GAMMA
#  (DEG)    --    (DEG)
   -4.1  0.00057 -19.9    
   -2.3  0.00060 -13.5    
   -0.6  0.00063  -7.5    
    1.2  0.00066  -2.1    
    3.0  0.00068   2.7    
    4.7  0.00070   7.5    
    6.5  0.00071  12.4    
    8.3  0.00074  16.7    
   10.1  0.00076  20.1    
   11.8  0.00080  23.2    
   13.6  0.00107  11.3    
   15.4  0.00214   1.6    
   17.1  0.00333  22.8    
   19.0  0.00347  27.7    
   20.7  0.00347  29.6    
   22.5  0.00347  31.6    
   24.3  0.00352  33.2    
   26.0  0.00359  35.0    
   27.8  0.00363  36.9    
   29.5  0.00371  38.5    
   31.2  0.00377  39.9    
   33.0  0.00383  41.5    
   34.7  0.00390  43.0    
   36.4  0.00393  44.5    
   38.1  0.00408  45.6    
   39.8  0.00405  47.3    
   41.5  0.00413  48.1    
   43.2  0.00424  48.6    
   45.0  0.00429  50.1    
   46.7  0.00441  50.5    
   48.5  0.00446  51.7    
   50.1  0.00453  52.4    
   51.9  0.00461  53.0    
   53.6  0.00468  53.6    
   55.3  0.00473  54.2    
   56.9  0.00479  55.0    
   58.6  0.00483  55.2    
   60.3  0.00488  55.7    
   62.1  0.00491  56.0    
   63.8  0.00498  56.3    
   65.6  0.00503  56.9    
   67.3  0.00505  56.9    
   69.1  0.00506  57.0    
   70.9  0.00510  57.0    
   72.6  0.00512  57.2    
   74.3  0.00520  57.1    
   76.1  0.00525  57.1    
   77.8  0.00524  57.0    
   79.6  0.00526  56.9    
   81.3  0.00525  57.0    
   83.1  0.00525  56.7    
   84.9  0.00525  56.4    
   86.6  0.00523  55.9    
   88.4  0.00523  55.9    
   90.2  0.00522  55.3    
   91.9  0.00523  54.9    
   93.6  0.00518  54.1    
   95.4  0.00514  53.9    
   97.2  0.00512  53.0    
   98.9  0.00509  52.3    
  100.6  0.00501  52.0    
  102.4  0.00500  51.5    
  104.1  0.00492  50.9    
  105.9  0.00481  50.4    
  107.7  0.00473  49.6    
  109.5  0.00469  49.1    
  111.2  0.00462  48.3    
  113.0  0.00452  47.4    
  114.7  0.00447  46.3
  116.5  0.00435  45.2
  118.2  0.00427  43.7
  120.0  0.00419  42.2
  121.7  0.00406  40.5
  123.5  0.00391  38.7
  125.2  0.00383  37.3
  127.0  0.00367  35.7
  128.8  0.00356  34.0
  130.5  0.00340  32.4
  132.3  0.00326  30.2
  134.0  0.00309  27.6
  135.8  0.00293  25.5
  137.6  0.00276  22.8
  139.3  0.00258  19.7
  141.1  0.00239  16.7
  142.9  0.00222  13.0
  144.6  0.00205   9.1
  146.4  0.00189   5.5
  148.2  0.00179   1.2
  149.9  0.00170  -3.9
  151.7  0.00170  -7.0
  153.4  0.00172  -9.5
  155.2  0.00168 -11.9
  156.9  0.00168 -14.4
  158.7  0.00167 -16.6
  160.5  0.00172 -18.0
  162.3  0.00177 -17.9
  164.0  0.00192 -19.1
  165.8  0.00208 -20.2
  167.6  0.00218 -20.7
  169.4  0.00229 -19.5
  171.2  0.00240 -16.9
  173.0  0.00254 -13.0
  174.7  0.00264 -10.2
  176.5  0.00279  -7.0
  178.3  0.00286  -2.8
  180.1  0.00292  -1.1
  181.8  0.00293   1.3
  183.6  0.00293   4.0
