## F1, Alpha= 30 deg., Re= 40 Mio.
# Mean velocities in flow field
#
# Nomenclature:
# DPN       data point number
# x0/2a     x-location of plane of measurement
# phi       circumferential angle (in degrees)
# h         distance from model surface (in m)
# V0        free stream (reference) velocity
# U,V,W     velocity components in model coordinates
#           U in direction of main axis
#           V normal to U and W
#           W normal to main axis in vertical plane
#
## DPN 1185   Plane 2  x0/2a= 0.527    Ray 15   phi= 100
# h      U/V0    V/V0    W/V0
0.0136  0.832   0.122   0.930
0.0241  0.826   0.109   0.887
0.0342  0.821   0.091   0.851
0.0395  0.818   0.087   0.836
0.0499  0.814   0.076   0.807
0.0600  0.810   0.067   0.784
0.0697  0.810   0.060   0.764
0.0799  0.807   0.053   0.744
0.0902  0.804   0.046   0.730
0.1011  0.799   0.039   0.717
0.1108  0.796   0.032   0.706
0.1208  0.792   0.025   0.698
0.1303  0.791   0.021   0.689
0.1404  0.789   0.018   0.680
0.1608  0.786   0.010   0.666
0.1810  0.800   0.000   0.668
0.2007  0.797  -0.004   0.658
0.2207  0.794  -0.008   0.648
0.2412  0.791  -0.010   0.637
0.2607  0.790  -0.011   0.628
0.2809  0.787  -0.014   0.621
0.3006  0.786  -0.016   0.614
