## F1, Alpha= 30 deg., Re= 40 Mio.
# Mean velocities in flow field
#
# Nomenclature:
# DPN       data point number
# x0/2a     x-location of plane of measurement
# phi       circumferential angle (in degrees)
# h         distance from model surface (in m)
# V0        free stream (reference) velocity
# U,V,W     velocity components in model coordinates
#           U in direction of main axis
#           V normal to U and W
#           W normal to main axis in vertical plane
#
## DPN 992   Plane 11  x0/2a= 0.917    Ray 10   phi= 140
# h      U/V0    V/V0    W/V0
0.0132  0.644   0.127  -0.040
0.0243  0.705   0.005  -0.088
0.0338  0.811  -0.066  -0.086
0.0386  0.839  -0.083  -0.072
0.0501  0.875  -0.095  -0.039
0.0603  0.889  -0.101   0.010
0.0703  0.902  -0.110   0.078
0.0793  0.900  -0.106   0.140
0.0898  0.893  -0.109   0.227
0.1006  0.862  -0.118   0.294
0.1115  0.816  -0.122   0.379
0.1222  0.770  -0.104   0.458
0.1325  0.738  -0.092   0.526
0.1380  0.721  -0.087   0.557
0.1591  0.686  -0.039   0.658
0.1796  0.702   0.014   0.737
0.2005  0.728   0.049   0.759
0.2202  0.736   0.061   0.740
0.2400  0.740   0.086   0.720
0.2602  0.741   0.095   0.698
0.2798  0.742   0.102   0.677
0.3005  0.744   0.100   0.657
