## F1, Alpha= 30 deg., Re= 40 Mio.
# Mean velocities in flow field
#
# Nomenclature:
# DPN       data point number
# x0/2a     x-location of plane of measurement
# phi       circumferential angle (in degrees)
# h         distance from model surface (in m)
# V0        free stream (reference) velocity
# U,V,W     velocity components in model coordinates
#           U in direction of main axis
#           V normal to U and W
#           W normal to main axis in vertical plane
#
## DPN 1184   Plane 2  x0/2a= 0.527    Ray 14   phi= 110
# h      U/V0    V/V0    W/V0
0.0123  0.776   0.230   0.830
0.0240  0.811   0.190   0.813
0.0340  0.812   0.167   0.792
0.0397  0.810   0.160   0.787
0.0495  0.808   0.143   0.771
0.0597  0.805   0.129   0.755
0.0696  0.791   0.100   0.758
0.0797  0.788   0.090   0.745
0.0907  0.787   0.081   0.732
0.1009  0.786   0.074   0.722
0.1101  0.784   0.067   0.712
0.1205  0.784   0.064   0.701
0.1301  0.782   0.058   0.694
0.1408  0.782   0.056   0.684
0.1607  0.780   0.045   0.672
0.1813  0.777   0.036   0.660
0.2011  0.776   0.028   0.650
0.2201  0.776   0.024   0.639
0.2406  0.774   0.017   0.631
0.2613  0.791   0.012   0.634
0.2815  0.790   0.009   0.623
0.3013  0.788   0.004   0.618
