## NOMENCLATURE:
# PHI      CIRCUMFERENTIAL MODEL ANGLE
# CF       WALL SHEAR STRESS COEFFICIENT (= LOCAL WALL SHEAR STRESS
#                           NORMALIZED WITH FREE STREAM DYNAMIC PRESSURE)
# GAMMA    WALL SHEAR STRESS ANGLE
# 
# 
##                D F V L R   RESEARCH CENTER   A V A   GOETTINGEN
# 
#            WALL SHEAR STRESS MEASUREMENTS ON A 1:6 PROLATE SPHEROID
# 
#    3MX3M LOW SPEED WIND TUNNEL       ARTIFICIAL TRANSITION AT X0/2A= 0.2
# 
#    RUN: 0   3 5                             INCIDENCE  ALPHA= 10.0 DEG.
# 
#    VELOCITY  UINF= 55.0 M/S                 REYNOLDS N0.  RE= 0.770E+07
# 
#    MEASURING STATION:    NO. 10  ,  X0/2A= 0.825
# 
#   PHI     CF    GAMMA
#  (DEG)    --    (DEG)
   -4.8  0.00434  -1.8    
   -2.4  0.00429  -1.1    
    0.0  0.00445   0.3    
    2.4  0.00451   1.3    
    4.8  0.00447   2.0    
    7.2  0.00445   3.3    
    9.6  0.00450   4.1    
   12.0  0.00445   5.1    
   14.4  0.00451   6.1    
   16.8  0.00452   6.9    
   19.2  0.00447   7.5    
   20.8  0.00446   8.3    
   24.0  0.00447   9.2    
   26.4  0.00442  10.0    
   28.8  0.00442  10.8    
   31.2  0.00440  11.7    
   33.6  0.00440  12.4    
   35.2  0.00433  13.0    
   37.6  0.00438  13.5    
   40.8  0.00439  14.2    
   43.2  0.00429  14.7    
   45.6  0.00432  15.3    
   48.0  0.00431  15.8    
   50.4  0.00426  16.1    
   52.8  0.00422  16.6    
   55.2  0.00420  17.1    
   57.6  0.00418  17.2    
   60.0  0.00410  17.7    
   62.4  0.00406  17.8    
   64.8  0.00403  18.0    
   67.2  0.00400  18.2    
   69.6  0.00391  18.2    
   72.0  0.00387  18.2    
   74.4  0.00382  18.3    
   76.8  0.00378  18.1    
   79.2  0.00365  17.5    
   81.6  0.00359  17.6    
   84.0  0.00351  17.0    
   86.4  0.00346  16.5    
   88.8  0.00334  16.1    
   91.2  0.00329  15.4
   93.6  0.00317  14.4
   96.0  0.00307  13.8
   98.4  0.00298  12.6
  100.8  0.00283  11.6
  103.2  0.00268   9.7
  105.6  0.00257   8.4
  108.0  0.00237   6.5
  110.4  0.00220   5.0
  112.8  0.00205   3.3
  114.4  0.00188   1.8
  117.6  0.00173   0.1
  120.0  0.00156  -1.3
  122.4  0.00141  -2.7
  124.8  0.00130  -4.1
  127.2  0.00116  -5.4
  129.6  0.00109  -6.6
  132.0  0.00104  -7.8
  134.4  0.00104  -9.0
  136.8  0.00109  -9.8
  139.2  0.00117 -10.3
  141.6  0.00132 -11.0
  144.0  0.00147 -11.2
  146.4  0.00170 -11.9
  148.8  0.00188 -12.4
  151.2  0.00214 -13.8
  153.6  0.00228 -14.3
  156.0  0.00239 -14.7
  158.4  0.00257 -14.9
  160.8  0.00271 -15.0
  163.2  0.00277 -14.0
  165.6  0.00286 -13.1
  168.0  0.00287 -11.3
  170.4  0.00296  -9.5
  172.8  0.00298  -7.9
  175.2  0.00309  -5.6
  177.6  0.00308  -3.4
  180.0  0.00314  -1.3
  182.4  0.00318   0.8
  184.8  0.00322   2.5
