##     BOUNDARY LAYER MEASUREMENT
#
#     MODEL: PROLATE SPHEROID 1:6, L =2.4 M
#     ARTIFICIAL TRANSITION AT X/2A = 0.2
#
#
# NOMENCLATURE:
# Z        DISTANCE FROM MODEL SURFACE (WALL NORMAL)
# UR       RESULTANT VELOCITY
# GAMMA    CROSS FLOW ANGLE
# U        LONGITUDINAL VELOCITY COMPONENT
# V        CIRCUMFERENTIAL VELOCITY COMPONENT
# URE      UR AT BOUNDARY LAYER EDGE
#
##     RUN: 124700                                        DATE:  6.10.  81
# 
#     MEASURING STATION:    X/2A= 0.64
# 
#     ANGLE OF INCIDENCE   ALPHA=  9.9 DEG.    CIRC. ANGLE  PHI= 169.6 DEG.
# 
#     FREE STREAM VELOCITY  UINF=  55.0 M/S       PATM=    98939.9 PA
# 
#     FREE STREAM TEMPERATURE TO= 315.1 K
# 
# 
#              Z      UR/URE     GAMMA     U/URE     V/URE      UR
#             (MM)      (-)      (DEG.)     (-)       (-)      (M/S)
              0.22     0.484     -2.36     0.482     -.020     26.23
              0.23     0.489     -2.32     0.487     -.020     26.50
              0.24     0.491     -2.33     0.489     -.020     26.59
              0.25     0.497     -2.33     0.495     -.020     26.94
              0.27     0.503     -2.44     0.501     -.021     27.24
              0.29     0.509     -2.45     0.507     -.022     27.56
              0.31     0.512     -2.41     0.510     -.021     27.72
              0.33     0.516     -2.40     0.514     -.022     27.97
              0.37     0.523     -2.43     0.521     -.022     28.34
              0.41     0.531     -2.44     0.529     -.023     28.80
              0.45     0.540     -2.48     0.538     -.023     29.25
              0.49     0.541     -2.48     0.539     -.023     29.33
              0.59     0.555     -2.46     0.553     -.024     30.08
              0.69     0.563     -2.40     0.561     -.024     30.53
              0.79     0.573     -2.41     0.572     -.024     31.09
              0.89     0.582     -2.35     0.580     -.024     31.55
              0.99     0.586     -2.33     0.584     -.024     31.76
              1.09     0.598     -2.25     0.596     -.023     32.41
              1.19     0.605     -2.27     0.603     -.024     32.80
              1.39     0.615     -2.24     0.613     -.024     33.36
              1.59     0.623     -2.19     0.621     -.024     33.79
              1.79     0.636     -2.12     0.634     -.023     34.50
              1.99     0.645     -2.06     0.643     -.023     34.99
              2.19     0.653     -1.97     0.651     -.022     35.42
              2.69     0.670     -1.85     0.669     -.022     36.37
              3.19     0.691     -1.71     0.690     -.021     37.50
              3.69     0.703     -1.61     0.701     -.020     38.12
              4.19     0.720     -1.46     0.719     -.018     39.08
              4.69     0.732     -1.33     0.730     -.017     39.70
              5.19     0.745     -1.16     0.744     -.015     40.44
              5.69     0.757     -1.03     0.756     -.014     41.09
              6.19     0.771     -0.89     0.770     -.012     41.83
              6.69     0.782     -0.69     0.781     -.009     42.43
              7.19     0.791     -0.44     0.790     -.006     42.95
              7.69     0.800     -0.27     0.799     -.004     43.42
              8.19     0.808     -0.13     0.807     -.002     43.87
              8.69     0.815      0.03     0.814     0.000     44.22
              9.19     0.827      0.19     0.826     0.003     44.87
              9.69     0.831      0.35     0.830     0.005     45.13
             10.19     0.845      0.51     0.844     0.007     45.86
             11.19     0.856      0.85     0.855     0.013     46.46
             12.19     0.867      1.18     0.866     0.018     47.08
             13.19     0.882      1.51     0.881     0.023     47.89
             14.19     0.890      1.89     0.889     0.029     48.31
             15.19     0.898      2.23     0.897     0.035     48.77
             16.19     0.911      2.50     0.910     0.040     49.48
             18.19     0.929      3.00     0.928     0.049     50.49
             20.19     0.945      3.54     0.943     0.058     51.37
             22.19     0.960      3.98     0.957     0.067     52.14
             24.19     0.972      4.31     0.969     0.073     52.82
             26.19     0.983      4.51     0.980     0.077     53.44
             28.19     0.994      4.67     0.991     0.081     54.01
             30.19     1.000      4.65     0.997     0.081     54.35
