##     BOUNDARY LAYER MEASUREMENT
#
#     MODEL: PROLATE SPHEROID 1:6, L =2.4 M
#     ARTIFICIAL TRANSITION AT X/2A = 0.2
#
#
# NOMENCLATURE:
# Z        DISTANCE FROM MODEL SURFACE (WALL NORMAL)
# UR       RESULTANT VELOCITY
# GAMMA    CROSS FLOW ANGLE
# U        LONGITUDINAL VELOCITY COMPONENT
# V        CIRCUMFERENTIAL VELOCITY COMPONENT
# URE      UR AT BOUNDARY LAYER EDGE
#
##     RUN: 400400                                        DATE: 23.08.1982
# 
#     MEASURING STATION:    X/2A= 0.48
# 
#     ANGLE OF INCIDENCE   ALPHA= 10.0 DEG.    CIRC. ANGLE  PHI=  60.0 DEG.
# 
#     FREE STREAM VELOCITY  UINF=  56.0 M/S       PATM=   100010.0 PA
# 
#     FREE STREAM TEMPERATURE TO= 306.2 K
# 
# 
#              Z      UR/URE     GAMMA     U/URE     V/URE      UR
#             (MM)      (-)      (DEG.)     (-)       (-)      (M/S)
              0.22     0.588     18.22     0.557     0.183     34.21
              0.23     0.590     18.18     0.559     0.183     34.29
              0.24     0.591     18.16     0.559     0.184     34.34
              0.24     0.597     17.93     0.566     0.183     34.72
              0.25     0.599     17.81     0.568     0.183     34.82
              0.27     0.601     17.46     0.572     0.180     34.95
              0.28     0.604     17.26     0.575     0.179     35.12
              0.29     0.605     17.17     0.576     0.178     35.16
              0.32     0.606     17.03     0.578     0.177     35.24
              0.34     0.609     16.96     0.580     0.177     35.40
              0.35     0.613     16.85     0.585     0.177     35.67
              0.39     0.626     16.50     0.598     0.177     36.39
              0.44     0.636     16.21     0.609     0.177     36.99
              0.48     0.644     16.05     0.617     0.178     37.47
              0.52     0.651     15.92     0.625     0.178     37.90
              0.62     0.666     15.63     0.640     0.179     38.78
              0.72     0.681     15.31     0.656     0.179     39.65
              0.82     0.694     15.09     0.668     0.180     40.37
              0.92     0.709     14.82     0.684     0.181     41.24
              1.02     0.719     14.66     0.694     0.182     41.83
              1.12     0.727     14.52     0.703     0.182     42.35
              1.22     0.737     14.33     0.713     0.182     42.92
              1.42     0.755     14.07     0.731     0.183     43.98
              1.62     0.771     13.90     0.747     0.185     44.90
              1.82     0.786     13.80     0.763     0.187     45.80
              2.02     0.800     13.64     0.776     0.188     46.59
              2.22     0.812     13.56     0.788     0.190     47.30
              2.72     0.847     13.08     0.824     0.191     49.32
              3.22     0.870     12.89     0.847     0.194     50.70
              3.72     0.895     12.58     0.873     0.195     52.16
              4.22     0.913     12.39     0.891     0.196     53.22
              4.72     0.928     12.31     0.906     0.198     54.12
              5.22     0.949     12.14     0.928     0.200     55.34
              5.72     0.964     12.29     0.941     0.205     56.20
              6.22     0.975     12.43     0.952     0.210     56.86
              6.72     0.986     12.52     0.963     0.214     57.52
              7.22     0.992     12.58     0.968     0.216     57.84
              7.72     0.995     12.72     0.970     0.219     58.02
              8.22     0.998     12.76     0.973     0.220     58.21
              8.72     1.000     12.78     0.975     0.221     58.33
