##     BOUNDARY LAYER MEASUREMENT
#
#     MODEL: PROLATE SPHEROID 1:6, L =2.4 M
#     ARTIFICIAL TRANSITION AT X/2A = 0.2
#
#
# NOMENCLATURE:
# Z        DISTANCE FROM MODEL SURFACE (WALL NORMAL)
# UR       RESULTANT VELOCITY
# GAMMA    CROSS FLOW ANGLE
# U        LONGITUDINAL VELOCITY COMPONENT
# V        CIRCUMFERENTIAL VELOCITY COMPONENT
# URE      UR AT BOUNDARY LAYER EDGE
#
##     RUN: 400800                                        DATE: 23.08.1982
# 
#     MEASURING STATION:    X/2A= 0.48
# 
#     ANGLE OF INCIDENCE   ALPHA= 10.0 DEG.    CIRC. ANGLE  PHI= 130.0 DEG.
# 
#     FREE STREAM VELOCITY  UINF=  55.4 M/S       PATM=    99950.0 PA
# 
#     FREE STREAM TEMPERATURE TO= 309.5 K
# 
# 
#              Z      UR/URE     GAMMA     U/URE     V/URE      UR
#             (MM)      (-)      (DEG.)     (-)       (-)      (M/S)
              0.22     0.498     10.61     0.488     0.091     28.63
              0.23     0.501     10.78     0.491     0.093     28.82
              0.24     0.504     10.80     0.494     0.094     29.01
              0.24     0.507     10.52     0.497     0.092     29.16
              0.25     0.509     10.44     0.499     0.092     29.26
              0.27     0.512     10.32     0.502     0.091     29.45
              0.28     0.516     10.19     0.506     0.091     29.66
              0.29     0.519     10.11     0.509     0.091     29.85
              0.32     0.524     10.08     0.514     0.091     30.13
              0.34     0.528     10.04     0.519     0.092     30.38
              0.35     0.532     10.10     0.523     0.093     30.63
              0.39     0.539     10.05     0.529     0.094     31.00
              0.44     0.543     10.13     0.533     0.095     31.26
              0.48     0.550      9.96     0.540     0.095     31.63
              0.52     0.553     10.07     0.543     0.096     31.82
              0.62     0.568      9.86     0.558     0.097     32.67
              0.72     0.576      9.94     0.566     0.099     33.14
              0.82     0.586      9.90     0.576     0.100     33.72
              0.92     0.596      9.86     0.585     0.102     34.29
              1.02     0.600      9.98     0.590     0.104     34.55
              1.12     0.609     10.02     0.599     0.106     35.08
              1.22     0.617     10.17     0.606     0.109     35.52
              1.42     0.633     10.11     0.621     0.111     36.42
              1.62     0.640     10.22     0.629     0.113     36.86
              1.82     0.652     10.36     0.640     0.117     37.53
              2.02     0.666     10.36     0.654     0.120     38.34
              2.22     0.673     10.47     0.660     0.122     38.73
              2.72     0.697     10.53     0.684     0.127     40.14
              3.22     0.716     10.63     0.702     0.132     41.24
              3.72     0.736     10.78     0.722     0.137     42.40
              4.22     0.761     10.78     0.746     0.142     43.83
              4.72     0.778     11.00     0.762     0.148     44.80
              5.22     0.793     11.00     0.777     0.151     45.67
              5.72     0.809     10.96     0.793     0.154     46.61
              6.22     0.825     10.93     0.809     0.156     47.51
              6.72     0.838     11.03     0.822     0.160     48.31
              7.22     0.857     10.97     0.841     0.163     49.40
              7.72     0.869     11.02     0.852     0.166     50.09
              8.22     0.883     11.08     0.865     0.169     50.88
              8.72     0.899     11.13     0.882     0.173     51.84
              9.22     0.910     11.22     0.892     0.177     52.48
              9.72     0.922     11.16     0.904     0.178     53.17
             10.22     0.933     11.18     0.914     0.181     53.77
             11.22     0.952     11.30     0.933     0.186     54.89
             12.22     0.967     11.41     0.948     0.191     55.78
             13.22     0.982     11.62     0.962     0.198     56.66
             14.22     0.992     11.97     0.971     0.206     57.25
             15.22     0.997     12.37     0.974     0.214     57.53
             16.22     0.999     12.71     0.974     0.220     57.62
             18.22     1.000     13.10     0.974     0.227     57.69
