##     BOUNDARY LAYER MEASUREMENT
#
#     MODEL: PROLATE SPHEROID 1:6, L =2.4 M
#     ARTIFICIAL TRANSITION AT X/2A = 0.2
#
#
# NOMENCLATURE:
# Z        DISTANCE FROM MODEL SURFACE (WALL NORMAL)
# UR       RESULTANT VELOCITY
# GAMMA    CROSS FLOW ANGLE
# U        LONGITUDINAL VELOCITY COMPONENT
# V        CIRCUMFERENTIAL VELOCITY COMPONENT
# URE      UR AT BOUNDARY LAYER EDGE
#
##     RUN: 124400                                        DATE:  6.10.  81
# 
#     MEASURING STATION:    X/2A= 0.64
# 
#     ANGLE OF INCIDENCE   ALPHA= 10.0 DEG.    CIRC. ANGLE  PHI= 149.6 DEG.
# 
#     FREE STREAM VELOCITY  UINF=  55.0 M/S       PATM=    98950.0 PA
# 
#     FREE STREAM TEMPERATURE TO= 314.1 K
# 
# 
#              Z      UR/URE     GAMMA     U/URE     V/URE      UR
#             (MM)      (-)      (DEG.)     (-)       (-)      (M/S)
              0.22     0.401     -2.76     0.399     -.019     22.00
              0.23     0.402     -2.76     0.400     -.019     22.06
              0.24     0.404     -2.75     0.402     -.019     22.18
              0.24     0.408     -2.69     0.406     -.019     22.43
              0.25     0.412     -2.64     0.411     -.019     22.65
              0.26     0.415     -2.65     0.414     -.019     22.82
              0.28     0.417     -2.74     0.415     -.020     22.90
              0.29     0.422     -2.80     0.421     -.021     23.21
              0.31     0.427     -2.77     0.425     -.021     23.46
              0.34     0.433     -2.80     0.431     -.021     23.79
              0.35     0.435     -2.85     0.433     -.022     23.92
              0.39     0.439     -2.93     0.437     -.022     24.12
              0.44     0.446     -2.96     0.444     -.023     24.49
              0.48     0.453     -2.88     0.451     -.023     24.89
              0.51     0.454     -2.86     0.453     -.023     24.98
              0.61     0.466     -2.78     0.464     -.023     25.60
              0.71     0.475     -2.73     0.473     -.023     26.10
              0.81     0.480     -2.75     0.478     -.023     26.38
              0.91     0.489     -2.71     0.487     -.023     26.87
              1.01     0.497     -2.62     0.496     -.023     27.35
              1.11     0.502     -2.60     0.500     -.023     27.60
              1.21     0.505     -2.58     0.503     -.023     27.75
              1.41     0.514     -2.48     0.512     -.022     28.25
              1.61     0.522     -2.39     0.520     -.022     28.70
              1.81     0.532     -2.34     0.530     -.022     29.25
              2.01     0.539     -2.12     0.538     -.020     29.65
              2.21     0.548     -2.08     0.547     -.020     30.16
              2.71     0.563     -1.81     0.561     -.018     30.95
              3.21     0.578     -1.46     0.577     -.015     31.82
              3.71     0.593     -0.99     0.592     -.010     32.62
              4.21     0.604     -0.62     0.603     -.007     33.23
              4.71     0.616     -0.24     0.615     -.003     33.88
              5.21     0.628      0.13     0.626     0.001     34.53
              5.71     0.636      0.52     0.635     0.006     35.01
              6.21     0.649      0.86     0.648     0.010     35.69
              6.71     0.655      1.22     0.654     0.014     36.05
              7.21     0.667      1.58     0.665     0.018     36.68
              7.71     0.673      2.00     0.671     0.023     37.03
              8.21     0.682      2.39     0.680     0.028     37.52
              8.71     0.693      2.70     0.691     0.033     38.12
              9.21     0.698      3.09     0.696     0.038     38.44
              9.71     0.707      3.45     0.704     0.042     38.89
             10.21     0.713      3.78     0.711     0.047     39.25
             11.21     0.731      4.42     0.728     0.056     40.25
             12.21     0.751      5.00     0.747     0.065     41.33
             13.21     0.765      5.72     0.760     0.076     42.10
             14.21     0.782      6.34     0.776     0.086     43.03
             15.21     0.798      6.86     0.791     0.095     43.92
             16.21     0.810      7.40     0.803     0.104     44.61
             18.21     0.843      8.22     0.834     0.120     46.45
             20.21     0.874      8.81     0.863     0.134     48.13
             22.21     0.905      9.14     0.893     0.144     49.84
             24.21     0.934      9.26     0.921     0.150     51.45
             26.21     0.956      9.24     0.944     0.154     52.69
             28.21     0.975      9.07     0.962     0.154     53.71
             30.21     0.988      8.83     0.976     0.152     54.46
             35.21     1.000      8.45     0.989     0.147     55.12
