##     BOUNDARY LAYER MEASUREMENT
#
#     MODEL: PROLATE SPHEROID 1:6, L =2.4 M
#     ARTIFICIAL TRANSITION AT X/2A = 0.2
#
#
# NOMENCLATURE:
# Z        DISTANCE FROM MODEL SURFACE (WALL NORMAL)
# UR       RESULTANT VELOCITY
# GAMMA    CROSS FLOW ANGLE
# U        LONGITUDINAL VELOCITY COMPONENT
# V        CIRCUMFERENTIAL VELOCITY COMPONENT
# URE      UR AT BOUNDARY LAYER EDGE
#
##     RUN: 126500                                        DATE:  6.10.  81
# 
#     MEASURING STATION:    X/2A= 0.73
# 
#     ANGLE OF INCIDENCE   ALPHA= 10.0 DEG.    CIRC. ANGLE  PHI= 169.6 DEG.
# 
#     FREE STREAM VELOCITY  UINF=  55.0 M/S       PATM=   100039.9 PA
# 
#     FREE STREAM TEMPERATURE TO= 313.4 K
# 
# 
#              Z      UR/URE     GAMMA     U/URE     V/URE      UR
#             (MM)      (-)      (DEG.)     (-)       (-)      (M/S)
              0.22     0.483     -7.13     0.476     -.060     25.79
              0.23     0.488     -6.76     0.481     -.057     26.08
              0.24     0.490     -6.55     0.483     -.055     26.16
              0.24     0.494     -6.37     0.488     -.054     26.40
              0.25     0.499     -6.29     0.492     -.054     26.64
              0.26     0.502     -6.30     0.496     -.055     26.83
              0.28     0.508     -6.23     0.502     -.055     27.17
              0.29     0.514     -6.20     0.507     -.055     27.47
              0.31     0.520     -6.08     0.514     -.055     27.79
              0.34     0.521     -6.13     0.515     -.055     27.88
              0.35     0.528     -6.02     0.522     -.055     28.22
              0.39     0.534     -5.96     0.527     -.055     28.54
              0.44     0.541     -5.93     0.535     -.056     28.94
              0.48     0.548     -5.85     0.542     -.056     29.31
              0.51     0.551     -5.83     0.546     -.056     29.51
              0.61     0.567     -5.86     0.561     -.058     30.34
              0.71     0.579     -5.69     0.573     -.057     30.98
              0.81     0.585     -5.56     0.579     -.056     31.31
              0.91     0.596     -5.40     0.590     -.056     31.89
              1.01     0.605     -5.38     0.600     -.056     32.42
              1.11     0.607     -5.43     0.601     -.057     32.48
              1.21     0.620     -5.33     0.614     -.057     33.21
              1.41     0.631     -5.31     0.626     -.058     33.82
              1.61     0.640     -5.29     0.635     -.059     34.32
              1.81     0.651     -5.19     0.646     -.059     34.90
              2.01     0.664     -4.96     0.660     -.057     35.63
              2.21     0.671     -4.78     0.667     -.056     36.02
              2.71     0.691     -4.60     0.687     -.055     37.09
              3.21     0.708     -4.55     0.704     -.056     38.00
              3.71     0.728     -4.36     0.724     -.055     39.07
              4.21     0.740     -4.15     0.736     -.053     39.73
              4.71     0.753     -3.99     0.749     -.052     40.41
              5.21     0.763     -3.87     0.760     -.051     40.98
              5.71     0.770     -3.77     0.766     -.051     41.33
              6.21     0.788     -3.47     0.785     -.048     42.30
              6.71     0.793     -3.30     0.790     -.046     42.60
              7.21     0.801     -3.10     0.798     -.043     43.03
              7.71     0.815     -2.96     0.813     -.042     43.79
              8.21     0.827     -2.77     0.825     -.040     44.44
              8.71     0.827     -2.68     0.825     -.039     44.46
              9.21     0.841     -2.40     0.839     -.035     45.19
              9.71     0.842     -2.25     0.840     -.033     45.24
             10.21     0.853     -2.08     0.851     -.031     45.81
             11.21     0.864     -1.75     0.862     -.026     46.42
             12.21     0.872     -1.35     0.871     -.020     46.88
             13.21     0.880     -0.98     0.879     -.015     47.30
             14.21     0.889     -0.60     0.888     -.009     47.79
             15.21     0.892     -0.24     0.891     -.004     47.96
             16.21     0.901      0.11     0.900     0.002     48.45
             18.21     0.908      0.75     0.907     0.012     48.80
             20.21     0.921      1.39     0.920     0.022     49.52
             22.21     0.927      2.03     0.925     0.033     49.83
             24.21     0.939      2.51     0.938     0.041     50.51
             26.21     0.946      2.97     0.944     0.049     50.89
             28.21     0.953      3.45     0.951     0.057     51.25
             30.21     0.965      3.82     0.963     0.064     51.93
             35.21     0.985      4.38     0.982     0.075     53.00
             40.21     0.998      4.47     0.995     0.078     53.68
             45.21     1.000      4.44     0.997     0.077     53.81
