##     BOUNDARY LAYER MEASUREMENT
#
#     MODEL: PROLATE SPHEROID 1:6, L =2.4 M
#     ARTIFICIAL TRANSITION AT X/2A = 0.2
#
#
# NOMENCLATURE:
# Z        DISTANCE FROM MODEL SURFACE (WALL NORMAL)
# UR       RESULTANT VELOCITY
# GAMMA    CROSS FLOW ANGLE
# U        LONGITUDINAL VELOCITY COMPONENT
# V        CIRCUMFERENTIAL VELOCITY COMPONENT
# URE      UR AT BOUNDARY LAYER EDGE
#
##     RUN: 404500                                        DATE: 23.08.1982
# 
#     MEASURING STATION:    X/2A= 0.56
# 
#     ANGLE OF INCIDENCE   ALPHA=  9.9 DEG.    CIRC. ANGLE  PHI=  90.0 DEG.
# 
#     FREE STREAM VELOCITY  UINF=  55.2 M/S       PATM=    99619.9 PA
# 
#     FREE STREAM TEMPERATURE TO= 315.2 K
# 
# 
#              Z      UR/URE     GAMMA     U/URE     V/URE      UR
#             (MM)      (-)      (DEG.)     (-)       (-)      (M/S)
              0.22     0.530     18.37     0.502     0.167     30.00
              0.23     0.538     18.03     0.510     0.166     30.44
              0.24     0.539     17.98     0.512     0.166     30.54
              0.24     0.545     17.76     0.517     0.166     30.83
              0.25     0.551     17.47     0.525     0.165     31.22
              0.27     0.551     17.62     0.524     0.166     31.21
              0.28     0.556     17.53     0.529     0.167     31.50
              0.29     0.558     17.54     0.530     0.168     31.58
              0.32     0.557     17.56     0.530     0.168     31.53
              0.34     0.557     17.54     0.530     0.168     31.56
              0.35     0.561     17.49     0.533     0.168     31.75
              0.39     0.567     17.47     0.539     0.170     32.10
              0.44     0.574     17.45     0.546     0.172     32.49
              0.48     0.581     17.36     0.554     0.173     32.93
              0.52     0.590     17.19     0.563     0.174     33.43
              0.62     0.606     17.01     0.578     0.177     34.33
              0.72     0.621     16.85     0.593     0.180     35.18
              0.82     0.635     16.77     0.606     0.183     35.95
              0.92     0.647     16.75     0.618     0.186     36.64
              1.02     0.659     16.70     0.630     0.189     37.31
              1.12     0.667     16.69     0.638     0.191     37.82
              1.22     0.676     16.65     0.646     0.193     38.30
              1.42     0.693     16.54     0.663     0.197     39.27
              1.62     0.707     16.57     0.676     0.201     40.06
              1.82     0.722     16.51     0.691     0.205     40.92
              2.02     0.732     16.53     0.700     0.208     41.48
              2.22     0.744     16.52     0.713     0.211     42.19
              2.72     0.775     16.43     0.742     0.219     43.93
              3.22     0.797     16.52     0.763     0.226     45.18
              3.72     0.821     16.44     0.786     0.232     46.55
              4.22     0.841     16.39     0.806     0.237     47.70
              4.72     0.859     16.40     0.823     0.242     48.71
              5.22     0.880     16.32     0.844     0.247     49.91
              5.72     0.898     16.28     0.861     0.252     50.95
              6.22     0.911     16.28     0.874     0.255     51.66
              6.72     0.926     16.19     0.889     0.258     52.54
              7.22     0.939     16.10     0.902     0.260     53.29
              7.72     0.951     16.05     0.914     0.263     53.98
              8.22     0.963     15.96     0.925     0.265     54.65
              8.72     0.973     15.87     0.936     0.266     55.24
              9.22     0.979     15.84     0.941     0.267     55.54
              9.72     0.987     15.73     0.950     0.268     56.03
             10.22     0.991     15.71     0.954     0.268     56.24
             11.22     0.995     15.65     0.958     0.268     56.50
             12.22     0.997     15.62     0.960     0.268     56.60
             13.22     1.000     15.52     0.964     0.268     56.77
