##     BOUNDARY LAYER MEASUREMENT
#
#     MODEL: PROLATE SPHEROID 1:6, L =2.4 M
#     ARTIFICIAL TRANSITION AT X/2A = 0.2
#
#
# NOMENCLATURE:
# Z        DISTANCE FROM MODEL SURFACE (WALL NORMAL)
# UR       RESULTANT VELOCITY
# GAMMA    CROSS FLOW ANGLE
# U        LONGITUDINAL VELOCITY COMPONENT
# V        CIRCUMFERENTIAL VELOCITY COMPONENT
# URE      UR AT BOUNDARY LAYER EDGE
#
##     RUN: 123700                                        DATE:  6.10.  81
# 
#     MEASURING STATION:    X/2A= 0.64
# 
#     ANGLE OF INCIDENCE   ALPHA= 10.0 DEG.    CIRC. ANGLE  PHI= 120.0 DEG.
# 
#     FREE STREAM VELOCITY  UINF=  55.0 M/S       PATM=    98910.0 PA
# 
#     FREE STREAM TEMPERATURE TO= 310.8 K
# 
# 
#              Z      UR/URE     GAMMA     U/URE     V/URE      UR
#             (MM)      (-)      (DEG.)     (-)       (-)      (M/S)
              0.22     0.465     12.03     0.453     0.096     25.74
              0.23     0.465     12.09     0.453     0.097     25.78
              0.24     0.466     12.10     0.454     0.097     25.83
              0.24     0.469     11.93     0.457     0.097     26.01
              0.25     0.471     11.82     0.459     0.096     26.11
              0.27     0.476     11.61     0.464     0.095     26.35
              0.28     0.479     11.50     0.467     0.095     26.53
              0.29     0.486     11.17     0.475     0.094     26.94
              0.32     0.490     11.03     0.479     0.093     27.16
              0.34     0.493     10.85     0.482     0.092     27.33
              0.35     0.497     10.64     0.487     0.092     27.57
              0.39     0.504     10.56     0.494     0.092     27.94
              0.44     0.511     10.70     0.500     0.095     28.32
              0.48     0.519     10.63     0.508     0.095     28.77
              0.52     0.524     10.54     0.513     0.095     29.04
              0.62     0.533     10.52     0.523     0.097     29.58
              0.72     0.546     10.52     0.535     0.099     30.28
              0.82     0.554     10.60     0.543     0.102     30.75
              0.92     0.563     10.61     0.552     0.103     31.22
              1.02     0.572     10.60     0.560     0.105     31.71
              1.12     0.578     10.69     0.566     0.107     32.05
              1.22     0.585     10.74     0.573     0.109     32.46
              1.42     0.598     10.84     0.586     0.112     33.21
              1.62     0.610     10.90     0.597     0.115     33.83
              1.82     0.619     10.99     0.606     0.118     34.36
              2.02     0.631     11.14     0.618     0.122     35.02
              2.22     0.642     11.24     0.628     0.125     35.61
              2.72     0.663     11.59     0.648     0.133     36.82
              3.22     0.685     11.70     0.669     0.139     38.03
              3.72     0.703     11.95     0.686     0.145     39.02
              4.22     0.722     12.02     0.705     0.150     40.11
              4.72     0.739     12.16     0.721     0.155     41.04
              5.22     0.758     12.21     0.739     0.160     42.08
              5.72     0.772     12.35     0.753     0.165     42.90
              6.22     0.789     12.36     0.770     0.169     43.82
              6.72     0.803     12.40     0.783     0.172     44.60
              7.22     0.817     12.46     0.797     0.176     45.39
              7.72     0.833     12.51     0.812     0.180     46.28
              8.22     0.845     12.60     0.824     0.184     46.94
              8.72     0.856     12.65     0.835     0.187     47.59
              9.22     0.870     12.68     0.848     0.191     48.34
              9.72     0.882     12.69     0.860     0.194     49.05
             10.22     0.891     12.77     0.868     0.197     49.51
             11.22     0.914     12.81     0.891     0.202     50.80
             12.22     0.934     12.90     0.910     0.208     51.92
             13.22     0.952     12.98     0.927     0.214     52.94
             14.22     0.969     13.01     0.944     0.218     53.90
             15.22     0.979     13.16     0.954     0.223     54.48
             16.22     0.990     13.30     0.963     0.228     55.08
             18.22     1.000     13.77     0.971     0.238     55.63
