##     BOUNDARY LAYER MEASUREMENT
#
#     MODEL: PROLATE SPHEROID 1:6, L =2.4 M
#     ARTIFICIAL TRANSITION AT X/2A = 0.2
#
#
# NOMENCLATURE:
# Z        DISTANCE FROM MODEL SURFACE (WALL NORMAL)
# UR       RESULTANT VELOCITY
# GAMMA    CROSS FLOW ANGLE
# U        LONGITUDINAL VELOCITY COMPONENT
# V        CIRCUMFERENTIAL VELOCITY COMPONENT
# URE      UR AT BOUNDARY LAYER EDGE
#
##     RUN: 401100                                        DATE: 23.08.1982
# 
#     MEASURING STATION:    X/2A= 0.48
# 
#     ANGLE OF INCIDENCE   ALPHA=  9.9 DEG.    CIRC. ANGLE  PHI= 150.0 DEG.
# 
#     FREE STREAM VELOCITY  UINF=  55.5 M/S       PATM=    99910.0 PA
# 
#     FREE STREAM TEMPERATURE TO= 310.8 K
# 
# 
#              Z      UR/URE     GAMMA     U/URE     V/URE      UR
#             (MM)      (-)      (DEG.)     (-)       (-)      (M/S)
              0.22     0.485      3.20     0.482     0.027     27.65
              0.22     0.487      3.17     0.484     0.027     27.76
              0.23     0.487      3.13     0.485     0.026     27.79
              0.24     0.489      2.99     0.487     0.025     27.89
              0.24     0.494      2.87     0.491     0.025     28.15
              0.25     0.495      2.90     0.493     0.025     28.27
              0.27     0.499      3.08     0.497     0.027     28.48
              0.28     0.504      2.99     0.502     0.026     28.75
              0.29     0.507      2.84     0.505     0.025     28.93
              0.32     0.512      2.79     0.510     0.025     29.21
              0.34     0.516      2.87     0.513     0.026     29.41
              0.35     0.519      2.99     0.516     0.027     29.59
              0.39     0.525      2.97     0.522     0.027     29.93
              0.44     0.529      2.97     0.526     0.027     30.17
              0.48     0.535      2.99     0.533     0.028     30.55
              0.52     0.538      3.02     0.536     0.028     30.73
              0.62     0.550      3.09     0.548     0.030     31.40
              0.72     0.561      3.17     0.559     0.031     32.02
              0.82     0.571      3.23     0.569     0.032     32.59
              0.92     0.576      3.28     0.574     0.033     32.89
              1.02     0.585      3.27     0.583     0.033     33.39
              1.12     0.589      3.37     0.586     0.035     33.61
              1.22     0.597      3.36     0.595     0.035     34.10
              1.42     0.608      3.36     0.606     0.036     34.71
              1.62     0.618      3.51     0.616     0.038     35.31
              1.82     0.632      3.69     0.629     0.041     36.08
              2.02     0.641      3.77     0.638     0.042     36.59
              2.22     0.647      3.93     0.644     0.044     36.93
              2.72     0.672      4.20     0.669     0.049     38.37
              3.22     0.688      4.56     0.684     0.055     39.28
              3.72     0.709      4.67     0.706     0.058     40.51
              4.22     0.724      4.99     0.720     0.063     41.37
              4.72     0.743      5.22     0.739     0.068     42.48
              5.22     0.760      5.50     0.755     0.073     43.40
              5.72     0.775      5.64     0.770     0.076     44.30
              6.22     0.784      6.04     0.779     0.082     44.82
              6.72     0.801      6.30     0.795     0.088     45.79
              7.22     0.815      6.54     0.809     0.093     46.59
              7.72     0.826      6.79     0.819     0.097     47.19
              8.22     0.841      6.91     0.834     0.101     48.09
              8.72     0.850      7.12     0.843     0.105     48.60
              9.22     0.863      7.20     0.856     0.108     49.35
              9.72     0.877      7.49     0.869     0.114     50.13
             10.22     0.889      7.59     0.880     0.117     50.82
             11.22     0.909      7.75     0.900     0.122     51.98
             12.22     0.922      8.01     0.913     0.128     52.74
             13.22     0.941      8.25     0.931     0.135     53.84
             14.22     0.957      8.46     0.946     0.141     54.74
             15.22     0.971      8.44     0.960     0.142     55.55
             16.22     0.982      8.47     0.971     0.145     56.17
             18.22     0.995      8.47     0.984     0.147     56.94
             20.22     0.999      8.35     0.989     0.145     57.18
             22.22     1.000      8.19     0.990     0.142     57.23
