##     BOUNDARY LAYER MEASUREMENT
#
#     MODEL: PROLATE SPHEROID 1:6, L =2.4 M
#     ARTIFICIAL TRANSITION AT X/2A = 0.2
#
#
# NOMENCLATURE:
# Z        DISTANCE FROM MODEL SURFACE (WALL NORMAL)
# UR       RESULTANT VELOCITY
# GAMMA    CROSS FLOW ANGLE
# U        LONGITUDINAL VELOCITY COMPONENT
# V        CIRCUMFERENTIAL VELOCITY COMPONENT
# URE      UR AT BOUNDARY LAYER EDGE
#
##     RUN: 401200                                        DATE: 23.08.1982
# 
#     MEASURING STATION:    X/2A= 0.48
# 
#     ANGLE OF INCIDENCE   ALPHA=  9.9 DEG.    CIRC. ANGLE  PHI= 155.0 DEG.
# 
#     FREE STREAM VELOCITY  UINF=  55.5 M/S       PATM=    99900.0 PA
# 
#     FREE STREAM TEMPERATURE TO= 311.3 K
# 
# 
#              Z      UR/URE     GAMMA     U/URE     V/URE      UR
#             (MM)      (-)      (DEG.)     (-)       (-)      (M/S)
              0.22     0.490      1.92     0.488     0.016     27.89
              0.23     0.492      1.87     0.490     0.016     28.00
              0.24     0.493      1.84     0.491     0.016     28.06
              0.24     0.496      1.78     0.494     0.015     28.21
              0.25     0.497      1.73     0.495     0.015     28.28
              0.26     0.498      1.70     0.496     0.015     28.33
              0.28     0.503      1.68     0.501     0.015     28.64
              0.29     0.509      1.65     0.507     0.015     28.97
              0.31     0.512      1.61     0.510     0.014     29.13
              0.34     0.516      1.67     0.514     0.015     29.39
              0.35     0.519      1.73     0.518     0.016     29.57
              0.39     0.528      1.67     0.526     0.015     30.04
              0.44     0.531      1.71     0.530     0.016     30.26
              0.48     0.535      1.71     0.533     0.016     30.45
              0.51     0.540      1.80     0.538     0.017     30.73
              0.61     0.556      1.84     0.554     0.018     31.65
              0.71     0.564      2.01     0.562     0.020     32.13
              0.81     0.574      2.00     0.572     0.020     32.71
              0.91     0.582      2.08     0.580     0.021     33.14
              1.01     0.586      2.10     0.584     0.021     33.38
              1.11     0.593      2.15     0.592     0.022     33.80
              1.21     0.602      2.21     0.600     0.023     34.31
              1.41     0.615      2.32     0.613     0.025     35.06
              1.61     0.626      2.40     0.624     0.026     35.65
              1.81     0.637      2.48     0.635     0.027     36.27
              2.01     0.645      2.57     0.643     0.029     36.77
              2.21     0.655      2.63     0.653     0.030     37.34
              2.71     0.675      2.86     0.673     0.034     38.49
              3.21     0.696      3.10     0.694     0.038     39.67
              3.71     0.711      3.41     0.709     0.042     40.55
              4.21     0.728      3.74     0.725     0.047     41.50
              4.71     0.745      3.98     0.742     0.052     42.48
              5.21     0.759      4.23     0.756     0.056     43.31
              5.71     0.774      4.45     0.771     0.060     44.16
              6.21     0.788      4.68     0.785     0.064     44.95
              6.71     0.807      4.74     0.804     0.067     46.04
              7.21     0.816      5.04     0.812     0.072     46.57
              7.71     0.833      5.25     0.829     0.076     47.53
              8.21     0.844      5.49     0.839     0.081     48.13
              8.71     0.850      5.68     0.845     0.084     48.52
              9.21     0.866      5.84     0.861     0.088     49.40
              9.71     0.875      6.08     0.870     0.093     49.96
             10.21     0.885      6.18     0.880     0.095     50.52
             11.21     0.907      6.54     0.901     0.103     51.77
             12.21     0.925      6.70     0.918     0.108     52.79
             13.21     0.937      6.91     0.930     0.113     53.47
             14.21     0.952      6.89     0.945     0.114     54.35
             15.21     0.971      6.94     0.964     0.117     55.45
             16.21     0.981      6.95     0.974     0.119     56.01
             18.21     0.992      6.96     0.985     0.120     56.66
             20.21     0.997      6.88     0.990     0.120     56.95
             22.21     1.000      6.77     0.993     0.118     57.11
