## NOMENCLATURE:
# PHI      CIRCUMFERENTIAL MODEL ANGLE
# CF       WALL SHEAR STRESS COEFFICIENT (= LOCAL WALL SHEAR STRESS
#                           NORMALIZED WITH FREE STREAM DYNAMIC PRESSURE)
# GAMMA    WALL SHEAR STRESS ANGLE
# 
# 
##                D F V L R   RESEARCH CENTER   A V A   GOETTINGEN
# 
#            WALL SHEAR STRESS MEASUREMENTS ON A 1:6 PROLATE SPHEROID
# 
#    3MX3M LOW SPEED WIND TUNNEL       ARTIFICIAL TRANSITION AT X0/2A= 0.2
# 
#    RUN: 0   3 5                             INCIDENCE  ALPHA= 10.0 DEG.
# 
#    VELOCITY  UINF= 55.0 M/S                 REYNOLDS N0.  RE= 0.770E+07
# 
#    MEASURING STATION:    NO.  8  ,  X0/2A= 0.652
# 
#   PHI     CF    GAMMA
#  (DEG)    --    (DEG)
   -3.0  0.00411  -2.1    
   -0.6  0.00416  -1.2    
   -0.6  0.00419  -0.9    
    1.8  0.00416  -0.2    
    4.2  0.00422   1.0    
    6.6  0.00423   1.9    
    9.0  0.00427   2.7    
   11.4  0.00430   3.8    
   13.8  0.00429   4.6    
   16.2  0.00433   5.7    
   18.6  0.00437   6.5    
   21.0  0.00435   7.4    
   23.4  0.00441   8.1    
   25.8  0.00441   8.7    
   28.2  0.00437   9.5    
   30.6  0.00440  10.4    
   33.0  0.00442  11.1    
   35.4  0.00440  11.9    
   37.8  0.00443  12.5    
   40.2  0.00439  13.0    
   42.6  0.00439  13.8    
   45.0  0.00443  14.5    
   47.4  0.00446  15.1    
   49.8  0.00443  15.6    
   52.2  0.00439  15.9    
   54.6  0.00440  16.2    
   57.0  0.00442  16.8    
   59.4  0.00437  17.2    
   61.8  0.00436  17.9    
   64.2  0.00437  17.9    
   66.6  0.00433  18.2    
   69.0  0.00431  18.4    
   71.4  0.00430  18.6    
   73.8  0.00429  18.6    
   76.2  0.00420  18.7    
   78.6  0.00415  18.5    
   81.0  0.00416  18.5    
   83.4  0.00418  18.9    
   85.8  0.00407  18.4    
   88.2  0.00405  18.2    
   90.6  0.00401  18.3
   93.0  0.00395  17.7
   95.4  0.00388  17.2
   97.8  0.00381  16.9
  100.2  0.00379  16.5
  102.6  0.00366  15.7
  105.0  0.00370  15.1
  107.4  0.00365  14.6
  109.8  0.00349  13.7
  112.2  0.00340  13.1
  114.6  0.00326  11.8
  117.0  0.00313  11.2
  119.4  0.00306  10.2
  121.8  0.00292   9.0
  124.2  0.00275   8.0
  125.8  0.00263   6.7
  129.0  0.00249   5.4
  131.4  0.00235   4.1
  133.8  0.00223   3.0
  136.2  0.00210   1.3
  138.6  0.00201   0.6
  140.2  0.00189  -0.4
  142.6  0.00187  -2.1
  145.8  0.00183  -3.0
  148.2  0.00180  -4.2
  150.6  0.00187  -5.2
  153.0  0.00195  -6.0
  155.4  0.00200  -6.3
  157.8  0.00209  -6.8
  160.2  0.00219  -7.0
  162.6  0.00228  -6.6
  165.0  0.00233  -6.1
  167.4  0.00241  -5.3
  169.8  0.00251  -4.8
  172.2  0.00256  -4.0
  174.6  0.00265  -3.3
  177.0  0.00271  -2.6
  179.4  0.00276  -1.3
  181.8  0.00279  -0.0
  184.2  0.00279   1.0
