##     BOUNDARY LAYER MEASUREMENT
#
#     MODEL: PROLATE SPHEROID 1:6, L =2.4 M
#     ARTIFICIAL TRANSITION AT X/2A = 0.2
#
#
# NOMENCLATURE:
# Z        DISTANCE FROM MODEL SURFACE (WALL NORMAL)
# UR       RESULTANT VELOCITY
# GAMMA    CROSS FLOW ANGLE
# U        LONGITUDINAL VELOCITY COMPONENT
# V        CIRCUMFERENTIAL VELOCITY COMPONENT
# URE      UR AT BOUNDARY LAYER EDGE
#
##     RUN: 404700                                        DATE: 23.08.1982
# 
#     MEASURING STATION:    X/2A= 0.56
# 
#     ANGLE OF INCIDENCE   ALPHA=  9.9 DEG.    CIRC. ANGLE  PHI= 120.0 DEG.
# 
#     FREE STREAM VELOCITY  UINF=  55.3 M/S       PATM=    99650.0 PA
# 
#     FREE STREAM TEMPERATURE TO= 315.7 K
# 
# 
#              Z      UR/URE     GAMMA     U/URE     V/URE      UR
#             (MM)      (-)      (DEG.)     (-)       (-)      (M/S)
              0.22     0.490     12.27     0.478     0.104     27.75
              0.23     0.493     12.27     0.480     0.104     27.87
              0.24     0.496     12.18     0.484     0.104     28.07
              0.24     0.500     12.04     0.487     0.104     28.27
              0.25     0.502     11.90     0.490     0.103     28.40
              0.27     0.507     11.86     0.495     0.104     28.70
              0.28     0.510     11.95     0.498     0.105     28.86
              0.29     0.516     11.91     0.504     0.106     29.20
              0.32     0.521     11.89     0.508     0.107     29.46
              0.34     0.523     12.04     0.510     0.109     29.59
              0.35     0.529     12.02     0.517     0.110     29.97
              0.39     0.537     11.94     0.524     0.111     30.37
              0.44     0.540     12.01     0.527     0.112     30.58
              0.48     0.548     11.94     0.535     0.113     31.04
              0.52     0.554     11.93     0.541     0.114     31.37
              0.62     0.564     12.17     0.551     0.119     31.95
              0.72     0.580     12.03     0.566     0.121     32.83
              0.82     0.588     12.17     0.574     0.124     33.30
              0.92     0.599     12.02     0.585     0.124     33.91
              1.02     0.605     12.12     0.590     0.127     34.27
              1.12     0.612     12.09     0.597     0.128     34.66
              1.22     0.619     12.14     0.603     0.130     35.02
              1.42     0.632     12.22     0.616     0.133     35.77
              1.62     0.644     12.36     0.628     0.138     36.45
              1.82     0.656     12.44     0.640     0.141     37.17
              2.02     0.666     12.60     0.649     0.145     37.73
              2.22     0.679     12.62     0.661     0.148     38.44
              2.72     0.699     12.70     0.681     0.154     39.61
              3.22     0.717     12.92     0.698     0.160     40.63
              3.72     0.739     13.08     0.719     0.167     41.90
              4.22     0.757     13.47     0.735     0.176     42.88
              4.72     0.776     13.55     0.754     0.182     43.99
              5.22     0.792     13.65     0.769     0.187     44.90
              5.72     0.808     13.64     0.785     0.190     45.82
              6.22     0.822     13.76     0.798     0.195     46.59
              6.72     0.837     13.77     0.812     0.199     47.42
              7.22     0.850     13.93     0.824     0.204     48.17
              7.72     0.864     14.02     0.837     0.209     48.98
              8.22     0.876     14.17     0.848     0.214     49.65
              8.72     0.889     14.16     0.862     0.217     50.43
              9.22     0.898     14.22     0.870     0.220     50.91
              9.72     0.908     14.29     0.879     0.224     51.46
             10.22     0.922     14.23     0.893     0.226     52.27
             11.22     0.941     14.22     0.912     0.231     53.39
             12.22     0.958     14.10     0.929     0.233     54.34
             13.22     0.971     14.04     0.942     0.236     55.08
             14.22     0.982     14.02     0.953     0.238     55.73
             15.22     0.992     13.91     0.962     0.238     56.26
             16.22     0.995     13.77     0.967     0.237     56.46
             18.22     0.996     13.65     0.968     0.235     56.50
             20.22     0.997     13.60     0.969     0.234     56.59
             22.22     1.000     13.50     0.972     0.233     56.74
