##     BOUNDARY LAYER MEASUREMENT
#
#     MODEL: PROLATE SPHEROID 1:6, L =2.4 M
#     ARTIFICIAL TRANSITION AT X/2A = 0.2
#
#
# NOMENCLATURE:
# Z        DISTANCE FROM MODEL SURFACE (WALL NORMAL)
# UR       RESULTANT VELOCITY
# GAMMA    CROSS FLOW ANGLE
# U        LONGITUDINAL VELOCITY COMPONENT
# V        CIRCUMFERENTIAL VELOCITY COMPONENT
# URE      UR AT BOUNDARY LAYER EDGE
#
##     RUN: 404600                                        DATE: 23.08.1982
# 
#     MEASURING STATION:    X/2A= 0.56
# 
#     ANGLE OF INCIDENCE   ALPHA=  9.9 DEG.    CIRC. ANGLE  PHI= 105.0 DEG.
# 
#     FREE STREAM VELOCITY  UINF=  55.2 M/S       PATM=    99630.0 PA
# 
#     FREE STREAM TEMPERATURE TO= 315.6 K
# 
# 
#              Z      UR/URE     GAMMA     U/URE     V/URE      UR
#             (MM)      (-)      (DEG.)     (-)       (-)      (M/S)
              0.22     0.512     16.28     0.490     0.143     28.98
              0.23     0.514     16.28     0.492     0.144     29.07
              0.24     0.520     16.12     0.498     0.144     29.38
              0.24     0.523     16.06     0.502     0.144     29.61
              0.25     0.528     15.90     0.507     0.144     29.88
              0.27     0.529     15.92     0.507     0.145     29.90
              0.28     0.535     15.79     0.513     0.145     30.26
              0.29     0.540     15.76     0.518     0.146     30.52
              0.32     0.543     15.78     0.521     0.147     30.73
              0.34     0.549     15.72     0.527     0.148     31.04
              0.35     0.554     15.72     0.532     0.150     31.35
              0.39     0.562     15.68     0.539     0.151     31.78
              0.44     0.568     15.72     0.545     0.153     32.11
              0.48     0.575     15.64     0.552     0.155     32.53
              0.52     0.582     15.59     0.559     0.156     32.93
              0.62     0.595     15.59     0.572     0.160     33.68
              0.82     0.622     15.45     0.598     0.165     35.22
              0.92     0.631     15.44     0.607     0.168     35.71
              1.02     0.640     15.39     0.615     0.169     36.20
              1.12     0.649     15.38     0.624     0.172     36.74
              1.22     0.658     15.37     0.633     0.174     37.25
              1.42     0.671     15.35     0.646     0.177     37.98
              1.62     0.683     15.35     0.658     0.180     38.68
              1.82     0.696     15.33     0.670     0.184     39.42
              2.02     0.707     15.42     0.681     0.188     40.05
              2.22     0.721     15.39     0.693     0.191     40.80
              2.72     0.745     15.55     0.716     0.199     42.16
              3.22     0.767     15.65     0.738     0.207     43.46
              3.72     0.790     15.66     0.760     0.213     44.78
              4.22     0.811     15.63     0.780     0.218     45.97
              4.72     0.827     15.69     0.796     0.223     46.87
              5.22     0.846     15.68     0.814     0.228     47.93
              5.72     0.862     15.72     0.829     0.233     48.87
              6.22     0.876     15.80     0.842     0.238     49.67
              6.72     0.895     15.77     0.861     0.243     50.73
              7.22     0.912     15.68     0.878     0.246     51.70
              7.72     0.920     15.72     0.885     0.249     52.13
              8.22     0.932     15.65     0.897     0.251     52.84
              8.72     0.944     15.63     0.909     0.254     53.54
              9.22     0.956     15.56     0.921     0.256     54.22
              9.72     0.963     15.53     0.928     0.258     54.64
             10.22     0.975     15.37     0.940     0.258     55.33
             11.22     0.987     15.27     0.952     0.260     55.96
             12.22     0.992     15.23     0.957     0.261     56.25
             13.22     0.998     15.14     0.963     0.261     56.61
             14.22     1.000     15.12     0.965     0.261     56.73
