##     BOUNDARY LAYER MEASUREMENT
#
#     MODEL: PROLATE SPHEROID 1:6, L =2.4 M
#     ARTIFICIAL TRANSITION AT X/2A = 0.2
#
#
# NOMENCLATURE:
# Z        DISTANCE FROM MODEL SURFACE (WALL NORMAL)
# UR       RESULTANT VELOCITY
# GAMMA    CROSS FLOW ANGLE
# U        LONGITUDINAL VELOCITY COMPONENT
# V        CIRCUMFERENTIAL VELOCITY COMPONENT
# URE      UR AT BOUNDARY LAYER EDGE
#
##     RUN: 401500                                        DATE: 23.08.1982
# 
#     MEASURING STATION:    X/2A= 0.48
# 
#     ANGLE OF INCIDENCE   ALPHA= 10.0 DEG.    CIRC. ANGLE  PHI= 170.0 DEG.
# 
#     FREE STREAM VELOCITY  UINF=  55.5 M/S       PATM=    99930.0 PA
# 
#     FREE STREAM TEMPERATURE TO= 312.9 K
# 
# 
#              Z      UR/URE     GAMMA     U/URE     V/URE      UR
#             (MM)      (-)      (DEG.)     (-)       (-)      (M/S)
              0.22     0.508      0.17     0.507     0.002     28.67
              0.23     0.509      0.11     0.508     0.001     28.75
              0.24     0.513      0.03     0.512     0.000     28.97
              0.25     0.512     -0.05     0.510     -.000     28.87
              0.25     0.517     -0.10     0.516     -.001     29.19
              0.26     0.520     -0.15     0.519     -.001     29.37
              0.28     0.524     -0.24     0.522     -.002     29.55
              0.30     0.530     -0.19     0.528     -.002     29.89
              0.31     0.533     -0.12     0.531     -.001     30.08
              0.34     0.536     -0.05     0.535     -.000     30.28
              0.35     0.541     -0.07     0.539     -.001     30.53
              0.39     0.546     -0.10     0.545     -.001     30.85
              0.44     0.553     -0.13     0.552     -.001     31.22
              0.48     0.555     -0.11     0.554     -.001     31.34
              0.51     0.563     -0.07     0.561     -.001     31.76
              0.61     0.578     -0.04     0.577     -.000     32.65
              0.71     0.585      0.01     0.584     0.000     33.04
              0.81     0.596      0.03     0.594     0.000     33.64
              0.91     0.601      0.11     0.600     0.001     33.95
              1.01     0.612      0.18     0.610     0.002     34.55
              1.11     0.619      0.22     0.618     0.002     34.97
              1.21     0.628      0.22     0.626     0.002     35.44
              1.41     0.637      0.22     0.636     0.002     35.97
              1.61     0.647      0.25     0.646     0.003     36.54
              1.81     0.659      0.30     0.658     0.003     37.24
              2.01     0.673      0.37     0.671     0.004     38.00
              2.21     0.680      0.42     0.679     0.005     38.41
              2.71     0.701      0.51     0.700     0.006     39.62
              3.21     0.721      0.63     0.720     0.008     40.72
              3.71     0.740      0.76     0.739     0.010     41.84
              4.21     0.756      0.90     0.755     0.012     42.73
              4.71     0.771      1.03     0.770     0.014     43.57
              5.21     0.784      1.14     0.783     0.016     44.34
              5.71     0.801      1.28     0.800     0.018     45.26
              6.21     0.813      1.46     0.811     0.021     45.93
              6.71     0.826      1.62     0.825     0.023     46.72
              7.21     0.839      1.68     0.838     0.025     47.43
              7.71     0.851      1.78     0.850     0.026     48.10
              8.21     0.862      1.87     0.860     0.028     48.71
              8.71     0.870      1.98     0.869     0.030     49.21
              9.21     0.884      2.07     0.882     0.032     49.98
              9.71     0.892      2.12     0.890     0.033     50.43
             10.21     0.902      2.24     0.901     0.035     51.01
             11.21     0.918      2.49     0.917     0.040     51.93
             12.21     0.934      2.62     0.932     0.043     52.82
             13.21     0.946      2.66     0.944     0.044     53.51
             14.21     0.960      2.64     0.959     0.044     54.32
             15.21     0.970      2.74     0.968     0.046     54.86
             16.21     0.982      2.79     0.980     0.048     55.55
             18.21     0.993      2.84     0.992     0.049     56.19
             20.21     0.998      2.68     0.997     0.047     56.49
             22.21     1.000      2.60     0.999     0.045     56.59
