##     BOUNDARY LAYER MEASUREMENT
#
#     MODEL: PROLATE SPHEROID 1:6, L =2.4 M
#     ARTIFICIAL TRANSITION AT X/2A = 0.2
#
#
# NOMENCLATURE:
# Z        DISTANCE FROM MODEL SURFACE (WALL NORMAL)
# UR       RESULTANT VELOCITY
# GAMMA    CROSS FLOW ANGLE
# U        LONGITUDINAL VELOCITY COMPONENT
# V        CIRCUMFERENTIAL VELOCITY COMPONENT
# URE      UR AT BOUNDARY LAYER EDGE
#
##     RUN: 405000                                        DATE: 23.08.1982
# 
#     MEASURING STATION:    X/2A= 0.56
# 
#     ANGLE OF INCIDENCE   ALPHA= 10.0 DEG.    CIRC. ANGLE  PHI= 145.0 DEG.
# 
#     FREE STREAM VELOCITY  UINF=  55.1 M/S       PATM=    99400.0 PA
# 
#     FREE STREAM TEMPERATURE TO= 309.2 K
# 
# 
#              Z      UR/URE     GAMMA     U/URE     V/URE      UR
#             (MM)      (-)      (DEG.)     (-)       (-)      (M/S)
              0.22     0.443      1.16     0.441     0.009     24.87
              0.23     0.446      1.23     0.444     0.010     25.03
              0.24     0.449      1.27     0.448     0.010     25.24
              0.24     0.453      1.29     0.451     0.010     25.41
              0.25     0.455      1.23     0.453     0.010     25.55
              0.27     0.459      1.26     0.457     0.010     25.77
              0.28     0.461      1.35     0.459     0.011     25.89
              0.29     0.466      1.41     0.465     0.011     26.20
              0.32     0.471      1.51     0.469     0.012     26.45
              0.34     0.474      1.48     0.472     0.012     26.63
              0.35     0.477      1.40     0.476     0.012     26.82
              0.39     0.482      1.53     0.481     0.013     27.09
              0.44     0.490      1.60     0.488     0.014     27.52
              0.48     0.493      1.68     0.491     0.014     27.69
              0.52     0.498      1.68     0.497     0.015     28.00
              0.62     0.509      1.79     0.507     0.016     28.59
              0.72     0.518      1.89     0.516     0.017     29.09
              0.82     0.527      1.89     0.525     0.017     29.63
              0.92     0.533      1.91     0.531     0.018     29.94
              1.02     0.539      2.01     0.537     0.019     30.27
              1.12     0.544      2.18     0.542     0.021     30.55
              1.22     0.553      2.21     0.551     0.021     31.09
              1.42     0.560      2.36     0.558     0.023     31.49
              1.62     0.572      2.53     0.570     0.025     32.13
              1.82     0.580      2.64     0.578     0.027     32.62
              2.02     0.588      2.67     0.586     0.027     33.06
              2.22     0.595      2.88     0.592     0.030     33.43
              2.72     0.618      3.19     0.616     0.034     34.75
              3.22     0.629      3.55     0.627     0.039     35.40
              3.72     0.644      3.83     0.641     0.043     36.23
              4.22     0.660      4.39     0.656     0.050     37.10
              4.72     0.676      4.76     0.673     0.056     38.05
              5.22     0.686      5.06     0.682     0.060     38.60
              5.72     0.700      5.30     0.695     0.064     39.35
              6.22     0.715      5.64     0.711     0.070     40.25
              6.72     0.724      6.01     0.719     0.076     40.75
              7.22     0.738      6.17     0.732     0.079     41.50
              7.72     0.749      6.53     0.743     0.085     42.17
              8.22     0.763      6.86     0.756     0.091     42.91
              8.72     0.770      7.23     0.762     0.097     43.31
              9.22     0.783      7.28     0.776     0.099     44.08
              9.72     0.793      7.59     0.785     0.105     44.62
             10.22     0.803      7.81     0.794     0.109     45.17
             11.22     0.822      8.29     0.813     0.118     46.29
             12.22     0.844      8.58     0.833     0.126     47.49
             13.22     0.861      8.98     0.850     0.134     48.48
             14.22     0.879      9.46     0.866     0.144     49.49
             15.22     0.900      9.66     0.886     0.151     50.66
             16.22     0.909      9.98     0.895     0.157     51.22
             18.22     0.944     10.07     0.929     0.165     53.17
             20.22     0.967     10.17     0.952     0.171     54.50
             22.22     0.982     10.14     0.967     0.173     55.34
             24.22     0.995      9.95     0.980     0.172     56.08
             26.22     0.998      9.86     0.983     0.171     56.25
             28.22     1.000      9.70     0.986     0.168     56.36
