##     BOUNDARY LAYER MEASUREMENT
#
#     MODEL: PROLATE SPHEROID 1:6, L =2.4 M
#     ARTIFICIAL TRANSITION AT X/2A = 0.2
#
#
# NOMENCLATURE:
# Z        DISTANCE FROM MODEL SURFACE (WALL NORMAL)
# UR       RESULTANT VELOCITY
# GAMMA    CROSS FLOW ANGLE
# U        LONGITUDINAL VELOCITY COMPONENT
# V        CIRCUMFERENTIAL VELOCITY COMPONENT
# URE      UR AT BOUNDARY LAYER EDGE
#
##     RUN: 123600                                        DATE:  6.10.  81
# 
#     MEASURING STATION:    X/2A= 0.64
# 
#     ANGLE OF INCIDENCE   ALPHA= 10.0 DEG.    CIRC. ANGLE  PHI=  89.6 DEG.
# 
#     FREE STREAM VELOCITY  UINF=  55.0 M/S       PATM=    98889.9 PA
# 
#     FREE STREAM TEMPERATURE TO= 310.8 K
# 
# 
#              Z      UR/URE     GAMMA     U/URE     V/URE      UR
#             (MM)      (-)      (DEG.)     (-)       (-)      (M/S)
              0.22     0.510     19.71     0.478     0.171     28.54
              0.23     0.510     19.81     0.478     0.172     28.57
              0.24     0.513     19.69     0.482     0.172     28.75
              0.24     0.518     19.43     0.487     0.172     28.99
              0.25     0.520     19.28     0.490     0.171     29.15
              0.26     0.526     18.89     0.496     0.170     29.46
              0.28     0.529     18.53     0.500     0.168     29.63
              0.29     0.538     17.87     0.510     0.165     30.13
              0.31     0.543     17.55     0.516     0.163     30.40
              0.34     0.549     17.39     0.522     0.164     30.75
              0.35     0.554     17.23     0.527     0.164     31.03
              0.39     0.562     16.99     0.536     0.164     31.47
              0.44     0.572     16.58     0.547     0.163     32.06
              0.48     0.577     16.51     0.552     0.164     32.35
              0.51     0.585     16.26     0.561     0.163     32.82
              0.61     0.600     16.09     0.575     0.166     33.61
              0.71     0.614     15.82     0.590     0.167     34.44
              0.81     0.625     15.72     0.600     0.169     35.04
              0.91     0.637     15.62     0.612     0.171     35.71
              1.01     0.648     15.57     0.623     0.174     36.34
              1.11     0.657     15.46     0.632     0.175     36.85
              1.21     0.664     15.45     0.639     0.177     37.23
              1.41     0.680     15.43     0.654     0.180     38.13
              1.61     0.696     15.32     0.670     0.184     39.05
              1.81     0.707     15.31     0.681     0.186     39.68
              2.01     0.721     15.22     0.694     0.189     40.44
              2.21     0.732     15.22     0.705     0.192     41.06
              2.71     0.758     15.18     0.730     0.198     42.54
              3.21     0.782     15.14     0.754     0.204     43.90
              3.71     0.805     15.07     0.776     0.209     45.16
              4.21     0.826     15.01     0.797     0.214     46.39
              4.71     0.846     14.99     0.816     0.219     47.49
              5.21     0.863     14.97     0.833     0.223     48.44
              5.71     0.878     14.98     0.847     0.227     49.28
              6.21     0.896     14.93     0.866     0.231     50.34
              6.71     0.909     14.97     0.878     0.235     51.08
              7.21     0.923     14.94     0.891     0.238     51.84
              7.71     0.936     14.91     0.905     0.241     52.61
              8.21     0.948     14.96     0.916     0.245     53.27
              8.71     0.960     15.00     0.927     0.249     53.96
              9.21     0.968     15.19     0.934     0.254     54.41
              9.71     0.977     15.31     0.942     0.258     54.90
             10.21     0.983     15.51     0.947     0.263     55.25
             11.21     0.992     15.87     0.954     0.271     55.72
             12.21     0.997     16.15     0.958     0.277     56.04
             13.21     1.000     16.25     0.960     0.280     56.20
