##     BOUNDARY LAYER MEASUREMENT
#
#     MODEL: PROLATE SPHEROID 1:6, L =2.4 M
#     ARTIFICIAL TRANSITION AT X/2A = 0.2
#
#
# NOMENCLATURE:
# Z        DISTANCE FROM MODEL SURFACE (WALL NORMAL)
# UR       RESULTANT VELOCITY
# GAMMA    CROSS FLOW ANGLE
# U        LONGITUDINAL VELOCITY COMPONENT
# V        CIRCUMFERENTIAL VELOCITY COMPONENT
# URE      UR AT BOUNDARY LAYER EDGE
#
##     RUN: 400900                                        DATE: 23.08.1982
# 
#     MEASURING STATION:    X/2A= 0.48
# 
#     ANGLE OF INCIDENCE   ALPHA=  9.9 DEG.    CIRC. ANGLE  PHI= 140.0 DEG.
# 
#     FREE STREAM VELOCITY  UINF=  55.4 M/S       PATM=    99939.9 PA
# 
#     FREE STREAM TEMPERATURE TO= 310.0 K
# 
# 
#              Z      UR/URE     GAMMA     U/URE     V/URE      UR
#             (MM)      (-)      (DEG.)     (-)       (-)      (M/S)
              0.22     0.484      6.43     0.479     0.054     27.72
              0.23     0.485      6.53     0.480     0.055     27.78
              0.24     0.488      6.54     0.483     0.055     27.94
              0.24     0.491      6.50     0.487     0.055     28.14
              0.25     0.494      6.24     0.490     0.054     28.31
              0.26     0.498      6.10     0.493     0.053     28.51
              0.28     0.500      5.99     0.495     0.052     28.62
              0.29     0.502      6.14     0.498     0.054     28.77
              0.31     0.511      6.03     0.506     0.053     29.26
              0.34     0.514      6.06     0.509     0.054     29.43
              0.35     0.515      6.20     0.511     0.055     29.51
              0.39     0.525      6.23     0.520     0.057     30.06
              0.44     0.527      6.19     0.523     0.057     30.21
              0.48     0.533      6.00     0.529     0.056     30.53
              0.51     0.536      6.03     0.531     0.056     30.70
              0.61     0.547      6.17     0.543     0.059     31.35
              0.71     0.559      6.19     0.554     0.060     32.02
              0.81     0.567      6.33     0.562     0.062     32.51
              0.91     0.577      6.45     0.572     0.065     33.08
              1.01     0.587      6.44     0.582     0.066     33.66
              1.11     0.590      6.47     0.585     0.066     33.83
              1.21     0.597      6.48     0.592     0.067     34.21
              1.41     0.610      6.66     0.604     0.071     34.94
              1.61     0.619      6.84     0.613     0.074     35.50
              1.81     0.632      6.84     0.626     0.075     36.23
              2.01     0.639      7.04     0.633     0.078     36.66
              2.21     0.654      7.11     0.647     0.081     37.48
              2.71     0.672      7.57     0.665     0.088     38.52
              3.21     0.691      7.71     0.684     0.093     39.65
              3.71     0.710      7.94     0.702     0.098     40.70
              4.21     0.730      8.06     0.722     0.102     41.88
              4.71     0.743      8.32     0.734     0.107     42.60
              5.21     0.759      8.53     0.749     0.112     43.52
              5.71     0.778      8.72     0.768     0.118     44.65
              6.21     0.793      8.92     0.782     0.123     45.48
              6.71     0.807      9.03     0.796     0.126     46.32
              7.21     0.822      9.16     0.810     0.131     47.15
              7.71     0.835      9.39     0.822     0.136     47.89
              8.21     0.850      9.49     0.838     0.140     48.80
              8.71     0.860      9.62     0.847     0.143     49.35
              9.21     0.873      9.58     0.860     0.145     50.11
              9.71     0.885      9.62     0.872     0.148     50.82
             10.21     0.894      9.68     0.881     0.150     51.33
             11.21     0.915      9.79     0.901     0.155     52.52
             12.21     0.935      9.91     0.921     0.161     53.72
             13.21     0.952     10.15     0.937     0.168     54.70
             14.21     0.967     10.41     0.951     0.175     55.53
             15.21     0.982     10.57     0.965     0.180     56.39
             16.21     0.989     10.74     0.972     0.184     56.84
             18.21     0.997     10.93     0.978     0.189     57.26
             20.21     0.999     11.00     0.981     0.191     57.40
             22.21     0.999     10.97     0.981     0.190     57.41
             24.21     1.000     10.93     0.982     0.190     57.46
