##     BOUNDARY LAYER MEASUREMENT
#
#     MODEL: PROLATE SPHEROID 1:6, L =2.4 M
#     ARTIFICIAL TRANSITION AT X/2A = 0.2
#
#
# NOMENCLATURE:
# Z        DISTANCE FROM MODEL SURFACE (WALL NORMAL)
# UR       RESULTANT VELOCITY
# GAMMA    CROSS FLOW ANGLE
# U        LONGITUDINAL VELOCITY COMPONENT
# V        CIRCUMFERENTIAL VELOCITY COMPONENT
# URE      UR AT BOUNDARY LAYER EDGE
#
##     RUN: 124300                                        DATE:  6.10.  81
# 
#     MEASURING STATION:    X/2A= 0.64
# 
#     ANGLE OF INCIDENCE   ALPHA= 10.0 DEG.    CIRC. ANGLE  PHI= 144.8 DEG.
# 
#     FREE STREAM VELOCITY  UINF=  55.0 M/S       PATM=    98980.0 PA
# 
#     FREE STREAM TEMPERATURE TO= 313.8 K
# 
# 
#              Z      UR/URE     GAMMA     U/URE     V/URE      UR
#             (MM)      (-)      (DEG.)     (-)       (-)      (M/S)
              0.22     0.390     -1.22     0.388     -.008     21.46
              0.23     0.391     -1.19     0.389     -.008     21.49
              0.24     0.392     -1.17     0.391     -.008     21.59
              0.24     0.397     -1.18     0.395     -.008     21.84
              0.25     0.399     -1.10     0.398     -.008     21.99
              0.26     0.403     -1.06     0.401     -.007     22.18
              0.28     0.405     -1.09     0.404     -.008     22.32
              0.29     0.412     -1.21     0.410     -.009     22.66
              0.31     0.415     -1.27     0.414     -.009     22.85
              0.34     0.420     -1.34     0.418     -.010     23.10
              0.35     0.424     -1.27     0.423     -.009     23.37
              0.39     0.431     -1.24     0.430     -.009     23.75
              0.44     0.435     -1.22     0.434     -.009     23.97
              0.48     0.439     -1.33     0.438     -.010     24.20
              0.51     0.442     -1.37     0.440     -.011     24.33
              0.61     0.452     -1.28     0.451     -.010     24.92
              0.71     0.461     -1.24     0.459     -.010     25.38
              0.81     0.470     -1.20     0.469     -.010     25.90
              0.91     0.474     -1.15     0.473     -.010     26.11
              1.01     0.482     -1.07     0.481     -.009     26.57
              1.11     0.488     -0.99     0.486     -.008     26.88
              1.21     0.492     -1.02     0.491     -.009     27.10
              1.41     0.501     -0.93     0.500     -.008     27.60
              1.61     0.509     -0.73     0.508     -.006     28.07
              1.81     0.522     -0.53     0.520     -.005     28.74
              2.01     0.524     -0.42     0.523     -.004     28.89
              2.21     0.534     -0.28     0.533     -.003     29.44
              2.71     0.549      0.15     0.547     0.001     30.24
              3.21     0.566      0.46     0.564     0.005     31.18
              3.71     0.579      0.79     0.577     0.008     31.89
              4.21     0.592      1.21     0.591     0.012     32.65
              4.71     0.602      1.72     0.600     0.018     33.18
              5.21     0.617      2.06     0.615     0.022     33.99
              5.71     0.623      2.46     0.621     0.027     34.35
              6.21     0.638      2.82     0.636     0.031     35.20
              6.71     0.648      3.32     0.646     0.037     35.73
              7.21     0.660      3.60     0.657     0.041     36.39
              7.71     0.666      4.00     0.664     0.046     36.75
              8.21     0.679      4.40     0.675     0.052     37.42
              8.71     0.686      4.95     0.682     0.059     37.83
              9.21     0.702      5.25     0.698     0.064     38.74
              9.71     0.711      5.53     0.706     0.068     39.20
             10.21     0.718      5.96     0.713     0.074     39.60
             11.21     0.742      6.60     0.736     0.085     40.91
             12.21     0.756      7.30     0.749     0.096     41.72
             13.21     0.775      7.72     0.767     0.104     42.75
             14.21     0.793      8.17     0.784     0.113     43.77
             15.21     0.813      8.52     0.803     0.120     44.87
             16.21     0.830      8.94     0.819     0.129     45.79
             18.21     0.870      9.35     0.858     0.141     48.01
             20.21     0.899      9.72     0.885     0.152     49.62
             22.21     0.929      9.83     0.915     0.159     51.28
             24.21     0.957      9.83     0.942     0.163     52.83
             26.21     0.979      9.68     0.965     0.164     54.06
             28.21     0.988      9.55     0.974     0.164     54.57
             30.21     0.996      9.35     0.983     0.162     55.04
             35.21     0.999      9.13     0.987     0.158     55.20
             40.21     1.000      8.93     0.988     0.155     55.24
