##     BOUNDARY LAYER MEASUREMENT
#
#     MODEL: PROLATE SPHEROID 1:6, L =2.4 M
#     ARTIFICIAL TRANSITION AT X/2A = 0.2
#
#
# NOMENCLATURE:
# Z        DISTANCE FROM MODEL SURFACE (WALL NORMAL)
# UR       RESULTANT VELOCITY
# GAMMA    CROSS FLOW ANGLE
# U        LONGITUDINAL VELOCITY COMPONENT
# V        CIRCUMFERENTIAL VELOCITY COMPONENT
# URE      UR AT BOUNDARY LAYER EDGE
#
##     RUN: 400700                                        DATE: 23.08.1982
# 
#     MEASURING STATION:    X/2A= 0.48
# 
#     ANGLE OF INCIDENCE   ALPHA= 10.0 DEG.    CIRC. ANGLE  PHI= 120.0 DEG.
# 
#     FREE STREAM VELOCITY  UINF=  55.2 M/S       PATM=    99960.0 PA
# 
#     FREE STREAM TEMPERATURE TO= 309.1 K
# 
# 
#              Z      UR/URE     GAMMA     U/URE     V/URE      UR
#             (MM)      (-)      (DEG.)     (-)       (-)      (M/S)
              0.22     0.510     14.48     0.491     0.127     29.44
              0.23     0.514     14.48     0.496     0.128     29.70
              0.24     0.519     14.31     0.501     0.128     29.99
              0.25     0.526     13.85     0.509     0.125     30.39
              0.25     0.526     13.72     0.509     0.124     30.38
              0.27     0.528     13.63     0.511     0.124     30.51
              0.29     0.535     13.38     0.519     0.123     30.94
              0.30     0.539     13.26     0.523     0.123     31.16
              0.33     0.543     13.40     0.526     0.125     31.37
              0.34     0.549     13.24     0.532     0.125     31.73
              0.39     0.552     13.38     0.535     0.127     31.90
              0.43     0.560     13.18     0.543     0.127     32.35
              0.47     0.564     13.16     0.547     0.128     32.58
              0.50     0.569     13.04     0.552     0.128     32.90
              0.60     0.584     12.91     0.567     0.130     33.76
              0.70     0.597     12.74     0.581     0.131     34.54
              0.80     0.608     12.69     0.591     0.133     35.14
              0.90     0.614     12.75     0.597     0.135     35.52
              1.00     0.624     12.74     0.606     0.137     36.08
              1.10     0.631     12.67     0.614     0.138     36.51
              1.20     0.641     12.67     0.624     0.140     37.09
              1.40     0.656     12.66     0.638     0.143     37.97
              1.60     0.667     12.73     0.648     0.146     38.57
              1.80     0.681     12.59     0.663     0.148     39.41
              2.00     0.691     12.58     0.673     0.150     40.00
              2.20     0.701     12.60     0.682     0.152     40.54
              2.70     0.726     12.51     0.707     0.157     42.01
              3.20     0.749     12.52     0.729     0.162     43.34
              3.70     0.771     12.46     0.751     0.166     44.62
              4.20     0.792     12.46     0.771     0.170     45.83
              4.70     0.813     12.39     0.792     0.174     47.07
              5.20     0.829     12.48     0.807     0.179     47.99
              5.70     0.849     12.38     0.828     0.182     49.16
              6.20     0.862     12.48     0.840     0.186     49.93
              6.70     0.880     12.38     0.858     0.188     50.95
              7.20     0.892     12.46     0.869     0.192     51.66
              7.70     0.910     12.43     0.887     0.195     52.71
              8.20     0.924     12.46     0.901     0.199     53.52
              8.70     0.932     12.66     0.909     0.204     54.08
              9.20     0.949     12.55     0.926     0.206     55.06
              9.70     0.956     12.72     0.932     0.211     55.46
             10.20     0.966     12.70     0.943     0.212     56.07
             11.20     0.980     12.87     0.955     0.218     56.86
             12.20     0.990     13.06     0.965     0.224     57.47
             13.20     0.997     13.50     0.970     0.233     57.86
             14.20     1.000     14.10     0.970     0.244     58.03
