##     BOUNDARY LAYER MEASUREMENT
#
#     MODEL: PROLATE SPHEROID 1:6, L =2.4 M
#     ARTIFICIAL TRANSITION AT X/2A = 0.2
#
#
# NOMENCLATURE:
# Z        DISTANCE FROM MODEL SURFACE (WALL NORMAL)
# UR       RESULTANT VELOCITY
# GAMMA    CROSS FLOW ANGLE
# U        LONGITUDINAL VELOCITY COMPONENT
# V        CIRCUMFERENTIAL VELOCITY COMPONENT
# URE      UR AT BOUNDARY LAYER EDGE
#
##     RUN: 400600                                        DATE: 23.08.1982
# 
#     MEASURING STATION:    X/2A= 0.48
# 
#     ANGLE OF INCIDENCE   ALPHA= 10.0 DEG.    CIRC. ANGLE  PHI= 105.0 DEG.
# 
#     FREE STREAM VELOCITY  UINF=  55.4 M/S       PATM=    99960.0 PA
# 
#     FREE STREAM TEMPERATURE TO= 307.9 K
# 
# 
#              Z      UR/URE     GAMMA     U/URE     V/URE      UR
#             (MM)      (-)      (DEG.)     (-)       (-)      (M/S)
              0.22     0.535     17.87     0.508     0.164     31.19
              0.23     0.537     17.71     0.510     0.163     31.32
              0.24     0.536     17.76     0.509     0.163     31.25
              0.24     0.534     17.88     0.506     0.163     31.10
              0.25     0.533     17.99     0.506     0.164     31.08
              0.26     0.536     17.89     0.508     0.164     31.24
              0.28     0.536     17.84     0.508     0.164     31.22
              0.29     0.534     17.96     0.506     0.164     31.10
              0.31     0.544     17.39     0.517     0.162     31.69
              0.34     0.550     17.03     0.524     0.161     32.07
              0.35     0.558     16.67     0.533     0.160     32.52
              0.39     0.567     16.28     0.542     0.158     33.04
              0.44     0.574     16.12     0.549     0.159     33.44
              0.48     0.582     16.02     0.558     0.160     33.93
              0.51     0.589     15.90     0.565     0.161     34.33
              0.61     0.604     15.65     0.580     0.163     35.25
              0.71     0.618     15.44     0.594     0.164     36.04
              0.81     0.631     15.25     0.608     0.166     36.84
              0.91     0.642     15.09     0.619     0.167     37.46
              1.01     0.649     15.12     0.625     0.169     37.86
              1.11     0.662     14.90     0.638     0.170     38.63
              1.21     0.668     15.03     0.644     0.173     39.00
              1.41     0.687     14.77     0.663     0.175     40.11
              1.61     0.700     14.73     0.676     0.178     40.87
              1.81     0.714     14.61     0.689     0.180     41.67
              2.01     0.728     14.50     0.704     0.182     42.50
              2.21     0.739     14.50     0.714     0.185     43.13
              2.71     0.767     14.26     0.742     0.189     44.75
              3.21     0.790     14.21     0.764     0.194     46.11
              3.71     0.814     14.15     0.788     0.199     47.55
              4.21     0.838     14.14     0.811     0.204     48.93
              4.71     0.857     14.07     0.830     0.208     50.07
              5.21     0.872     14.12     0.845     0.213     50.97
              5.71     0.894     13.99     0.866     0.216     52.21
              6.21     0.908     14.11     0.880     0.221     53.08
              6.71     0.926     14.05     0.898     0.225     54.13
              7.21     0.940     14.12     0.911     0.229     54.92
              7.71     0.951     14.23     0.921     0.234     55.56
              8.21     0.966     14.17     0.936     0.236     56.46
              8.71     0.973     14.30     0.942     0.240     56.87
              9.21     0.984     14.31     0.953     0.243     57.52
              9.71     0.988     14.46     0.956     0.247     57.74
             10.21     0.993     14.54     0.961     0.249     58.05
             11.21     0.997     14.50     0.965     0.250     58.31
             12.21     0.998     15.11     0.963     0.260     58.35
             13.21     0.998     15.85     0.960     0.273     58.37
             14.21     0.999     16.43     0.958     0.282     58.41
             15.21     1.000     16.42     0.959     0.283     58.48
