##     BOUNDARY LAYER MEASUREMENT
#
#     MODEL: PROLATE SPHEROID 1:6, L =2.4 M
#     ARTIFICIAL TRANSITION AT X/2A = 0.2
#
#
# NOMENCLATURE:
# Z        DISTANCE FROM MODEL SURFACE (WALL NORMAL)
# UR       RESULTANT VELOCITY
# GAMMA    CROSS FLOW ANGLE
# U        LONGITUDINAL VELOCITY COMPONENT
# V        CIRCUMFERENTIAL VELOCITY COMPONENT
# URE      UR AT BOUNDARY LAYER EDGE
#
##     RUN: 124200                                        DATE:  6.10.  81
# 
#     MEASURING STATION:    X/2A= 0.64
# 
#     ANGLE OF INCIDENCE   ALPHA= 10.0 DEG.    CIRC. ANGLE  PHI= 142.4 DEG.
# 
#     FREE STREAM VELOCITY  UINF=  55.0 M/S       PATM=    99000.0 PA
# 
#     FREE STREAM TEMPERATURE TO= 313.3 K
# 
# 
#              Z      UR/URE     GAMMA     U/URE     V/URE      UR
#             (MM)      (-)      (DEG.)     (-)       (-)      (M/S)
              0.22     0.396      0.06     0.395     0.000     21.73
              0.23     0.400      0.00     0.399     0.000     21.95
              0.24     0.401     -0.04     0.400     -.000     21.99
              0.25     0.408     -0.02     0.407     -.000     22.38
              0.26     0.408     -0.09     0.407     -.001     22.39
              0.28     0.415     -0.19     0.414     -.001     22.77
              0.29     0.419     -0.15     0.417     -.001     22.95
              0.32     0.423     -0.18     0.422     -.001     23.19
              0.34     0.426     -0.25     0.425     -.002     23.39
              0.38     0.433     -0.32     0.432     -.002     23.74
              0.42     0.438     -0.24     0.437     -.002     24.03
              0.46     0.443     -0.16     0.442     -.001     24.32
              0.49     0.448     -0.19     0.447     -.001     24.58
              0.59     0.456     -0.18     0.454     -.001     24.99
              0.69     0.462     -0.12     0.460     -.001     25.33
              0.79     0.472     -0.03     0.471     -.000     25.88
              0.89     0.479      0.11     0.477     0.001     26.25
              0.99     0.486      0.18     0.484     0.002     26.64
              1.09     0.491      0.18     0.490     0.001     26.93
              1.19     0.495      0.18     0.494     0.002     27.18
              1.39     0.506      0.30     0.505     0.003     27.78
              1.59     0.513      0.46     0.512     0.004     28.17
              1.79     0.523      0.62     0.521     0.006     28.68
              1.99     0.531      0.70     0.530     0.006     29.15
              2.19     0.537      0.88     0.536     0.008     29.46
              2.69     0.555      1.30     0.554     0.013     30.48
              3.19     0.571      1.79     0.570     0.018     31.35
              3.69     0.586      2.11     0.584     0.022     32.16
              4.19     0.596      2.51     0.595     0.026     32.74
              4.69     0.610      2.84     0.608     0.030     33.48
              5.19     0.621      3.33     0.619     0.036     34.11
              5.69     0.634      3.84     0.631     0.042     34.79
              6.19     0.648      4.28     0.645     0.048     35.59
              6.69     0.659      4.60     0.655     0.053     36.16
              7.19     0.668      4.98     0.664     0.058     36.68
              7.69     0.683      5.38     0.679     0.064     37.49
              8.19     0.693      5.67     0.688     0.068     38.04
              8.69     0.700      6.02     0.695     0.073     38.47
              9.19     0.715      6.33     0.709     0.079     39.25
              9.69     0.724      6.88     0.718     0.087     39.77
             10.19     0.736      7.15     0.729     0.091     40.42
             11.19     0.754      7.78     0.746     0.102     41.43
             12.19     0.775      8.27     0.766     0.111     42.56
             13.19     0.796      8.66     0.786     0.120     43.74
             14.19     0.815      9.01     0.804     0.128     44.79
             15.19     0.835      9.28     0.823     0.134     45.87
             16.19     0.853      9.57     0.841     0.142     46.89
             18.19     0.891      9.84     0.878     0.152     49.01
             20.19     0.921     10.00     0.907     0.160     50.65
             22.19     0.946     10.12     0.931     0.166     52.04
             24.19     0.974     10.05     0.959     0.170     53.56
             26.19     0.990     10.00     0.975     0.172     54.46
             28.19     1.000      9.78     0.985     0.170     55.01
