##     BOUNDARY LAYER MEASUREMENT
#
#     MODEL: PROLATE SPHEROID 1:6, L =2.4 M
#     ARTIFICIAL TRANSITION AT X/2A = 0.2
#
#
# NOMENCLATURE:
# Z        DISTANCE FROM MODEL SURFACE (WALL NORMAL)
# UR       RESULTANT VELOCITY
# GAMMA    CROSS FLOW ANGLE
# U        LONGITUDINAL VELOCITY COMPONENT
# V        CIRCUMFERENTIAL VELOCITY COMPONENT
# URE      UR AT BOUNDARY LAYER EDGE
#
##     RUN: 125600                                        DATE:  6.10.  81
# 
#     MEASURING STATION:    X/2A= 0.73
# 
#     ANGLE OF INCIDENCE   ALPHA=  9.9 DEG.    CIRC. ANGLE  PHI= 104.8 DEG.
# 
#     FREE STREAM VELOCITY  UINF=  55.0 M/S       PATM=    99980.0 PA
# 
#     FREE STREAM TEMPERATURE TO= 309.4 K
# 
# 
#              Z      UR/URE     GAMMA     U/URE     V/URE      UR
#             (MM)      (-)      (DEG.)     (-)       (-)      (M/S)
              0.22     0.470     14.50     0.452     0.117     25.47
              0.23     0.473     14.33     0.456     0.116     25.65
              0.24     0.477     14.19     0.460     0.116     25.87
              0.24     0.481     14.14     0.463     0.117     26.08
              0.25     0.481     14.30     0.463     0.118     26.08
              0.26     0.482     14.24     0.465     0.118     26.15
              0.28     0.482     14.26     0.465     0.118     26.16
              0.29     0.483     14.13     0.466     0.117     26.20
              0.31     0.482     14.24     0.465     0.118     26.17
              0.34     0.490     13.87     0.473     0.117     26.59
              0.35     0.496     13.77     0.479     0.117     26.91
              0.39     0.508     13.63     0.491     0.119     27.58
              0.44     0.516     13.69     0.499     0.122     28.01
              0.48     0.523     13.60     0.506     0.122     28.38
              0.51     0.529     13.50     0.512     0.123     28.73
              0.61     0.544     13.35     0.527     0.125     29.53
              0.71     0.554     13.33     0.537     0.127     30.12
              0.81     0.567     13.28     0.550     0.130     30.82
              0.91     0.579     13.29     0.561     0.132     31.44
              1.01     0.587     13.35     0.568     0.135     31.87
              1.11     0.595     13.30     0.577     0.136     32.35
              1.21     0.602     13.36     0.584     0.139     32.72
              1.41     0.617     13.38     0.598     0.142     33.53
              1.61     0.630     13.41     0.611     0.146     34.27
              1.81     0.642     13.48     0.622     0.149     34.92
              2.01     0.653     13.60     0.633     0.153     35.53
              2.21     0.664     13.69     0.644     0.157     36.15
              2.71     0.689     13.90     0.667     0.165     37.51
              3.21     0.711     14.01     0.688     0.172     38.71
              3.71     0.730     14.17     0.706     0.178     39.73
              4.21     0.750     14.24     0.725     0.184     40.82
              4.71     0.767     14.39     0.742     0.190     41.78
              5.21     0.785     14.47     0.759     0.196     42.75
              5.71     0.802     14.54     0.775     0.201     43.66
              6.21     0.816     14.57     0.789     0.205     44.47
              6.71     0.831     14.67     0.802     0.210     45.24
              7.21     0.846     14.70     0.817     0.214     46.08
              7.71     0.858     14.80     0.828     0.219     46.72
              8.21     0.871     14.82     0.841     0.222     47.44
              8.71     0.884     14.86     0.854     0.226     48.18
              9.21     0.896     14.93     0.865     0.231     48.83
              9.71     0.907     14.95     0.875     0.234     49.43
             10.21     0.917     14.95     0.886     0.237     50.01
             11.21     0.937     15.01     0.905     0.242     51.09
             12.21     0.956     15.02     0.923     0.248     52.12
             13.21     0.971     15.04     0.937     0.252     52.94
             14.21     0.981     15.06     0.947     0.255     53.51
             15.21     0.989     15.06     0.955     0.257     53.97
             16.21     0.996     15.03     0.962     0.258     54.33
             18.21     1.000     15.03     0.966     0.259     54.56
