##     BOUNDARY LAYER MEASUREMENT
#
#     MODEL: PROLATE SPHEROID 1:6, L =2.4 M
#     ARTIFICIAL TRANSITION AT X/2A = 0.2
#
#
# NOMENCLATURE:
# Z        DISTANCE FROM MODEL SURFACE (WALL NORMAL)
# UR       RESULTANT VELOCITY
# GAMMA    CROSS FLOW ANGLE
# U        LONGITUDINAL VELOCITY COMPONENT
# V        CIRCUMFERENTIAL VELOCITY COMPONENT
# URE      UR AT BOUNDARY LAYER EDGE
#
##     RUN: 401400                                        DATE: 23.08.1982
# 
#     MEASURING STATION:    X/2A= 0.48
# 
#     ANGLE OF INCIDENCE   ALPHA= 10.0 DEG.    CIRC. ANGLE  PHI= 165.0 DEG.
# 
#     FREE STREAM VELOCITY  UINF=  55.5 M/S       PATM=    99930.0 PA
# 
#     FREE STREAM TEMPERATURE TO= 312.8 K
# 
# 
#              Z      UR/URE     GAMMA     U/URE     V/URE      UR
#             (MM)      (-)      (DEG.)     (-)       (-)      (M/S)
              0.22     0.499      0.38     0.498     0.003     28.29
              0.23     0.501      0.42     0.500     0.004     28.40
              0.24     0.500      0.40     0.498     0.004     28.30
              0.25     0.502      0.29     0.500     0.003     28.43
              0.25     0.507      0.21     0.506     0.002     28.75
              0.26     0.510      0.16     0.509     0.001     28.91
              0.28     0.514      0.16     0.513     0.001     29.14
              0.30     0.518      0.23     0.516     0.002     29.33
              0.31     0.523      0.24     0.522     0.002     29.66
              0.34     0.527      0.25     0.525     0.002     29.84
              0.35     0.532      0.22     0.531     0.002     30.18
              0.39     0.537      0.28     0.536     0.003     30.43
              0.44     0.543      0.25     0.541     0.002     30.75
              0.48     0.549      0.32     0.548     0.003     31.11
              0.51     0.558      0.31     0.556     0.003     31.60
              0.61     0.566      0.34     0.565     0.003     32.11
              0.71     0.579      0.31     0.577     0.003     32.80
              0.81     0.588      0.35     0.587     0.004     33.35
              0.91     0.594      0.42     0.592     0.004     33.65
              1.01     0.601      0.49     0.599     0.005     34.06
              1.11     0.607      0.56     0.606     0.006     34.43
              1.21     0.617      0.57     0.616     0.006     34.99
              1.41     0.629      0.56     0.627     0.006     35.64
              1.61     0.639      0.63     0.638     0.007     36.25
              1.81     0.653      0.74     0.651     0.008     37.01
              2.01     0.660      0.84     0.659     0.010     37.42
              2.21     0.668      0.95     0.667     0.011     37.89
              2.71     0.689      1.17     0.688     0.014     39.10
              3.21     0.712      1.31     0.710     0.016     40.37
              3.71     0.728      1.42     0.727     0.018     41.32
              4.21     0.745      1.64     0.744     0.021     42.28
              5.21     0.776      1.99     0.774     0.027     44.02
              5.71     0.789      2.18     0.787     0.030     44.75
              6.21     0.801      2.30     0.800     0.032     45.46
              6.71     0.818      2.44     0.816     0.035     46.41
              7.21     0.830      2.59     0.828     0.037     47.10
              7.71     0.841      2.75     0.840     0.040     47.75
              8.21     0.852      2.93     0.850     0.043     48.38
              8.71     0.862      3.10     0.860     0.047     48.90
              9.21     0.873      3.29     0.871     0.050     49.55
              9.71     0.886      3.38     0.884     0.052     50.28
             10.21     0.893      3.52     0.890     0.055     50.67
             11.21     0.912      3.72     0.909     0.059     51.76
             12.21     0.927      4.00     0.925     0.065     52.66
             13.21     0.941      4.22     0.938     0.069     53.44
             14.21     0.958      4.24     0.955     0.071     54.39
             15.21     0.965      4.29     0.962     0.072     54.80
             16.21     0.976      4.23     0.973     0.072     55.41
             18.21     0.990      4.08     0.988     0.071     56.25
             20.21     0.996      3.99     0.994     0.069     56.60
             22.21     0.997      4.08     0.995     0.071     56.66
             24.21     1.000      4.04     0.998     0.070     56.81
