##     BOUNDARY LAYER MEASUREMENT
#
#     MODEL: PROLATE SPHEROID 1:6, L =2.4 M
#     ARTIFICIAL TRANSITION AT X/2A = 0.2
#
#
# NOMENCLATURE:
# Z        DISTANCE FROM MODEL SURFACE (WALL NORMAL)
# UR       RESULTANT VELOCITY
# GAMMA    CROSS FLOW ANGLE
# U        LONGITUDINAL VELOCITY COMPONENT
# V        CIRCUMFERENTIAL VELOCITY COMPONENT
# URE      UR AT BOUNDARY LAYER EDGE
#
##     RUN: 401300                                        DATE: 23.08.1982
# 
#     MEASURING STATION:    X/2A= 0.48
# 
#     ANGLE OF INCIDENCE   ALPHA= 10.0 DEG.    CIRC. ANGLE  PHI= 160.0 DEG.
# 
#     FREE STREAM VELOCITY  UINF=  55.5 M/S       PATM=    99900.0 PA
# 
#     FREE STREAM TEMPERATURE TO= 311.5 K
# 
# 
#              Z      UR/URE     GAMMA     U/URE     V/URE      UR
#             (MM)      (-)      (DEG.)     (-)       (-)      (M/S)
              0.22     0.493      1.13     0.492     0.010     27.95
              0.23     0.497      1.02     0.496     0.009     28.17
              0.24     0.497      0.94     0.495     0.008     28.16
              0.24     0.502      0.85     0.501     0.007     28.45
              0.25     0.507      0.78     0.505     0.007     28.70
              0.27     0.507      0.84     0.505     0.007     28.72
              0.28     0.511      0.86     0.509     0.008     28.94
              0.29     0.517      0.83     0.515     0.007     29.29
              0.32     0.520      0.80     0.518     0.007     29.45
              0.34     0.523      0.86     0.522     0.008     29.64
              0.35     0.528      0.90     0.527     0.008     29.93
              0.39     0.535      0.99     0.533     0.009     30.30
              0.44     0.538      0.90     0.537     0.008     30.49
              0.48     0.545      0.85     0.544     0.008     30.90
              0.52     0.550      0.93     0.549     0.009     31.18
              0.62     0.561      1.07     0.560     0.010     31.81
              0.72     0.571      1.15     0.569     0.011     32.34
              0.82     0.581      1.12     0.579     0.011     32.90
              0.92     0.589      1.13     0.587     0.012     33.37
              1.02     0.595      1.12     0.593     0.012     33.72
              1.12     0.606      1.15     0.604     0.012     34.33
              1.22     0.611      1.25     0.609     0.013     34.63
              1.42     0.622      1.40     0.621     0.015     35.29
              1.62     0.634      1.45     0.632     0.016     35.94
              1.82     0.644      1.54     0.642     0.017     36.50
              2.02     0.655      1.65     0.653     0.019     37.13
              2.22     0.663      1.70     0.661     0.020     37.59
              2.72     0.686      1.87     0.684     0.022     38.90
              3.22     0.702      2.11     0.701     0.026     39.84
              3.72     0.722      2.42     0.720     0.030     40.93
              4.22     0.740      2.66     0.738     0.034     41.99
              4.72     0.753      2.86     0.751     0.038     42.73
              5.22     0.770      3.00     0.768     0.040     43.71
              5.72     0.784      3.27     0.782     0.045     44.51
              6.22     0.799      3.51     0.796     0.049     45.34
              6.72     0.812      3.66     0.809     0.052     46.06
              7.22     0.823      3.83     0.820     0.055     46.69
              7.72     0.834      4.03     0.831     0.059     47.32
              8.22     0.850      4.20     0.847     0.062     48.25
              8.72     0.858      4.32     0.854     0.065     48.68
              9.22     0.870      4.45     0.867     0.068     49.41
              9.72     0.880      4.72     0.876     0.072     49.95
             10.22     0.890      4.91     0.886     0.076     50.56
             11.22     0.913      5.17     0.909     0.082     51.84
             12.22     0.927      5.39     0.922     0.087     52.63
             13.22     0.943      5.51     0.938     0.091     53.54
             14.22     0.959      5.57     0.955     0.093     54.49
             15.22     0.970      5.73     0.965     0.097     55.10
             16.22     0.981      5.71     0.976     0.098     55.72
             18.22     0.994      5.56     0.989     0.096     56.46
             20.22     1.000      5.45     0.995     0.095     56.82
