##     BOUNDARY LAYER MEASUREMENT
#
#     MODEL: PROLATE SPHEROID 1:6, L =2.4 M
#     ARTIFICIAL TRANSITION AT X/2A = 0.2
#
#
# NOMENCLATURE:
# Z        DISTANCE FROM MODEL SURFACE (WALL NORMAL)
# UR       RESULTANT VELOCITY
# GAMMA    CROSS FLOW ANGLE
# U        LONGITUDINAL VELOCITY COMPONENT
# V        CIRCUMFERENTIAL VELOCITY COMPONENT
# URE      UR AT BOUNDARY LAYER EDGE
#
##     RUN: 125500                                        DATE:  6.10.  81
# 
#     MEASURING STATION:    X/2A= 0.73
# 
#     ANGLE OF INCIDENCE   ALPHA=  9.9 DEG.    CIRC. ANGLE  PHI=  89.6 DEG.
# 
#     FREE STREAM VELOCITY  UINF=  55.0 M/S       PATM=    99900.0 PA
# 
#     FREE STREAM TEMPERATURE TO= 310.9 K
# 
# 
#              Z      UR/URE     GAMMA     U/URE     V/URE      UR
#             (MM)      (-)      (DEG.)     (-)       (-)      (M/S)
              0.22     0.498     17.81     0.472     0.152     27.36
              0.23     0.500     17.81     0.474     0.152     27.49
              0.24     0.505     17.67     0.479     0.153     27.75
              0.24     0.511     17.44     0.485     0.153     28.08
              0.25     0.515     17.27     0.490     0.152     28.31
              0.26     0.519     17.05     0.495     0.152     28.55
              0.28     0.520     17.08     0.495     0.152     28.60
              0.29     0.522     16.98     0.498     0.152     28.73
              0.31     0.522     17.01     0.497     0.152     28.71
              0.34     0.528     16.82     0.503     0.152     29.03
              0.35     0.529     16.95     0.504     0.154     29.08
              0.39     0.541     16.76     0.516     0.155     29.74
              0.44     0.549     16.66     0.524     0.157     30.18
              0.48     0.557     16.49     0.532     0.158     30.65
              0.51     0.564     16.37     0.539     0.158     31.02
              0.61     0.581     16.10     0.557     0.161     31.97
              0.71     0.594     15.98     0.569     0.163     32.66
              0.81     0.605     15.91     0.580     0.165     33.32
              0.91     0.617     15.84     0.592     0.168     33.98
              1.01     0.627     15.81     0.602     0.171     34.54
              1.11     0.637     15.76     0.611     0.173     35.06
              1.21     0.645     15.73     0.620     0.174     35.53
              1.41     0.661     15.63     0.635     0.178     36.37
              1.61     0.673     15.64     0.647     0.181     37.07
              1.81     0.688     15.57     0.661     0.184     37.88
              2.01     0.700     15.61     0.672     0.188     38.54
              2.21     0.712     15.60     0.684     0.191     39.20
              2.71     0.738     15.61     0.710     0.198     40.67
              3.21     0.761     15.56     0.732     0.204     41.93
              3.71     0.781     15.57     0.751     0.209     43.04
              4.21     0.802     15.53     0.772     0.214     44.21
              4.71     0.822     15.52     0.791     0.220     45.30
              5.21     0.838     15.50     0.806     0.224     46.18
              5.71     0.855     15.46     0.823     0.228     47.11
              6.21     0.870     15.44     0.837     0.231     47.95
              6.71     0.883     15.46     0.850     0.235     48.68
              7.21     0.898     15.40     0.865     0.238     49.51
              7.71     0.911     15.38     0.878     0.241     50.25
              8.21     0.923     15.35     0.889     0.244     50.89
              8.71     0.933     15.34     0.899     0.247     51.45
              9.21     0.944     15.31     0.910     0.249     52.11
              9.71     0.954     15.31     0.920     0.252     52.66
             10.21     0.963     15.30     0.929     0.254     53.14
             11.21     0.977     15.33     0.942     0.258     53.91
             12.21     0.988     15.36     0.953     0.262     54.55
             13.21     0.995     15.45     0.959     0.265     54.93
             14.21     1.000     15.46     0.964     0.267     55.20
