##     BOUNDARY LAYER MEASUREMENT
#
#     MODEL: PROLATE SPHEROID 1:6, L =2.4 M
#     ARTIFICIAL TRANSITION AT X/2A = 0.2
#
#
# NOMENCLATURE:
# Z        DISTANCE FROM MODEL SURFACE (WALL NORMAL)
# UR       RESULTANT VELOCITY
# GAMMA    CROSS FLOW ANGLE
# U        LONGITUDINAL VELOCITY COMPONENT
# V        CIRCUMFERENTIAL VELOCITY COMPONENT
# URE      UR AT BOUNDARY LAYER EDGE
#
##     RUN: 126100                                        DATE:  6.10.  81
# 
#     MEASURING STATION:    X/2A= 0.73
# 
#     ANGLE OF INCIDENCE   ALPHA=  9.9 DEG.    CIRC. ANGLE  PHI= 140.0 DEG.
# 
#     FREE STREAM VELOCITY  UINF=  55.0 M/S       PATM=    99989.9 PA
# 
#     FREE STREAM TEMPERATURE TO= 313.9 K
# 
# 
#              Z      UR/URE     GAMMA     U/URE     V/URE      UR
#             (MM)      (-)      (DEG.)     (-)       (-)      (M/S)
              0.22     0.335     -5.65     0.332     -.033     18.17
              0.23     0.338     -5.66     0.335     -.033     18.32
              0.24     0.341     -5.64     0.338     -.033     18.47
              0.24     0.343     -5.54     0.340     -.033     18.61
              0.25     0.347     -5.52     0.344     -.033     18.79
              0.26     0.350     -5.44     0.347     -.033     18.96
              0.28     0.354     -5.32     0.352     -.033     19.21
              0.29     0.359     -5.33     0.356     -.033     19.46
              0.31     0.363     -5.26     0.361     -.033     19.70
              0.34     0.366     -5.23     0.364     -.033     19.86
              0.35     0.371     -5.13     0.368     -.033     20.10
              0.39     0.375     -5.16     0.372     -.034     20.32
              0.44     0.383     -5.05     0.381     -.034     20.79
              0.48     0.388     -5.01     0.385     -.034     21.04
              0.51     0.390     -5.04     0.387     -.034     21.13
              0.61     0.399     -4.92     0.397     -.034     21.65
              0.71     0.410     -4.77     0.407     -.034     22.23
              0.81     0.416     -4.73     0.413     -.034     22.54
              0.91     0.421     -4.70     0.418     -.034     22.83
              1.01     0.426     -4.66     0.423     -.035     23.11
              1.11     0.432     -4.60     0.429     -.035     23.41
              1.21     0.436     -4.63     0.433     -.035     23.64
              1.41     0.447     -4.48     0.444     -.035     24.24
              1.61     0.456     -4.26     0.453     -.034     24.72
              1.81     0.462     -4.10     0.459     -.033     25.06
              2.01     0.469     -3.94     0.467     -.032     25.44
              2.21     0.473     -3.83     0.471     -.032     25.67
              2.71     0.491     -3.43     0.489     -.029     26.65
              3.21     0.503     -3.03     0.501     -.026     27.30
              3.71     0.517     -2.61     0.515     -.023     28.06
              4.21     0.528     -2.28     0.526     -.021     28.66
              4.71     0.538     -1.81     0.536     -.017     29.17
              5.21     0.551     -1.27     0.550     -.012     29.90
              5.71     0.559     -0.83     0.558     -.008     30.34
              6.21     0.570     -0.38     0.568     -.004     30.92
              6.71     0.579      0.04     0.578     0.000     31.42
              7.21     0.585      0.48     0.584     0.005     31.77
              7.71     0.597      0.84     0.595     0.009     32.38
              8.21     0.603      1.33     0.601     0.014     32.73
              8.71     0.614      1.76     0.612     0.019     33.31
              9.21     0.623      2.35     0.621     0.025     33.82
              9.71     0.634      2.72     0.632     0.030     34.42
             10.21     0.639      3.18     0.637     0.035     34.71
             11.21     0.660      3.97     0.657     0.046     35.83
             12.21     0.676      4.83     0.673     0.057     36.72
             13.21     0.693      5.76     0.689     0.070     37.65
             14.21     0.715      6.51     0.709     0.081     38.84
             15.21     0.731      7.26     0.724     0.092     39.73
             16.21     0.750      7.88     0.742     0.103     40.74
             18.21     0.785      9.24     0.774     0.126     42.63
             20.21     0.825     10.10     0.812     0.145     44.85
             22.21     0.853     11.05     0.837     0.163     46.39
             24.21     0.887     11.58     0.869     0.178     48.23
             26.21     0.915     12.04     0.894     0.191     49.72
             28.21     0.942     12.19     0.920     0.199     51.22
             30.21     0.961     12.30     0.938     0.205     52.24
             35.21     0.994     12.09     0.972     0.208     54.05
             40.21     1.000     11.86     0.979     0.206     54.40
