##     BOUNDARY LAYER MEASUREMENT
#
#     MODEL: PROLATE SPHEROID 1:6, L =2.4 M
#     ARTIFICIAL TRANSITION AT X/2A = 0.2
#
#
# NOMENCLATURE:
# Z        DISTANCE FROM MODEL SURFACE (WALL NORMAL)
# UR       RESULTANT VELOCITY
# GAMMA    CROSS FLOW ANGLE
# U        LONGITUDINAL VELOCITY COMPONENT
# V        CIRCUMFERENTIAL VELOCITY COMPONENT
# URE      UR AT BOUNDARY LAYER EDGE
#
##     RUN: 123400                                        DATE:  6.10.  81
# 
#     MEASURING STATION:    X/2A= 0.64
# 
#     ANGLE OF INCIDENCE   ALPHA= 10.0 DEG.    CIRC. ANGLE  PHI=  29.6 DEG.
# 
#     FREE STREAM VELOCITY  UINF=  55.0 M/S       PATM=    98930.0 PA
# 
#     FREE STREAM TEMPERATURE TO= 308.6 K
# 
# 
#              Z      UR/URE     GAMMA     U/URE     V/URE      UR
#             (MM)      (-)      (DEG.)     (-)       (-)      (M/S)
              0.22     0.587     12.46     0.571     0.126     32.69
              0.23     0.587     12.46     0.571     0.126     32.72
              0.24     0.586     12.51     0.570     0.126     32.65
              0.24     0.585     12.54     0.569     0.127     32.63
              0.25     0.584     12.58     0.568     0.127     32.54
              0.27     0.587     12.42     0.571     0.126     32.71
              0.28     0.586     12.43     0.570     0.126     32.67
              0.29     0.592     12.30     0.577     0.126     33.02
              0.32     0.599     12.17     0.584     0.126     33.43
              0.34     0.608     11.82     0.594     0.124     33.93
              0.35     0.614     11.60     0.599     0.123     34.23
              0.39     0.626     11.14     0.612     0.121     34.93
              0.44     0.635     10.98     0.622     0.121     35.44
              0.48     0.644     10.83     0.630     0.121     35.92
              0.52     0.652     10.70     0.639     0.121     36.40
              0.62     0.668     10.52     0.655     0.122     37.28
              0.72     0.682     10.35     0.669     0.122     38.08
              0.82     0.692     10.22     0.679     0.123     38.62
              0.92     0.702     10.16     0.689     0.124     39.18
              1.02     0.715     10.10     0.702     0.125     39.92
              1.12     0.729     10.03     0.716     0.127     40.70
              1.22     0.740      9.97     0.727     0.128     41.31
              1.42     0.756      9.98     0.743     0.131     42.20
              1.62     0.772      9.97     0.759     0.133     43.10
              1.82     0.786      9.94     0.773     0.136     43.93
              2.02     0.799      9.88     0.786     0.137     44.62
              2.22     0.810      9.82     0.797     0.138     45.27
              2.72     0.836      9.76     0.823     0.142     46.72
              3.22     0.862      9.63     0.849     0.144     48.17
              3.72     0.883      9.61     0.869     0.147     49.34
              4.22     0.902      9.63     0.888     0.151     50.42
              4.72     0.922      9.54     0.908     0.153     51.53
              5.22     0.936      9.54     0.923     0.155     52.35
              5.72     0.951      9.52     0.937     0.157     53.18
              6.22     0.966      9.51     0.952     0.159     54.00
              6.72     0.975      9.53     0.961     0.161     54.51
              7.22     0.983      9.49     0.969     0.162     54.99
              7.72     0.990      9.47     0.976     0.163     55.39
              8.22     0.995      9.48     0.981     0.164     55.65
              8.72     0.998      9.48     0.984     0.164     55.84
              9.22     0.999      9.48     0.985     0.164     55.88
              9.72     1.000      9.49     0.986     0.165     55.95
