## NOMENCLATURE:
# PHI      CIRCUMFERENTIAL MODEL ANGLE
# CF       WALL SHEAR STRESS COEFFICIENT (= LOCAL WALL SHEAR STRESS
#                           NORMALIZED WITH FREE STREAM DYNAMIC PRESSURE)
# GAMMA    WALL SHEAR STRESS ANGLE
# 
# 
##                D F V L R   RESEARCH CENTER   A V A   GOETTINGEN
# 
#            WALL SHEAR STRESS MEASUREMENTS ON A 1:6 PROLATE SPHEROID
# 
#    3MX3M LOW SPEED WIND TUNNEL       ARTIFICIAL TRANSITION AT X0/2A= 0.2
# 
#    RUN: 0   3 5                             INCIDENCE  ALPHA= 10.0 DEG.
# 
#    VELOCITY  UINF= 55.0 M/S                 REYNOLDS N0.  RE= 0.770E+07
# 
#    MEASURING STATION:    NO.  9  ,  X0/2A= 0.738
# 
#   PHI     CF    GAMMA
#  (DEG)    --    (DEG)
   -4.8  0.00404  -2.4    
   -2.4  0.00405  -1.3    
    0.0  0.00410  -0.7    
    2.4  0.00409   0.4    
    4.8  0.00411   1.0    
    7.2  0.00413   1.7    
    9.6  0.00415   2.7    
   12.0  0.00416   3.7    
   14.4  0.00418   4.4    
   14.4  0.00420   4.6    
   16.8  0.00418   5.3    
   19.2  0.00423   6.4    
   21.6  0.00420   6.9    
   24.0  0.00422   7.8    
   26.4  0.00424   8.6    
   28.8  0.00423   9.1    
   31.2  0.00425  10.1    
   33.6  0.00427  10.4    
   36.0  0.00424  11.1    
   38.4  0.00426  11.4    
   40.8  0.00422  12.1    
   43.2  0.00420  12.8    
   45.6  0.00420  13.3    
   48.0  0.00419  13.9    
   50.4  0.00417  14.0    
   52.8  0.00416  14.4    
   55.2  0.00411  15.0    
   57.6  0.00411  15.1    
   60.0  0.00410  15.8    
   62.4  0.00410  15.8    
   64.8  0.00406  16.2    
   67.2  0.00402  16.2    
   69.6  0.00400  16.4    
   72.0  0.00400  16.6    
   74.4  0.00391  16.5    
   76.8  0.00385  16.8    
   79.2  0.00383  16.6    
   81.6  0.00377  16.3    
   84.0  0.00372  16.0    
   86.4  0.00370  15.9    
   88.8  0.00362  15.6    
   91.2  0.00352  15.2
   93.6  0.00344  14.8
   96.0  0.00340  14.3
   98.4  0.00337  13.8
  100.8  0.00322  13.1
  103.2  0.00314  12.1
  105.6  0.00307  11.3
  108.0  0.00295  10.5
  110.4  0.00281   9.5
  112.8  0.00271   8.3
  115.2  0.00262   7.0
  117.6  0.00248   5.8
  120.0  0.00238   4.4
  122.4  0.00229   2.9
  124.8  0.00211   1.2
  127.2  0.00199  -0.0
  129.6  0.00184  -1.6
  132.0  0.00173  -2.3
  134.4  0.00165  -3.3
  136.8  0.00154  -4.7
  139.2  0.00148  -5.6
  140.8  0.00148  -6.2
  144.0  0.00152  -7.5
  146.4  0.00156  -8.2
  148.8  0.00165  -8.9
  151.2  0.00178  -9.5
  153.6  0.00190  -9.8
  155.2  0.00201 -10.3
  157.6  0.00216 -10.5
  160.8  0.00227 -10.3
  163.2  0.00236 -10.0
  165.6  0.00246  -9.1
  168.0  0.00255  -8.3
  170.4  0.00259  -7.1
  172.8  0.00269  -5.9
  175.2  0.00275  -4.0
  177.6  0.00282  -2.7
  180.0  0.00284  -1.2
  182.4  0.00285   0.3
  184.8  0.00288   1.7
