##     BOUNDARY LAYER MEASUREMENT
#
#     MODEL: PROLATE SPHEROID 1:6, L =2.4 M
#     ARTIFICIAL TRANSITION AT X/2A = 0.2
#
#
# NOMENCLATURE:
# Z        DISTANCE FROM MODEL SURFACE (WALL NORMAL)
# UR       RESULTANT VELOCITY
# GAMMA    CROSS FLOW ANGLE
# U        LONGITUDINAL VELOCITY COMPONENT
# V        CIRCUMFERENTIAL VELOCITY COMPONENT
# URE      UR AT BOUNDARY LAYER EDGE
#
##     RUN: 125800                                        DATE:  6.10.  81
# 
#     MEASURING STATION:    X/2A= 0.73
# 
#     ANGLE OF INCIDENCE   ALPHA= 10.0 DEG.    CIRC. ANGLE  PHI= 124.8 DEG.
# 
#     FREE STREAM VELOCITY  UINF=  55.0 M/S       PATM=    99989.9 PA
# 
#     FREE STREAM TEMPERATURE TO= 311.9 K
# 
# 
#              Z      UR/URE     GAMMA     U/URE     V/URE      UR
#             (MM)      (-)      (DEG.)     (-)       (-)      (M/S)
              0.22     0.394      2.14     0.393     0.015     21.32
              0.23     0.397      2.18     0.396     0.015     21.48
              0.24     0.397      2.23     0.395     0.015     21.47
              0.25     0.398      2.19     0.396     0.015     21.52
              0.26     0.397      2.25     0.395     0.016     21.44
              0.27     0.398      2.25     0.397     0.016     21.54
              0.29     0.402      2.33     0.400     0.016     21.71
              0.31     0.409      2.39     0.407     0.017     22.12
              0.33     0.415      2.42     0.413     0.017     22.46
              0.34     0.421      2.38     0.420     0.017     22.79
              0.39     0.428      2.33     0.427     0.017     23.17
              0.43     0.435      2.41     0.433     0.018     23.51
              0.47     0.444      2.51     0.442     0.019     24.00
              0.51     0.448      2.72     0.446     0.021     24.21
              0.61     0.461      2.84     0.460     0.023     24.96
              0.71     0.471      2.97     0.469     0.024     25.49
              0.81     0.480      2.91     0.478     0.024     25.95
              0.91     0.484      3.03     0.482     0.025     26.20
              1.01     0.492      3.09     0.490     0.026     26.61
              1.11     0.498      3.34     0.496     0.029     26.94
              1.21     0.508      3.44     0.506     0.030     27.49
              1.41     0.518      3.67     0.516     0.033     28.06
              1.61     0.527      3.90     0.525     0.036     28.54
              1.81     0.539      4.16     0.536     0.039     29.15
              2.01     0.547      4.38     0.544     0.042     29.63
              2.21     0.555      4.56     0.552     0.044     30.05
              2.71     0.575      5.07     0.572     0.051     31.14
              3.21     0.593      5.70     0.588     0.059     32.09
              3.71     0.609      6.18     0.604     0.065     32.99
              4.21     0.623      6.71     0.617     0.073     33.71
              4.71     0.641      7.23     0.634     0.080     34.69
              5.21     0.656      7.71     0.649     0.088     35.55
              5.71     0.668      8.24     0.660     0.096     36.20
              6.21     0.684      8.58     0.675     0.102     37.06
              6.71     0.696      9.03     0.687     0.109     37.72
              7.21     0.707      9.45     0.697     0.116     38.33
              7.71     0.724      9.76     0.713     0.123     39.25
              8.21     0.734     10.29     0.721     0.131     39.77
              8.71     0.751     10.51     0.738     0.137     40.71
              9.21     0.761     10.80     0.747     0.142     41.26
              9.71     0.770     11.17     0.754     0.149     41.72
             10.21     0.786     11.33     0.770     0.154     42.60
             11.21     0.809     11.84     0.791     0.166     43.88
             12.21     0.830     12.26     0.811     0.176     45.02
             13.21     0.850     12.63     0.829     0.186     46.09
             14.21     0.868     12.92     0.845     0.194     47.06
             15.21     0.887     13.13     0.863     0.201     48.11
             16.21     0.907     13.28     0.882     0.208     49.19
             18.21     0.938     13.64     0.911     0.221     50.85
             20.21     0.964     13.81     0.936     0.230     52.32
             22.21     0.984     13.87     0.956     0.236     53.41
             24.21     0.996     13.78     0.967     0.237     54.05
             26.21     1.000     13.70     0.972     0.237     54.26
