##     BOUNDARY LAYER MEASUREMENT
#
#     MODEL: PROLATE SPHEROID 1:6, L =2.4 M
#     ARTIFICIAL TRANSITION AT X/2A = 0.2
#
#
# NOMENCLATURE:
# Z        DISTANCE FROM MODEL SURFACE (WALL NORMAL)
# UR       RESULTANT VELOCITY
# GAMMA    CROSS FLOW ANGLE
# U        LONGITUDINAL VELOCITY COMPONENT
# V        CIRCUMFERENTIAL VELOCITY COMPONENT
# URE      UR AT BOUNDARY LAYER EDGE
#
##     RUN: 404800                                        DATE: 23.08.1982
# 
#     MEASURING STATION:    X/2A= 0.56
# 
#     ANGLE OF INCIDENCE   ALPHA= 10.0 DEG.    CIRC. ANGLE  PHI= 130.0 DEG.
# 
#     FREE STREAM VELOCITY  UINF=  55.6 M/S       PATM=    99410.0 PA
# 
#     FREE STREAM TEMPERATURE TO= 305.9 K
# 
# 
#              Z      UR/URE     GAMMA     U/URE     V/URE      UR
#             (MM)      (-)      (DEG.)     (-)       (-)      (M/S)
              0.22     0.479      7.78     0.472     0.064     27.27
              0.23     0.485      7.66     0.477     0.064     27.56
              0.24     0.490      7.52     0.483     0.064     27.90
              0.25     0.489      7.57     0.481     0.064     27.82
              0.26     0.493      7.42     0.486     0.063     28.07
              0.27     0.495      7.56     0.488     0.065     28.19
              0.29     0.504      7.52     0.496     0.066     28.68
              0.31     0.505      7.74     0.497     0.068     28.73
              0.33     0.511      7.57     0.503     0.067     29.08
              0.34     0.512      7.57     0.505     0.067     29.16
              0.39     0.518      7.57     0.511     0.068     29.53
              0.43     0.527      7.69     0.520     0.070     30.04
              0.47     0.532      7.64     0.524     0.070     30.30
              0.51     0.533      7.81     0.525     0.072     30.35
              0.61     0.548      7.70     0.540     0.073     31.22
              0.71     0.554      7.86     0.546     0.075     31.58
              0.81     0.563      7.86     0.555     0.077     32.11
              0.91     0.574      7.99     0.565     0.079     32.71
              1.01     0.580      8.15     0.572     0.082     33.07
              1.11     0.589      8.20     0.581     0.084     33.60
              1.21     0.596      8.18     0.587     0.084     33.98
              1.41     0.607      8.34     0.598     0.088     34.60
              1.61     0.616      8.48     0.607     0.090     35.16
              1.81     0.626      8.73     0.616     0.095     35.69
              2.01     0.638      8.72     0.628     0.096     36.42
              2.21     0.648      8.84     0.638     0.099     36.98
              2.71     0.665      9.16     0.654     0.105     37.95
              3.21     0.685      9.51     0.673     0.113     39.11
              3.71     0.705      9.83     0.693     0.120     40.27
              4.21     0.722     10.14     0.708     0.127     41.22
              4.71     0.736     10.42     0.722     0.133     42.06
              5.21     0.753     10.63     0.738     0.139     43.01
              5.71     0.766     10.95     0.750     0.145     43.75
              6.21     0.782     11.14     0.766     0.151     44.71
              6.71     0.796     11.51     0.778     0.159     45.50
              7.21     0.813     11.57     0.795     0.163     46.49
              7.71     0.821     11.75     0.802     0.167     46.92
              8.21     0.836     11.90     0.816     0.172     47.80
              8.71     0.851     12.11     0.831     0.178     48.67
              9.21     0.860     12.25     0.839     0.182     49.20
              9.71     0.870     12.22     0.849     0.184     49.77
             10.21     0.880     12.38     0.859     0.188     50.36
             11.21     0.903     12.60     0.880     0.197     51.68
             12.21     0.923     12.62     0.900     0.202     52.83
             13.21     0.935     12.73     0.912     0.206     53.54
             14.21     0.955     12.69     0.931     0.210     54.65
             15.21     0.965     12.78     0.941     0.213     55.26
             16.21     0.977     12.67     0.953     0.214     55.93
             18.21     0.992     12.47     0.968     0.214     56.78
             20.21     0.996     12.28     0.973     0.212     57.06
             22.21     0.997     12.20     0.974     0.211     57.11
             24.21     1.000     12.13     0.977     0.210     57.25
             26.21     1.000     12.11     0.978     0.210     57.28
